,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,JNJStock,121.85,2018-06-04,Open,Buy,0,8,1000,25.200000000000045
1,JNJStock,144.28,2020-01-03,Close,Sell,8,0,25.200000000000045,1179.44
