,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,AXPStock,98.81,2018-06-04,Open,Buy,0,10,1000,11.899999999999977
1,AXPStock,124.6,2020-01-03,Close,Sell,10,0,11.899999999999977,1257.9
