,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,United States CopperEtf,19.79,2018-04-16,Open,Buy,0,50,1000,10.5
1,United States CopperEtf,17.45,2020-01-03,Close,Sell,50,0,10.5,883.0
