,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
49,Gold,2.9419999999999997,2018-07-06,Close,Sell,1032,0,1.1579999999989923,3037.3019999999988
50,Gold,2.958,2018-07-09,Open,Buy,0,1026,3037.3019999999988,2.393999999998414
51,Gold,2.906,2018-07-13,Close,Sell,1026,0,2.393999999998414,2983.9499999999985
52,Gold,2.865,2018-07-16,Open,Buy,0,1041,2983.9499999999985,1.4849999999983083
53,Gold,2.873,2018-07-20,Close,Sell,1041,0,1.4849999999983083,2992.2779999999984
54,Gold,2.748,2018-07-23,Open,Buy,0,1088,2992.2779999999984,2.4539999999983593
55,Gold,2.9210000000000003,2018-07-27,Close,Sell,1088,0,2.4539999999983593,3180.5019999999986
56,Gold,2.793,2018-07-30,Open,Buy,0,1138,3180.5019999999986,2.067999999998392
57,Gold,2.898,2018-08-03,Close,Sell,1138,0,2.067999999998392,3299.9919999999984
58,Gold,2.772,2018-08-06,Open,Buy,0,1190,3299.9919999999984,1.311999999998534
59,Gold,2.8710000000000004,2018-08-10,Close,Sell,1190,0,1.311999999998534,3417.801999999999
60,Gold,2.84,2018-08-13,Open,Buy,0,1203,3417.801999999999,1.2819999999992433
61,Gold,2.7539999999999996,2018-08-17,Close,Sell,1203,0,1.2819999999992433,3314.3439999999987
62,Gold,2.7710000000000004,2018-08-20,Open,Buy,0,1196,3314.3439999999987,0.2279999999982465
63,Gold,2.826,2018-08-24,Close,Sell,1196,0,0.2279999999982465,3380.1239999999984
64,Gold,2.806,2018-08-27,Open,Buy,0,1204,3380.1239999999984,1.6999999999984539
65,Gold,2.773,2018-08-31,Close,Sell,1204,0,1.6999999999984539,3340.3919999999985
66,Gold,2.694,2018-09-04,Open,Buy,0,1239,3340.3919999999985,2.5259999999984757
67,Gold,2.7230000000000003,2018-09-07,Close,Sell,1239,0,2.5259999999984757,3376.322999999999
68,Gold,2.717,2018-09-10,Open,Buy,0,1242,3376.322999999999,1.8089999999988322
69,Gold,2.74,2018-09-14,Close,Sell,1242,0,1.8089999999988322,3404.888999999999
70,Gold,2.717,2018-09-17,Open,Buy,0,1253,3404.888999999999,0.4879999999989195
71,Gold,2.8110000000000004,2018-09-18,Close,Sell,1253,0,0.4879999999989195,3522.6709999999994
72,Gold,2.784,2018-09-19,Open,Buy,0,1265,3522.6709999999994,0.9109999999996035
73,Gold,2.81,2018-09-19,Close,Sell,1265,0,0.9109999999996035,3555.5609999999997
74,Gold,2.88,2018-09-24,Open,Buy,0,1234,3555.5609999999997,1.6409999999996217
75,Gold,2.904,2018-09-24,Close,Sell,1234,0,1.6409999999996217,3585.1769999999997
76,Gold,2.885,2018-09-25,Open,Buy,0,1242,3585.1769999999997,2.007000000000062
77,Gold,2.886,2018-09-25,Close,Sell,1242,0,2.007000000000062,3586.4190000000003
78,Gold,2.8680000000000003,2018-09-26,Open,Buy,0,1250,3586.4190000000003,1.418999999999869
79,Gold,2.895,2018-09-26,Close,Sell,1250,0,1.418999999999869,3620.169
