,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,SPDR Gold SharesEtf,127.74,2018-04-16,Open,Buy,0,7,1000,105.82000000000005
1,SPDR Gold SharesEtf,145.86,2020-01-03,Close,Sell,7,0,105.82000000000005,1126.8400000000001
