,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,AAPLStock,176.35,2018-02-26,Open,Buy,0,5,1000,118.25
1,AAPLStock,297.43,2020-01-03,Close,Sell,5,0,118.25,1605.4
