,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,LumberCommodity,530.1,2018-04-16,Open,Buy,0,1,1000,469.9
1,LumberCommodity,403.6,2020-01-03,Close,Sell,1,0,469.9,873.5
