Symbol,Type
BA_stock,Stock
GM_stock,Stock
CVX_stock,Stock
C_stock,Stock
BAC_stock,Stock
T_stock,Stock
CAT_stock,Stock
INTC_stock,Stock
MSFT_stock,Stock
AA_stock,Stock
F_stock,Stock
EBAY_stock,Stock
DELL_stock,Stock
DIS_stock,Stock
CSCO_stock,Stock
DE_stock,Stock
FDX_stock,Stock
GIS_stock,Stock
GLW_stock,Stock
GT_stock,Stock
GS_stock,Stock
JPM_stock,Stock
KMB_stock,Stock
KHC_stock,Stock
KO_stock,Stock
MCD_stock,Stock
LLY_stock,Stock
ORCL_stock,Stock
MRK_stock,Stock
MSI_stock,Stock
MMM_stock,Stock
ODP_stock,Stock
PMMAF_stock,Stock
VRTX_stock,Stock
MNST_stock,Stock
TEVA_stock,Stock
FITB_stock,Stock
SHLDQ_stock,Stock
CTAS_stock,Stock
ADSK_stock,Stock
DISH_stock,Stock
GILD_stock,Stock
LIFE_stock,Stock
GOOGL_stock,Stock
FISV_stock,Stock
LBTYA_stock,Stock
PDLI_stock,Stock
ADBE_stock,Stock
BB_stock,Stock
QCOM_stock,Stock
SINA_stock,Stock
BIDU_stock,Stock
SOHU_stock,Stock
DISCA_stock,Stock
RBBN_stock,Stock
AMAT_stock,Stock
STLD_stock,Stock
CDNS_stock,Stock
BBBY_stock,Stock
MCHP_stock,Stock
WYNN_stock,Stock
ISRG_stock,Stock
NDAQ_stock,Stock
RYAAY_stock,Stock
INFY_stock,Stock
JBLU_stock,Stock
SPAR_stock,Stock
HSIC_stock,Stock
PAYX_stock,Stock
VRSN_stock,Stock
AAPL_stock,Stock
FAST_stock,Stock
XRAY_stock,Stock
CROX_stock,Stock
ZION_stock,Stock
NTRS_stock,Stock
CTXS_stock,Stock
LAMR_stock,Stock
PTEN_stock,Stock
ATLC_stock,Stock
CHRW_stock,Stock
SIRI_stock,Stock
ALPN_stock,Stock
PCAR_stock,Stock
PAAS_stock,Stock
AMZN_stock,Stock
ROST_stock,Stock
VIAV_stock,Stock
NTES_stock,Stock
NTAP_stock,Stock
ETFC_stock,Stock
GRMN_stock,Stock
COST_stock,Stock
CHKP_stock,Stock
LRCX_stock,Stock
CIEN_stock,Stock
IAC_stock,Stock
INTU_stock,Stock
EXPE_stock,Stock
TCOM_stock,Stock
UTSI_stock,Stock
CTSH_stock,Stock
RMBS_stock,Stock
YRCW_stock,Stock
AKAM_stock,Stock
KLAC_stock,Stock
JNPR_stock,Stock
ATVI_stock,Stock
FLEX_stock,Stock
AMGN_stock,Stock
XLNX_stock,Stock
EXPD_stock,Stock
EA_stock,Stock
PDCO_stock,Stock
TROW_stock,Stock
BIIB_stock,Stock
QRTEA_stock,Stock
SCHW_stock,Stock
HBAN_stock,Stock
NLOK_stock,Stock
NVDA_stock,Stock
SRCL_stock,Stock
SBUX_stock,Stock
CINF_stock,Stock
EXTR_stock,Stock
AAXN_stock,Stock
HOLX_stock,Stock
CMCSA_stock,Stock
CPST_stock,Stock
MRVL_stock,Stock
BLDP_stock,Stock
SIFY_stock,Stock
CDTI_stock,Stock
MDT_stock,Stock
DOV_stock,Stock
ASH_stock,Stock
NOC_stock,Stock
MGM_stock,Stock
VNO_stock,Stock
MA_stock,Stock
AN_stock,Stock
FLR_stock,Stock
GD_stock,Stock
DTE_stock,Stock
ADI_stock,Stock
VFC_stock,Stock
AGN_stock,Stock
CAH_stock,Stock
XEL_stock,Stock
DHI_stock,Stock
IPG_stock,Stock
LMT_stock,Stock
WAT_stock,Stock
ACN_stock,Stock
D_stock,Stock
