Symbol,Name,,,IPOyear,Sector,industry
^IRX,Interest_Rate,,,n/a,General Sector,
DX-Y.NYB,Dollar,,,n/a,General Sector,
CL=F,Oil,,,n/a,General Sector,
GC=F,Gold,,,n/a,General Sector,
^DJI,Dow,,,n/a,General Sector,
GDX,Miners,,,n/a,General Sector,
