DATE,TOTDTEUSQ163N
2005-01-01,61.0030393761139
2005-04-01,60.9212594895083
2005-07-01,60.2273135246845
2005-10-01,58.6185800509085
2006-01-01,57.8353899880399
2006-04-01,56.8509488242627
2006-07-01,55.4170900418535
2006-10-01,55.8079612634946
2007-01-01,55.4844643280724
2007-04-01,54.9493511495761
2007-07-01,54.3635515176639
2007-10-01,54.1899100006367
2008-01-01,56.0695339896815
2008-04-01,58.4203166328452
2008-07-01,57.8930875866766
2008-10-01,60.9465157068376
2009-01-01,59.77
2009-04-01,62.98
2009-07-01,64.53
2009-10-01,64.23
2010-01-01,64.51
2010-04-01,62.24
2010-07-01,61.67
2010-10-01,60.63
2011-01-01,60.32
2011-04-01,59.98
2011-07-01,61.09
2011-10-01,60.88
2012-01-01,60.49
2012-04-01,60.75
2012-07-01,60.5
2012-10-01,61.89
2013-01-01,61.43
2013-04-01,59.54
2013-07-01,58.41
2013-10-01,57.98
2014-01-01,59.1
2014-04-01,58.28
2014-07-01,58.71
2014-10-01,59.25
2015-01-01,57.9
2015-04-01,58.32
2015-07-01,58.54
2015-10-01,59.22
2016-01-01,60.01
2016-04-01,60.23
2016-07-01,58.54
2016-10-01,89.59
2017-01-01,88.92
2017-04-01,86.67
2017-07-01,86.01
2017-10-01,84.84
2018-01-01,85.43
2018-04-01,82.65
2018-07-01,84.59
2018-10-01,84.53
2019-01-01,86.92
2019-04-01,84.69
