Date,Value
2019-11-01,3066.91
2019-10-01,2940.25
2019-09-01,2906.27
2019-08-01,2886.24
2019-07-01,2998.31
2019-06-01,2897.12
2019-05-31,2752.08
2019-05-01,2862.15
2019-04-01,2917.56
2019-03-01,2832.19
2019-02-01,2798.27
2019-01-01,2659.67
2018-12-01,2623.78
2018-11-01,2774.24
2018-10-01,2828.13
2018-09-01,2951.15
2018-08-01,2910.1
2018-07-01,2846.33
2018-06-01,2806.49
2018-05-01,2757.01
2018-04-01,2719.43
2018-03-01,2780.8
2018-02-01,2789.56
2018-01-01,2889.88
2017-12-01,2774.96
2017-11-01,2699.7
2017-10-01,2661.66
2017-09-01,2593.23
2017-08-01,2568.67
2017-07-01,2574.14
2017-06-01,2551.28
2017-05-01,2513.06
2017-04-01,2477.36
2017-03-01,2492.62
2017-02-01,2455.74
2017-01-01,2405.53
2016-12-01,2389.25
2016-11-01,2303.19
2016-10-01,2276.27
2016-09-01,2294.71
2016-08-01,2314.36
2016-07-01,2292.96
2016-06-01,2219.99
2016-05-01,2207.68
2016-04-01,2227.33
2016-03-01,2180.11
2016-02-01,2062.23
2016-01-01,2079.29
2015-12-01,2229.8
2015-11-01,2250.89
2015-10-01,2185.89
2015-09-01,2098.15
2015-08-01,2197.73
2015-07-01,2253.01
2015-06-01,2258.7
2015-05-01,2280.27
2015-04-01,2273.36
2015-03-01,2261.81
2015-02-01,2277.69
2015-01-01,2228.23
2014-12-01,2246.27
2014-11-01,2222.99
2014-10-01,2094.96
2014-09-01,2150.05
2014-08-01,2117.45
2014-07-01,2126.38
2014-06-01,2097.54
2014-05-01,2039.58
2014-04-01,2019.07
2014-03-01,2024.92
2014-02-01,1987.13
2014-01-01,2000.32
2013-12-01,1991.7
2013-11-01,1964.83
2013-10-01,1890.99
2013-09-01,1850.09
2013-08-01,1833.49
2013-07-01,1834.14
2013-06-01,1779.99
2013-05-01,1807.48
2013-04-01,1734.36
2013-03-01,1710.63
2013-02-01,1672.51
2013-01-01,1650.63
2012-12-01,1590.52
2012-11-01,1555.26
2012-10-01,1595.96
2012-09-01,1601.56
2012-08-01,1564.15
2012-07-01,1523.92
2012-06-01,1480.82
2012-05-01,1498.52
2012-04-01,1547.16
2012-03-01,1554.98
2012-02-01,1525.34
2012-01-01,1473.26
2011-12-01,1414.59
2011-11-01,1391.92
2011-10-01,1368.97
2011-09-01,1328.42
2011-08-01,1343.39
2011-07-01,1506.07
2011-06-01,1464.29
2011-05-01,1520.7
2011-04-01,1520.09
2011-03-01,1498.83
2011-02-01,1532.74
2011-01-01,1495.41
2010-12-01,1454.4
2010-11-01,1406.86
2010-10-01,1375.39
2010-09-01,1318.92
2010-08-01,1278.76
2010-07-01,1271.72
2010-06-01,1276.18
2010-05-01,1324.01
2010-04-01,1410.14
2010-03-01,1359.18
2010-02-01,1290.26
2010-01-01,1331.36
2009-12-01,1320.22
2009-11-01,1291.41
2009-10-01,1268.09
2009-09-01,1241.83
2009-08-01,1201.19
2009-07-01,1115.76
2009-06-01,1102.44
2009-05-01,1083.45
2009-04-01,1021.24
2009-03-01,913.92
2009-02-01,974.35
2009-01-01,1052.58
2008-12-01,1071.8
2008-11-01,1067.33
2008-10-01,1148.56
2008-09-01,1428.19
2008-08-01,1501.83
2008-07-01,1467.65
2008-06-01,1573.83
2008-05-01,1663.14
2008-04-01,1638.0
2008-03-01,1583.57
2008-02-01,1643.3
2008-01-01,1677.13
2007-12-01,1808.28
2007-11-01,1787.72
2007-10-01,1892.07
2007-09-01,1843.73
2007-08-01,1796.33
2007-07-01,1874.5
2007-06-01,1865.99
2007-05-01,1865.84
2007-04-01,1818.23
2007-03-01,1759.16
2007-02-01,1822.93
2007-01-01,1806.51
2006-12-01,1802.17
2006-11-01,1769.46
2006-10-01,1734.69
2006-09-01,1667.53
2006-08-01,1620.83
2006-07-01,1590.06
2006-06-01,1585.82
2006-05-01,1635.66
2006-04-01,1659.27
2006-03-01,1662.56
2006-02-01,1649.68
2006-01-01,1655.7
2005-12-01,1646.58
2005-11-01,1607.82
2005-10-01,1536.38
2005-09-01,1583.33
2005-08-01,1600.52
2005-07-01,1606.04
2005-06-01,1587.09
2005-05-01,1556.24
2005-04-01,1536.37
2005-03-01,1587.18
2005-02-01,1605.92
2005-01-01,1590.65
2004-12-01,1618.01
2004-11-01,1571.39
2004-10-01,1502.64
2004-09-01,1511.16
2004-08-01,1475.44
2004-07-01,1499.14
2004-06-01,1533.19
2004-05-01,1497.35
2004-04-01,1547.87
2004-03-01,1539.98
2004-02-01,1576.63
2004-01-01,1570.11
2003-12-01,1505.5
2003-11-01,1461.09
2003-10-01,1441.64
2003-09-01,1413.34
2003-08-01,1376.33
2003-07-01,1385.77
2003-06-01,1380.94
2003-05-01,1309.62
2003-04-01,1243.33
2003-03-01,1180.13
2003-02-01,1173.76
2003-01-01,1265.91
2002-12-01,1276.24
2002-11-01,1288.65
2002-10-01,1210.34
2002-09-01,1231.04
2002-08-01,1296.65
2002-07-01,1288.2
2002-06-01,1447.24
2002-05-01,1541.2
2002-04-01,1587.86
2002-03-01,1656.86
