Date,PowerShares Global Short Term High Yield Bond PortEtf_Open_average,PowerShares Global Short Term High Yield Bond PortEtf_Open_max,PowerShares Global Short Term High Yield Bond PortEtf_Open_min,PowerShares Global Short Term High Yield Bond PortEtf_High_average,PowerShares Global Short Term High Yield Bond PortEtf_High_max,PowerShares Global Short Term High Yield Bond PortEtf_High_min,PowerShares Global Short Term High Yield Bond PortEtf_Low_average,PowerShares Global Short Term High Yield Bond PortEtf_Low_max,PowerShares Global Short Term High Yield Bond PortEtf_Low_min,PowerShares Global Short Term High Yield Bond PortEtf_Close_average,PowerShares Global Short Term High Yield Bond PortEtf_Close_max,PowerShares Global Short Term High Yield Bond PortEtf_Close_min
2018-04-08,-0.6370018059784048,-0.6370018059784048,-0.6370018059784048,-0.7139903854047367,-0.7139903854047367,-0.7139903854047367,-0.3888201414049928,-0.3888201414049928,-0.3888201414049928,0.050189421341910886,0.050189421341910886,0.050189421341910886
2018-04-15,-0.25170138428350414,-0.25170138428350414,-0.25170138428350414,-0.5156820511122371,-0.5156820511122371,-0.5156820511122371,-0.010093803549527831,-0.010093803549527831,-0.010093803549527831,-0.17539540928040717,-0.17539540928040717,-0.17539540928040717
2018-04-22,-0.6616645479820411,-0.6616645479820411,-0.6616645479820411,-1.1711336930128127,-1.1711336930128127,-1.1711336930128127,-0.5551823346875974,-0.5551823346875974,-0.5551823346875974,-0.6568329427573709,-0.6568329427573709,-0.6568329427573709
2018-04-29,-0.31242550574719297,-0.31242550574719297,-0.31242550574719297,-0.9025560478801958,-0.9025560478801958,-0.9025560478801958,0.07235493509566673,0.07235493509566673,0.07235493509566673,-0.14586499149791715,-0.14586499149791715,-0.14586499149791715
2018-05-06,-0.39111955237403523,-0.39111955237403523,-0.39111955237403523,-0.771721121787737,-0.771721121787737,-0.771721121787737,-0.044806906239007266,-0.044806906239007266,-0.044806906239007266,0.18207699786634599,0.18207699786634599,0.18207699786634599
2018-05-13,0.3911195523740815,0.3911195523740815,0.3911195523740815,0.14925176210246252,0.14925176210246252,0.14925176210246252,-0.8881370860980272,-0.8881370860980272,-0.8881370860980272,0.2635533918504787,0.2635533918504787,0.2635533918504787
2018-05-20,-1.0041842046814335,-1.0041842046814335,-1.0041842046814335,-1.0761012139296706,-1.0761012139296706,-1.0761012139296706,-1.4245208055768008,-1.4245208055768008,-1.4245208055768008,-0.5686431626915546,-0.5686431626915546,-0.5686431626915546
2018-05-27,-1.5631183950754863,-1.5631183950754863,-1.5631183950754863,-1.6806008697178456,-1.6806008697178456,-1.6806008697178456,-1.8527637987214298,-1.8527637987214298,-1.8527637987214298,-1.6891467964512594,-1.6891467964512594,-1.6891467964512594
2018-06-03,-2.0083857810137147,-2.0083857810137147,-2.0083857810137147,-2.18745998845634,-2.18745998845634,-2.18745998845634,-1.9243360582364533,-1.9243360582364533,-1.9243360582364533,-1.8393473056045755,-1.8393473056045755,-1.8393473056045755
2018-06-10,-0.3838031255488389,-0.3838031255488389,-0.3838031255488389,-0.7972410051791117,-0.7972410051791117,-0.7972410051791117,-1.3757705039341341,-1.3757705039341341,-1.3757705039341341,-1.4986672468019593,-1.4986672468019593,-1.4986672468019593
