Date,iShares MSCI MalaysiaEtf_Open_average,iShares MSCI MalaysiaEtf_Open_max,iShares MSCI MalaysiaEtf_Open_min,iShares MSCI MalaysiaEtf_High_average,iShares MSCI MalaysiaEtf_High_max,iShares MSCI MalaysiaEtf_High_min,iShares MSCI MalaysiaEtf_Low_average,iShares MSCI MalaysiaEtf_Low_max,iShares MSCI MalaysiaEtf_Low_min,iShares MSCI MalaysiaEtf_Close_average,iShares MSCI MalaysiaEtf_Close_max,iShares MSCI MalaysiaEtf_Close_min
2018-04-08,1.6740621588862528,1.6740621588862528,1.6740621588862528,1.627652057532537,1.627652057532537,1.627652057532537,1.3151487475855068,1.3151487475855068,1.3151487475855068,1.276076809229872,1.276076809229872,1.276076809229872
2018-04-15,1.2856093422961048,1.2856093422961048,1.2856093422961048,1.095730848289099,1.095730848289099,1.095730848289099,0.7962315590840106,0.7962315590840106,0.7962315590840106,0.7358655433202573,0.7358655433202573,0.7358655433202573
2018-04-22,0.2621803090228578,0.2621803090228578,0.2621803090228578,-0.10007584917222404,-0.10007584917222404,-0.10007584917222404,0.21799291645751245,0.21799291645751245,0.21799291645751245,0.2802537711034413,0.2802537711034413,0.2802537711034413
2018-04-29,-1.2496440924665422,-1.2496440924665422,-1.2496440924665422,-1.027413145793339,-1.027413145793339,-1.027413145793339,-0.8499730997476245,-0.8499730997476245,-0.8499730997476245,-0.8361198364501773,-0.8361198364501773,-0.8361198364501773
2018-05-06,-2.525044013564102,-2.525044013564102,-2.525044013564102,-2.6292018581329484,-2.6292018581329484,-2.6292018581329484,-2.921269573516637,-2.921269573516637,-2.921269573516637,-2.9631113435166316,-2.9631113435166316,-2.9631113435166316
2018-05-13,-0.984604314326003,-0.984604314326003,-0.984604314326003,-1.1478654602770137,-1.1478654602770137,-1.1478654602770137,-0.7367451035720961,-0.7367451035720961,-0.7367451035720961,-0.9097573315531956,-0.9097573315531956,-0.9097573315531956
2018-05-20,-1.671672033454094,-1.671672033454094,-1.671672033454094,-1.533838857824098,-1.533838857824098,-1.533838857824098,-1.2494334033280572,-1.2494334033280572,-1.2494334033280572,-1.1906058407384774,-1.1906058407384774,-1.1906058407384774
2018-05-27,-1.9344528961493621,-1.9344528961493621,-1.9344528961493621,-1.8709395147177232,-1.8709395147177232,-1.8709395147177232,-1.6672837993420904,-1.6672837993420904,-1.6672837993420904,-1.725091861007041,-1.725091861007041,-1.725091861007041
2018-06-03,-1.1377146753061673,-1.1377146753061673,-1.1377146753061673,-1.1789667448545076,-1.1789667448545076,-1.1789667448545076,-0.9927886772914207,-0.9927886772914207,-0.9927886772914207,-1.01833427134828,-1.01833427134828,-1.01833427134828
2018-06-10,-1.3951715547067918,-1.3951715547067918,-1.3951715547067918,-1.4738728960365914,-1.4738728960365914,-1.4738728960365914,-1.4311531290306965,-1.4311531290306965,-1.4311531290306965,-1.3472670465670586,-1.3472670465670586,-1.3472670465670586
2018-06-17,-1.9574318615286155,-1.9574318615286155,-1.9574318615286155,-1.9894166978322003,-1.9894166978322003,-1.9894166978322003,-1.9630201758282186,-1.9630201758282186,-1.9630201758282186,-2.023442587328048,-2.023442587328048,-2.023442587328048
2018-06-24,-1.7226851382828015,-1.7226851382828015,-1.7226851382828015,-1.7167281820701858,-1.7167281820701858,-1.7167281820701858,-1.6439929802930018,-1.6439929802930018,-1.6439929802930018,-1.6282954981096067,-1.6282954981096067,-1.6282954981096067
2018-07-01,-1.5343623728135038,-1.5343623728135038,-1.5343623728135038,-1.4776587222437376,-1.4776587222437376,-1.4776587222437376,-1.5232387931214162,-1.5232387931214162,-1.5232387931214162,-1.510549994743165,-1.510549994743165,-1.510549994743165
2018-07-08,-1.0202151191422186,-1.0202151191422186,-1.0202151191422186,-1.0100884415775566,-1.0100884415775566,-1.0100884415775566,-0.9574178738026262,-0.9574178738026262,-0.9574178738026262,-0.9382860241208403,-0.9382860241208403,-0.9382860241208403
2018-07-15,-0.5338654867639516,-0.5338654867639516,-0.5338654867639516,-0.5476578707523511,-0.5476578707523511,-0.5476578707523511,-0.4562526459388794,-0.4562526459388794,-0.4562526459388794,-0.5053104041020275,-0.5053104041020275,-0.5053104041020275
2018-07-22,-0.1580784839781237,-0.1580784839781237,-0.1580784839781237,-0.1961523512232802,-0.1961523512232802,-0.1961523512232802,-0.11753403152009156,-0.11753403152009156,-0.11753403152009156,-0.11678250941445291,-0.11678250941445291,-0.11678250941445291
2018-07-29,0.07454609507758043,0.07454609507758043,0.07454609507758043,0.05495467678889149,0.05495467678889149,0.05495467678889149,0.1359383241728382,0.1359383241728382,0.1359383241728382,0.13024731583049687,0.13024731583049687,0.13024731583049687
