Date,iShares Int High Yield BondEtf_Open_average,iShares Int High Yield BondEtf_Open_max,iShares Int High Yield BondEtf_Open_min,iShares Int High Yield BondEtf_High_average,iShares Int High Yield BondEtf_High_max,iShares Int High Yield BondEtf_High_min,iShares Int High Yield BondEtf_Low_average,iShares Int High Yield BondEtf_Low_max,iShares Int High Yield BondEtf_Low_min,iShares Int High Yield BondEtf_Close_average,iShares Int High Yield BondEtf_Close_max,iShares Int High Yield BondEtf_Close_min
2018-07-15,-0.3206571446706733,-0.3206571446706733,-0.3206571446706733,-0.28800967897601976,-0.28800967897601976,-0.28800967897601976,-0.23330221061806786,-0.23330221061806786,-0.23330221061806786,-0.24495778776708063,-0.24495778776708063,-0.24495778776708063
2018-07-22,-0.31048524085029194,-0.31048524085029194,-0.31048524085029194,-0.38140206077628014,-0.38140206077628014,-0.38140206077628014,-0.24356249861295085,-0.24356249861295085,-0.24356249861295085,-0.3452861493070388,-0.3452861493070388,-0.3452861493070388
2018-07-29,-0.6790407409235054,-0.6790407409235054,-0.6790407409235054,-0.5574234689312222,-0.5574234689312222,-0.5574234689312222,-0.6385107677955543,-0.6385107677955543,-0.6385107677955543,-0.7118801774606008,-0.7118801774606008,-0.7118801774606008
2018-08-05,-2.016635235289843,-2.016635235289843,-2.016635235289843,-1.989959195007513,-1.989959195007513,-1.989959195007513,-2.063547390352469,-2.063547390352469,-2.063547390352469,-2.0609509330040807,-2.0609509330040807,-2.0609509330040807
2018-08-12,-2.0761292146137795,-2.0761292146137795,-2.0761292146137795,-1.6252296276810092,-1.6252296276810092,-1.6252296276810092,-1.819171922316989,-1.819171922316989,-1.819171922316989,-1.6262786818318158,-1.6262786818318158,-1.6262786818318158
2018-08-19,0.5573845516577202,0.5573845516577202,0.5573845516577202,0.6104101798647562,0.6104101798647562,0.6104101798647562,0.7199909307915063,0.7199909307915063,0.7199909307915063,0.5470593570898161,0.5470593570898161,0.5470593570898161
2018-08-26,0.5707935586131565,0.5707935586131565,0.5707935586131565,0.33562291341418216,0.33562291341418216,0.33562291341418216,0.05031928240544629,0.05031928240544629,0.05031928240544629,0.1464679987230814,0.1464679987230814,0.1464679987230814
2018-09-02,-0.15713350548996521,-0.15713350548996521,-0.15713350548996521,-0.380883715630316,-0.380883715630316,-0.380883715630316,-0.1581887021032216,-0.1581887021032216,-0.1581887021032216,-0.37092066469618845,-0.37092066469618845,-0.37092066469618845
2018-09-09,1.2900630727254756,1.2900630727254756,1.2900630727254756,1.0720936177634954,1.0720936177634954,1.0720936177634954,0.9367490263522774,0.9367490263522774,0.9367490263522774,0.9464816928430315,0.9464816928430315,0.9464816928430315
2018-09-16,2.020260675865153,2.020260675865153,2.020260675865153,2.0315797091284282,2.0315797091284282,2.0315797091284282,2.088666753699256,2.088666753699256,2.088666753699256,2.118729143656404,2.118729143656404,2.118729143656404
