Symbol,Type
BAStock,Stock
GMStock,Stock
CVXStock,Stock
CStock,Stock
BACStock,Stock
TStock,Stock
CATStock,Stock
INTCStock,Stock
MSFTStock,Stock
AAStock,Stock
FStock,Stock
EBAYStock,Stock
DELLStock,Stock
DISStock,Stock
CSCOStock,Stock
DEStock,Stock
FDXStock,Stock
GISStock,Stock
GLWStock,Stock
GTStock,Stock
GSStock,Stock
JPMStock,Stock
KMBStock,Stock
KHCStock,Stock
KOStock,Stock
MCDStock,Stock
LLYStock,Stock
ORCLStock,Stock
MRKStock,Stock
MSIStock,Stock
MMMStock,Stock
ODPStock,Stock
PMMAFStock,Stock
VRTXStock,Stock
MNSTStock,Stock
TEVAStock,Stock
FITBStock,Stock
SHLDQStock,Stock
CTASStock,Stock
ADSKStock,Stock
DISHStock,Stock
GILDStock,Stock
LIFEStock,Stock
GOOGLStock,Stock
FISVStock,Stock
LBTYAStock,Stock
PDLIStock,Stock
ADBEStock,Stock
BBStock,Stock
QCOMStock,Stock
SINAStock,Stock
BIDUStock,Stock
SOHUStock,Stock
DISCAStock,Stock
RBBNStock,Stock
AMATStock,Stock
STLDStock,Stock
CDNSStock,Stock
BBBYStock,Stock
MCHPStock,Stock
WYNNStock,Stock
ISRGStock,Stock
NDAQStock,Stock
RYAAYStock,Stock
INFYStock,Stock
JBLUStock,Stock
SPARStock,Stock
HSICStock,Stock
PAYXStock,Stock
VRSNStock,Stock
AAPLStock,Stock
FASTStock,Stock
XRAYStock,Stock
CROXStock,Stock
ZIONStock,Stock
NTRSStock,Stock
CTXSStock,Stock
LAMRStock,Stock
PTENStock,Stock
ATLCStock,Stock
CHRWStock,Stock
SIRIStock,Stock
ALPNStock,Stock
PCARStock,Stock
PAASStock,Stock
AMZNStock,Stock
ROSTStock,Stock
VIAVStock,Stock
NTESStock,Stock
NTAPStock,Stock
ETFCStock,Stock
GRMNStock,Stock
COSTStock,Stock
CHKPStock,Stock
LRCXStock,Stock
CIENStock,Stock
IACStock,Stock
INTUStock,Stock
EXPEStock,Stock
TCOMStock,Stock
UTSIStock,Stock
CTSHStock,Stock
RMBSStock,Stock
YRCWStock,Stock
AKAMStock,Stock
KLACStock,Stock
JNPRStock,Stock
ATVIStock,Stock
FLEXStock,Stock
AMGNStock,Stock
XLNXStock,Stock
EXPDStock,Stock
EAStock,Stock
PDCOStock,Stock
TROWStock,Stock
BIIBStock,Stock
QRTEAStock,Stock
SCHWStock,Stock
HBANStock,Stock
NLOKStock,Stock
NVDAStock,Stock
SRCLStock,Stock
SBUXStock,Stock
CINFStock,Stock
EXTRStock,Stock
AAXNStock,Stock
HOLXStock,Stock
CMCSAStock,Stock
CPSTStock,Stock
MRVLStock,Stock
BLDPStock,Stock
SIFYStock,Stock
CDTIStock,Stock
MDTStock,Stock
DOVStock,Stock
ASHStock,Stock
NOCStock,Stock
MGMStock,Stock
VNOStock,Stock
MAStock,Stock
ANStock,Stock
FLRStock,Stock
GDStock,Stock
DTEStock,Stock
ADIStock,Stock
VFCStock,Stock
AGNStock,Stock
CAHStock,Stock
XELStock,Stock
DHIStock,Stock
IPGStock,Stock
LMTStock,Stock
WATStock,Stock
ACNStock,Stock
DStock,Stock
XOMStock,Stock
CIStock,Stock
PJCStock,Stock
KGCStock,Stock
PEGStock,Stock
NIStock,Stock
YGEHYStock,Stock
ZBHStock,Stock
CSXStock,Stock
ICEStock,Stock
LUVStock,Stock
ITWStock,Stock
DRIStock,Stock
MATStock,Stock
BBTStock,Stock
CCJStock,Stock
HALStock,Stock
