Date,iShares Morningstar Large-Cap Value_Open_average,iShares Morningstar Large-Cap Value_Open_max,iShares Morningstar Large-Cap Value_Open_min,iShares Morningstar Large-Cap Value_Open_volatility,iShares Morningstar Large-Cap Value_Open_change,iShares Morningstar Large-Cap Value_High_average,iShares Morningstar Large-Cap Value_High_max,iShares Morningstar Large-Cap Value_High_min,iShares Morningstar Large-Cap Value_High_volatility,iShares Morningstar Large-Cap Value_High_change,iShares Morningstar Large-Cap Value_Low_average,iShares Morningstar Large-Cap Value_Low_max,iShares Morningstar Large-Cap Value_Low_min,iShares Morningstar Large-Cap Value_Low_volatility,iShares Morningstar Large-Cap Value_Low_change,iShares Morningstar Large-Cap Value_Close_average,iShares Morningstar Large-Cap Value_Close_max,iShares Morningstar Large-Cap Value_Close_min,iShares Morningstar Large-Cap Value_Close_volatility,iShares Morningstar Large-Cap Value_Close_change
2018-01-14,109.94,109.94,109.94,0.0,0.0,110.83,110.83,110.83,0.0,0.0,109.94,109.94,109.94,0.0,0.0,110.81,110.81,110.81,0.0,0.0
2018-01-21,112.28,112.28,112.28,0.0,0.0,112.53,112.53,112.53,0.0,0.0,112.09,112.09,112.09,0.0,0.0,112.22,112.22,112.22,0.0,0.0
2018-01-28,106.7,106.7,106.7,0.0,0.0,107.24,107.24,107.24,0.0,0.0,102.9,102.9,102.9,0.0,0.0,102.97,102.97,102.97,0.0,0.0
2018-02-04,102.7,102.7,102.7,0.0,0.0,103.8,103.8,103.8,0.0,0.0,102.52,102.52,102.52,0.0,0.0,103.24,103.24,103.24,0.0,0.0
2018-02-11,105.84,105.84,105.84,0.0,0.0,106.94,106.94,106.94,0.0,0.0,105.84,105.84,105.84,0.0,0.0,106.05,106.05,106.05,0.0,0.0
2018-02-18,106.54,106.54,106.54,0.0,0.0,107.55,107.55,107.55,0.0,0.0,106.42,106.42,106.42,0.0,0.0,107.43,107.43,107.43,0.0,0.0
2018-02-25,103.42,103.42,103.42,0.0,0.0,105.31,105.31,105.31,0.0,0.0,103.42,103.42,103.42,0.0,0.0,105.22,105.22,105.22,0.0,0.0
2018-03-04,107.1,107.1,107.1,0.0,0.0,107.13,107.13,107.13,0.0,0.0,106.74,106.74,106.74,0.0,0.0,106.97,106.97,106.97,0.0,0.0
2018-03-11,103.77,103.77,103.77,0.0,0.0,104.15,104.15,104.15,0.0,0.0,103.73,103.73,103.73,0.0,0.0,104.13,104.13,104.13,0.0,0.0
2018-03-18,100.23,100.23,100.23,0.0,0.0,101.31,101.31,101.31,0.0,0.0,99.6,99.6,99.6,0.0,0.0,101.19,101.19,101.19,0.0,0.0
2018-03-25,101.04,101.04,101.04,0.0,0.0,101.04,101.04,101.04,0.0,0.0,98.0,98.0,98.0,0.0,0.0,99.06,99.06,99.06,0.0,0.0
2018-04-01,100.81,100.81,100.81,0.0,0.0,102.17,102.17,102.17,0.0,0.0,100.63,100.63,100.63,0.0,0.0,101.32,101.32,101.32,0.0,0.0
