Date,KOSS_Open_average,KOSS_Open_max,KOSS_Open_min,KOSS_Open_volatility,KOSS_Open_change,KOSS_High_average,KOSS_High_max,KOSS_High_min,KOSS_High_volatility,KOSS_High_change,KOSS_Low_average,KOSS_Low_max,KOSS_Low_min,KOSS_Low_volatility,KOSS_Low_change,KOSS_Close_average,KOSS_Close_max,KOSS_Close_min,KOSS_Close_volatility,KOSS_Close_change,KOSS_Volume_average,KOSS_Volume_max,KOSS_Volume_min,KOSS_Volume_volatility,KOSS_Volume_change
2018-01-14,2.104,2.2,2.02,0.18000000000000016,0.0900000000000003,2.1510000000000002,2.2,2.08,0.1200000000000001,0.08000000000000007,2.072,2.15,2.02,0.1299999999999999,0.08999999999999986,2.11,2.17,2.05,0.1200000000000001,0.10999999999999988,103946,264331,35839,228492,-5191
2018-01-21,2.172,2.21,2.1,0.10999999999999988,0.050000000000000266,2.184,2.21,2.1,0.10999999999999988,-0.009999999999999787,2.088,2.15,2.06,0.08999999999999986,-0.08000000000000007,2.118,2.17,2.06,0.10999999999999988,-0.04999999999999982,23826,33457,15526,17931,8575
2018-01-28,2.0462,2.15,2.0,0.1499999999999999,-0.14000000000000012,2.0946,2.199,2.04,0.1589999999999998,-0.1589999999999998,2.013,2.075,1.99,0.08500000000000019,-0.07500000000000018,2.036,2.1,2.01,0.0900000000000003,-0.0900000000000003,56927,124957,15214,109743,-9266
2018-02-04,2.04,2.12,2.0,0.1200000000000001,-0.04999999999999982,2.054,2.12,2.021,0.0990000000000002,-0.028999999999999915,1.9922,2.001,1.98,0.020999999999999908,-0.020999999999999908,2.0118,2.03,1.98,0.04999999999999982,-0.04999999999999982,17273,22395,9570,12825,12825
2018-02-11,1.98875,2.055,1.9,0.15500000000000025,-0.08000000000000007,2.05325,2.09,1.972,0.11799999999999988,-0.11799999999999988,1.9649999999999999,2.05,1.9,0.1499999999999999,-0.08000000000000007,1.99725,2.059,1.91,0.14900000000000024,-0.14900000000000024,16873,26977,704,26273,8631
2018-02-18,1.978,2.0,1.96,0.040000000000000036,-0.020000000000000018,1.985,2.0,1.97,0.030000000000000027,-0.030000000000000027,1.9744,1.99,1.952,0.038000000000000034,-0.028000000000000025,1.9818,2.0,1.969,0.030999999999999917,-0.020999999999999908,13335,25715,4893,20822,-14692
2018-02-25,1.9942,2.16,1.9,0.26000000000000023,0.2090000000000003,2.1324,2.29,1.952,0.3380000000000001,0.3380000000000001,1.922,2.09,1.75,0.33999999999999986,0.18999999999999995,2.037,2.18,1.925,0.2550000000000001,0.2550000000000001,131120,279000,3992,275008,113201
2018-03-04,2.164,2.2,2.13,0.07000000000000028,-0.020000000000000018,2.1846,2.204,2.16,0.04400000000000004,-0.014000000000000234,2.0622,2.15,2.001,0.14900000000000002,0.010000000000000231,2.1402,2.18,2.07,0.11000000000000032,-0.10000000000000009,18000,45477,6165,39312,-24448
2018-03-11,2.019,2.11,1.91,0.19999999999999996,-0.11999999999999988,2.078,2.18,1.96,0.2200000000000002,-0.14000000000000012,1.9798,2.059,1.91,0.14900000000000024,-0.09999999999999987,1.992,2.08,1.92,0.16000000000000014,-0.08000000000000007,23167,54490,4097,50393,8824
2018-03-18,1.835,1.945,1.78,0.16500000000000004,-0.14500000000000002,1.887,1.96,1.8430000000000002,0.11699999999999977,-0.11699999999999977,1.794,1.87,1.75,0.1200000000000001,-0.07000000000000006,1.8176,1.87,1.788,0.08200000000000007,-0.030000000000000027,22559,53306,10691,42615,5908
2018-03-25,1.7850000000000001,1.8,1.75,0.050000000000000044,-0.050000000000000044,1.8050000000000002,1.83,1.77,0.06000000000000005,-0.06000000000000005,1.7525,1.77,1.72,0.050000000000000044,-0.030000000000000027,1.7650000000000001,1.79,1.74,0.050000000000000044,-0.010000000000000009,10900,19514,4371,15143,15143
2018-04-01,1.78125,1.875,1.71,0.16500000000000004,0.16500000000000004,1.81875,1.875,1.78,0.09499999999999997,0.09499999999999997,1.75275,1.81,1.7009999999999998,0.10900000000000021,0.10900000000000021,1.79,1.82,1.75,0.07000000000000006,0.06000000000000005,10319,17052,1923,15129,-15129
2018-04-08,1.79,1.84,1.76,0.08000000000000007,0.07000000000000006,1.83875,1.89,1.8,0.08999999999999986,0.08999999999999986,1.76,1.77,1.75,0.020000000000000018,-0.010000000000000009,1.7835,1.814,1.75,0.06400000000000006,-0.030000000000000027,4815,12344,1430,10914,-10914
2018-04-15,1.864,1.91,1.79,0.11999999999999988,0.08000000000000007,1.9245999999999999,1.96,1.89,0.07000000000000006,0.02300000000000013,1.8198,1.86,1.7719999999999998,0.0880000000000003,0.038000000000000256,1.8794,1.92,1.83,0.08999999999999986,-0.08999999999999986,7769,13521,756,12765,5807
2018-04-22,1.866,1.96,1.8,0.15999999999999992,0.09999999999999987,2.0426,2.355,1.879,0.476,0.16599999999999993,1.8382,1.91,1.8,0.10999999999999988,0.030999999999999917,1.8834,1.97,1.8259999999999998,0.14400000000000013,0.0050000000000001155,43487,171519,5852,165667,-483
2018-04-29,1.9256,2.039,1.824,0.21500000000000008,0.10999999999999988,2.0498,2.17,1.94,0.22999999999999998,-0.22999999999999998,1.8416000000000001,1.855,1.824,0.030999999999999917,0.020000000000000018,1.905,1.98,1.85,0.1299999999999999,0.014999999999999902,9382,25873,869,25004,-16427
