Date,Hartford Total Return Bond_Open_average,Hartford Total Return Bond_Open_max,Hartford Total Return Bond_Open_min,Hartford Total Return Bond_Open_volatility,Hartford Total Return Bond_Open_change,Hartford Total Return Bond_High_average,Hartford Total Return Bond_High_max,Hartford Total Return Bond_High_min,Hartford Total Return Bond_High_volatility,Hartford Total Return Bond_High_change,Hartford Total Return Bond_Low_average,Hartford Total Return Bond_Low_max,Hartford Total Return Bond_Low_min,Hartford Total Return Bond_Low_volatility,Hartford Total Return Bond_Low_change,Hartford Total Return Bond_Close_average,Hartford Total Return Bond_Close_max,Hartford Total Return Bond_Close_min,Hartford Total Return Bond_Close_volatility,Hartford Total Return Bond_Close_change
2018-01-14,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-01-21,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-01-28,39.61,39.61,39.61,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.61,39.61,39.61,0.0,0.0
2018-02-04,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2018-02-11,39.37,39.37,39.37,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.37,39.37,39.37,0.0,0.0
2018-02-18,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-02-25,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-03-04,39.21,39.21,39.21,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.21,39.21,39.21,0.0,0.0
2018-03-11,39.08,39.08,39.08,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-03-18,39.11,39.11,39.11,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2018-03-25,39.28,39.28,39.28,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2018-04-01,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2018-04-08,39.19,39.19,39.19,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.19,39.19,39.19,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2018-04-15,39.26,39.26,39.26,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.26,39.26,39.26,0.0,0.0
2018-04-22,38.76,38.76,38.76,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2018-04-29,39.23,39.23,39.23,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.23,39.23,39.23,0.0,0.0
2018-05-06,39.03,39.03,39.03,0.0,0.0,39.03,39.03,39.03,0.0,0.0,39.03,39.03,39.03,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2018-05-13,38.98,38.98,38.98,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2018-05-20,38.87,38.87,38.87,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2018-05-27,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2018-06-03,38.91,38.91,38.91,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2018-06-10,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2018-06-17,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-06-24,39.1,39.1,39.1,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2018-07-01,39.02,39.02,39.02,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.02,39.02,39.02,0.0,0.0
2018-07-08,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2018-07-15,38.8,38.8,38.8,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-07-22,38.89,38.89,38.89,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2018-07-29,38.88,38.88,38.88,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2018-08-05,38.41,38.41,38.41,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2018-08-12,38.49,38.49,38.49,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2018-08-19,38.61,38.61,38.61,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2018-08-26,38.56,38.56,38.56,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2018-09-02,38.57,38.57,38.57,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2018-09-09,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2018-09-16,38.46,38.46,38.46,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2018-09-23,38.4,38.4,38.4,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-09-30,38.43,38.43,38.43,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2018-10-07,38.5,38.5,38.5,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2018-10-14,38.46,38.46,38.46,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2018-10-21,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-10-28,38.41,38.41,38.41,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2018-11-04,38.35,38.35,38.35,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2018-11-11,38.34,38.34,38.34,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.34,38.34,38.34,0.0,0.0
2018-11-18,38.45,38.45,38.45,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.45,38.45,38.45,0.0,0.0
2018-11-25,38.51,38.51,38.51,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2018-12-02,38.71,38.71,38.71,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.71,38.71,38.71,0.0,0.0
2018-12-09,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2018-12-16,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2018-12-23,38.78,38.78,38.78,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.78,38.78,38.78,0.0,0.0
2018-12-30,38.91,38.91,38.91,0.0,0.0,38.96,38.96,38.96,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.82,38.82,38.82,0.0,0.0
2019-01-06,39.1,39.1,39.1,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2019-01-13,39.03,39.03,39.03,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.95,38.95,38.95,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2019-01-20,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2019-01-27,39.28,39.28,39.28,0.0,0.0,39.33,39.33,39.33,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2019-02-03,39.43,39.43,39.43,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2019-02-10,39.41,39.41,39.41,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.41,39.41,39.41,0.0,0.0
2019-02-17,39.44,39.44,39.44,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2019-02-24,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0
