Date,BKEAY_Open_average,BKEAY_Open_max,BKEAY_Open_min,BKEAY_Open_volatility,BKEAY_Open_change,BKEAY_High_average,BKEAY_High_max,BKEAY_High_min,BKEAY_High_volatility,BKEAY_High_change,BKEAY_Low_average,BKEAY_Low_max,BKEAY_Low_min,BKEAY_Low_volatility,BKEAY_Low_change,BKEAY_Close_average,BKEAY_Close_max,BKEAY_Close_min,BKEAY_Close_volatility,BKEAY_Close_change,BKEAY_Volume_average,BKEAY_Volume_max,BKEAY_Volume_min,BKEAY_Volume_volatility,BKEAY_Volume_change
2016-03-20,3.609,3.717,3.55,0.16700000000000026,-0.16700000000000026,3.6333333333333333,3.78,3.56,0.21999999999999975,-0.21999999999999975,3.5696666666666665,3.5989999999999998,3.55,0.04899999999999993,-0.04899999999999993,3.6333333333333333,3.78,3.56,0.21999999999999975,-0.21999999999999975,1376,2950,318,2632,-2090
2016-03-27,3.625,3.78,3.53,0.25,0.06999999999999984,3.625,3.78,3.53,0.25,0.06999999999999984,3.625,3.78,3.53,0.25,0.06999999999999984,3.625,3.78,3.53,0.25,0.06999999999999984,2044,3972,1000,2972,-2972
2016-04-03,3.615,3.63,3.6,0.029999999999999805,-0.029999999999999805,3.6574999999999998,3.665,3.65,0.015000000000000124,-0.015000000000000124,3.615,3.63,3.6,0.029999999999999805,-0.029999999999999805,3.6574999999999998,3.665,3.65,0.015000000000000124,-0.015000000000000124,1664,2201,1128,1073,1073
2016-04-10,3.6462499999999998,3.82,3.44,0.3799999999999999,0.29499999999999993,3.6887499999999998,3.84,3.59,0.25,0.14500000000000002,3.5862499999999997,3.735,3.44,0.29499999999999993,0.29499999999999993,3.6487499999999997,3.8,3.48,0.31999999999999984,0.1549999999999998,11564,43678,600,43078,-778
2016-04-17,3.695,3.7,3.69,0.010000000000000231,-0.010000000000000231,3.695,3.7,3.69,0.010000000000000231,-0.010000000000000231,3.6816666666666666,3.7,3.65,0.050000000000000266,-0.050000000000000266,3.6816666666666666,3.7,3.65,0.050000000000000266,-0.050000000000000266,1013,2000,300,1700,441
2016-04-24,3.6566666666666667,3.72,3.59,0.13000000000000034,-0.07000000000000028,3.6986666666666665,3.786,3.59,0.19600000000000017,-0.19600000000000017,3.6566666666666667,3.72,3.59,0.13000000000000034,-0.07000000000000028,3.6986666666666665,3.786,3.59,0.19600000000000017,-0.19600000000000017,4074,7900,100,7800,-4122
2016-05-01,3.62,3.62,3.62,0.0,0.0,3.62,3.62,3.62,0.0,0.0,3.62,3.62,3.62,0.0,0.0,3.62,3.62,3.62,0.0,0.0,983,983,983,0,0
2016-05-08,3.555,3.6,3.44,0.16000000000000014,-0.14000000000000012,3.5685000000000002,3.6,3.4939999999999998,0.10600000000000032,-0.0860000000000003,3.55,3.6,3.42,0.18000000000000016,-0.16000000000000014,3.55,3.6,3.42,0.18000000000000016,-0.16000000000000014,908,2516,116,2400,2400
2016-05-15,3.47,3.47,3.47,0.0,0.0,3.48,3.48,3.48,0.0,0.0,3.47,3.47,3.47,0.0,0.0,3.48,3.48,3.48,0.0,0.0,1844,1844,1844,0,0
2016-05-22,3.64,3.64,3.64,0.0,0.0,3.64,3.64,3.64,0.0,0.0,3.64,3.64,3.64,0.0,0.0,3.64,3.64,3.64,0.0,0.0,279,279,279,0,0
