Date,ProShares Ultra Oil & Gas_etf_Open_average,ProShares Ultra Oil & Gas_etf_Open_max,ProShares Ultra Oil & Gas_etf_Open_min,ProShares Ultra Oil & Gas_etf_Open_volatility,ProShares Ultra Oil & Gas_etf_Open_change,ProShares Ultra Oil & Gas_etf_High_average,ProShares Ultra Oil & Gas_etf_High_max,ProShares Ultra Oil & Gas_etf_High_min,ProShares Ultra Oil & Gas_etf_High_volatility,ProShares Ultra Oil & Gas_etf_High_change,ProShares Ultra Oil & Gas_etf_Low_average,ProShares Ultra Oil & Gas_etf_Low_max,ProShares Ultra Oil & Gas_etf_Low_min,ProShares Ultra Oil & Gas_etf_Low_volatility,ProShares Ultra Oil & Gas_etf_Low_change,ProShares Ultra Oil & Gas_etf_Close_average,ProShares Ultra Oil & Gas_etf_Close_max,ProShares Ultra Oil & Gas_etf_Close_min,ProShares Ultra Oil & Gas_etf_Close_volatility,ProShares Ultra Oil & Gas_etf_Close_change
2018-01-14,43.88,43.88,43.88,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.39,43.39,43.39,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-01-21,44.92,44.92,44.92,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.16,45.16,45.16,0.0,0.0
2018-01-28,41.27,41.27,41.27,0.0,0.0,41.28,41.28,41.28,0.0,0.0,38.83,38.83,38.83,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2018-02-04,33.82,33.82,33.82,0.0,0.0,34.02,34.02,34.02,0.0,0.0,30.89,30.89,30.89,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2018-02-11,34.7,34.7,34.7,0.0,0.0,35.33,35.33,35.33,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-02-18,34.25,34.25,34.25,0.0,0.0,35.42,35.42,35.42,0.0,0.0,34.13,34.13,34.13,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2018-02-25,32.71,32.71,32.71,0.0,0.0,33.74,33.74,33.74,0.0,0.0,32.13,32.13,32.13,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2018-03-04,34.23,34.23,34.23,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2018-03-11,33.8,33.8,33.8,0.0,0.0,34.57,34.57,34.57,0.0,0.0,33.64,33.64,33.64,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-03-18,34.31,34.31,34.31,0.0,0.0,35.11,35.11,35.11,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-03-25,33.01,33.01,33.01,0.0,0.0,34.46,34.46,34.46,0.0,0.0,33.01,33.01,33.01,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-04-01,34.85,34.85,34.85,0.0,0.0,35.16,35.16,35.16,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-04-08,376.8,376.8,376.8,0.0,0.0,384.9,384.9,384.9,0.0,0.0,376.8,376.8,376.8,0.0,0.0,382.1,382.1,382.1,0.0,0.0
2018-04-15,404.7,404.7,404.7,0.0,0.0,404.7,404.7,404.7,0.0,0.0,397.41,397.41,397.41,0.0,0.0,401.9,401.9,401.9,0.0,0.0
2018-04-22,408.1,408.1,408.1,0.0,0.0,411.6,411.6,411.6,0.0,0.0,404.85,404.85,404.85,0.0,0.0,407.3,407.3,407.3,0.0,0.0
2018-04-29,402.2,402.2,402.2,0.0,0.0,411.1,411.1,411.1,0.0,0.0,398.85,398.85,398.85,0.0,0.0,408.8,408.8,408.8,0.0,0.0
2018-05-06,443.1,443.1,443.1,0.0,0.0,445.98,445.98,445.98,0.0,0.0,438.9,438.9,438.9,0.0,0.0,440.4,440.4,440.4,0.0,0.0
2018-05-13,464.5,464.5,464.5,0.0,0.0,464.8,464.8,464.8,0.0,0.0,457.31,457.31,457.31,0.0,0.0,457.5,457.5,457.5,0.0,0.0
2018-05-20,422.4,422.4,422.4,0.0,0.0,424.15,424.15,424.15,0.0,0.0,407.2,407.2,407.2,0.0,0.0,416.6,416.6,416.6,0.0,0.0
2018-05-27,433.8,433.8,433.8,0.0,0.0,442.9,442.9,442.9,0.0,0.0,431.6,431.6,431.6,0.0,0.0,436.2,436.2,436.2,0.0,0.0
2018-06-03,444.2,444.2,444.2,0.0,0.0,444.2,444.2,444.2,0.0,0.0,435.2,435.2,435.2,0.0,0.0,440.6,440.6,440.6,0.0,0.0
2018-06-10,425.6,425.6,425.6,0.0,0.0,428.0,428.0,428.0,0.0,0.0,412.2,412.2,412.2,0.0,0.0,413.0,413.0,413.0,0.0,0.0
2018-06-17,426.7,426.7,426.7,0.0,0.0,434.85,434.85,434.85,0.0,0.0,426.2,426.2,426.2,0.0,0.0,426.5,426.5,426.5,0.0,0.0
2018-06-24,431.9,431.9,431.9,0.0,0.0,444.0,444.0,444.0,0.0,0.0,431.9,431.9,431.9,0.0,0.0,436.1,436.1,436.1,0.0,0.0
2018-07-01,421.1,421.1,421.1,0.0,0.0,435.0,435.0,435.0,0.0,0.0,420.6,420.6,420.6,0.0,0.0,432.5,432.5,432.5,0.0,0.0
2018-07-08,433.9,433.9,433.9,0.0,0.0,442.9,442.9,442.9,0.0,0.0,433.9,433.9,433.9,0.0,0.0,437.5,437.5,437.5,0.0,0.0
2018-07-15,424.2,424.2,424.2,0.0,0.0,427.5,427.5,427.5,0.0,0.0,420.0,420.0,420.0,0.0,0.0,421.4,421.4,421.4,0.0,0.0
2018-07-22,432.5,432.5,432.5,0.0,0.0,443.0,443.0,443.0,0.0,0.0,432.2,432.2,432.2,0.0,0.0,437.8,437.8,437.8,0.0,0.0
2018-07-29,429.4,429.4,429.4,0.0,0.0,429.4,429.4,429.4,0.0,0.0,419.9,419.9,419.9,0.0,0.0,424.1,424.1,424.1,0.0,0.0
2018-08-05,417.9,417.9,417.9,0.0,0.0,424.0,424.0,424.0,0.0,0.0,416.3,416.3,416.3,0.0,0.0,423.9,423.9,423.9,0.0,0.0
2018-08-12,394.4,394.4,394.4,0.0,0.0,395.3,395.3,395.3,0.0,0.0,390.67,390.67,390.67,0.0,0.0,393.6,393.6,393.6,0.0,0.0
2018-08-19,414.3,414.3,414.3,0.0,0.0,420.0,420.0,420.0,0.0,0.0,414.3,414.3,414.3,0.0,0.0,416.2,416.2,416.2,0.0,0.0
2018-08-26,417.0,417.0,417.0,0.0,0.0,417.0,417.0,417.0,0.0,0.0,411.13,411.13,411.13,0.0,0.0,414.5,414.5,414.5,0.0,0.0
2018-09-02,390.0,390.0,390.0,0.0,0.0,394.81,394.81,394.81,0.0,0.0,382.38,382.38,382.38,0.0,0.0,393.1,393.1,393.1,0.0,0.0
2018-09-09,407.2,407.2,407.2,0.0,0.0,413.0,413.0,413.0,0.0,0.0,407.2,407.2,407.2,0.0,0.0,410.3,410.3,410.3,0.0,0.0
2018-09-16,425.1,425.1,425.1,0.0,0.0,429.5,429.5,429.5,0.0,0.0,421.2,421.2,421.2,0.0,0.0,426.8,426.8,426.8,0.0,0.0
2018-09-23,433.9,433.9,433.9,0.0,0.0,442.15,442.15,442.15,0.0,0.0,431.4,431.4,431.4,0.0,0.0,434.0,434.0,434.0,0.0,0.0
2018-09-30,450.5,450.5,450.5,0.0,0.0,452.4,452.4,452.4,0.0,0.0,443.2,443.2,443.2,0.0,0.0,449.2,449.2,449.2,0.0,0.0
2018-10-07,409.3,409.3,409.3,0.0,0.0,409.4,409.4,409.4,0.0,0.0,389.4,389.4,389.4,0.0,0.0,401.2,401.2,401.2,0.0,0.0
2018-10-14,391.8,391.8,391.8,0.0,0.0,397.1,397.1,397.1,0.0,0.0,385.5,385.5,385.5,0.0,0.0,385.9,385.9,385.9,0.0,0.0
2018-10-21,330.2,330.2,330.2,0.0,0.0,338.0,338.0,338.0,0.0,0.0,318.66,318.66,318.66,0.0,0.0,330.7,330.7,330.7,0.0,0.0
2018-10-28,346.5,346.5,346.5,0.0,0.0,352.9,352.9,352.9,0.0,0.0,332.1,332.1,332.1,0.0,0.0,339.1,339.1,339.1,0.0,0.0
2018-11-04,341.6,341.6,341.6,0.0,0.0,350.4,350.4,350.4,0.0,0.0,334.2,334.2,334.2,0.0,0.0,346.2,346.2,346.2,0.0,0.0
2018-11-11,327.3,327.3,327.3,0.0,0.0,332.5,332.5,332.5,0.0,0.0,323.8,323.8,323.8,0.0,0.0,330.9,330.9,330.9,0.0,0.0
2018-11-18,301.8,301.8,301.8,0.0,0.0,303.49,303.49,303.49,0.0,0.0,293.2,293.2,293.2,0.0,0.0,297.2,297.2,297.2,0.0,0.0
2018-11-25,313.6,313.6,313.6,0.0,0.0,318.0,318.0,318.0,0.0,0.0,309.69,309.69,309.69,0.0,0.0,316.1,316.1,316.1,0.0,0.0
2018-12-02,309.5,309.5,309.5,0.0,0.0,319.7,319.7,319.7,0.0,0.0,295.2,295.2,295.2,0.0,0.0,296.6,296.6,296.6,0.0,0.0
2018-12-09,285.4,285.4,285.4,0.0,0.0,287.0,287.0,287.0,0.0,0.0,272.9,272.9,272.9,0.0,0.0,275.6,275.6,275.6,0.0,0.0
2018-12-16,229.3,229.3,229.3,0.0,0.0,238.7,238.7,238.7,0.0,0.0,223.0,223.0,223.0,0.0,0.0,226.6,226.6,226.6,0.0,0.0
2018-12-23,237.4,237.4,237.4,0.0,0.0,238.9,238.9,238.9,0.0,0.0,228.4,228.4,228.4,0.0,0.0,231.2,231.2,231.2,0.0,0.0
2018-12-30,245.8,245.8,245.8,0.0,0.0,256.5,256.5,256.5,0.0,0.0,244.7,244.7,244.7,0.0,0.0,255.6,255.6,255.6,0.0,0.0
2019-01-06,274.2,274.2,274.2,0.0,0.0,276.1,276.1,276.1,0.0,0.0,270.0,270.0,270.0,0.0,0.0,274.1,274.1,274.1,0.0,0.0
2019-01-13,286.7,286.7,286.7,0.0,0.0,290.8,290.8,290.8,0.0,0.0,283.0,283.0,283.0,0.0,0.0,290.3,290.3,290.3,0.0,0.0
2019-01-20,278.3,278.3,278.3,0.0,0.0,284.6,284.6,284.6,0.0,0.0,278.3,278.3,278.3,0.0,0.0,281.2,281.2,281.2,0.0,0.0
2019-01-27,293.4,293.4,293.4,0.0,0.0,301.4,301.4,301.4,0.0,0.0,292.8,292.8,292.8,0.0,0.0,298.2,298.2,298.2,0.0,0.0
2019-02-03,280.6,280.6,280.6,0.0,0.0,281.2,281.2,281.2,0.0,0.0,269.8,269.8,269.8,0.0,0.0,279.1,279.1,279.1,0.0,0.0
2019-02-10,303.8,303.8,303.8,0.0,0.0,308.8,308.8,308.8,0.0,0.0,303.8,303.8,303.8,0.0,0.0,308.5,308.5,308.5,0.0,0.0
2019-02-17,308.1,308.1,308.1,0.0,0.0,309.17,309.17,309.17,0.0,0.0,302.3,302.3,302.3,0.0,0.0,304.8,304.8,304.8,0.0,0.0
2019-02-24,301.4,301.4,301.4,0.0,0.0,310.0,310.0,310.0,0.0,0.0,301.4,301.4,301.4,0.0,0.0,310.0,310.0,310.0,0.0,0.0
