Date,PIMCO 1-3 Year US Treasury_Open_average,PIMCO 1-3 Year US Treasury_Open_max,PIMCO 1-3 Year US Treasury_Open_min,PIMCO 1-3 Year US Treasury_Open_volatility,PIMCO 1-3 Year US Treasury_Open_change,PIMCO 1-3 Year US Treasury_High_average,PIMCO 1-3 Year US Treasury_High_max,PIMCO 1-3 Year US Treasury_High_min,PIMCO 1-3 Year US Treasury_High_volatility,PIMCO 1-3 Year US Treasury_High_change,PIMCO 1-3 Year US Treasury_Low_average,PIMCO 1-3 Year US Treasury_Low_max,PIMCO 1-3 Year US Treasury_Low_min,PIMCO 1-3 Year US Treasury_Low_volatility,PIMCO 1-3 Year US Treasury_Low_change,PIMCO 1-3 Year US Treasury_Close_average,PIMCO 1-3 Year US Treasury_Close_max,PIMCO 1-3 Year US Treasury_Close_min,PIMCO 1-3 Year US Treasury_Close_volatility,PIMCO 1-3 Year US Treasury_Close_change
2016-01-03,50.8,50.8,50.8,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2016-01-10,50.92,50.92,50.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2016-01-17,50.91,50.91,50.91,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2016-01-24,51.0,51.0,51.0,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.97,50.97,50.97,0.0,0.0,51.03,51.03,51.03,0.0,0.0
2016-01-31,51.05,51.05,51.05,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2016-02-07,51.11,51.11,51.11,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2016-02-14,51.23,51.23,51.23,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2016-02-21,51.05,51.05,51.05,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2016-02-28,50.96,50.96,50.96,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2016-03-06,50.92,50.92,50.92,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2016-03-13,51.0,51.0,51.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2016-03-20,50.99,50.99,50.99,0.0,0.0,51.2,51.2,51.2,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2016-03-27,51.06,51.06,51.06,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.03,51.03,51.03,0.0,0.0
2016-04-03,51.1,51.1,51.1,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2016-04-10,51.05,51.05,51.05,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.11,51.11,51.11,0.0,0.0
