Date,iShares Agency Bond_Open_average,iShares Agency Bond_Open_max,iShares Agency Bond_Open_min,iShares Agency Bond_Open_volatility,iShares Agency Bond_Open_change,iShares Agency Bond_High_average,iShares Agency Bond_High_max,iShares Agency Bond_High_min,iShares Agency Bond_High_volatility,iShares Agency Bond_High_change,iShares Agency Bond_Low_average,iShares Agency Bond_Low_max,iShares Agency Bond_Low_min,iShares Agency Bond_Low_volatility,iShares Agency Bond_Low_change,iShares Agency Bond_Close_average,iShares Agency Bond_Close_max,iShares Agency Bond_Close_min,iShares Agency Bond_Close_volatility,iShares Agency Bond_Close_change
2018-04-01,111.5,111.5,111.5,0.0,0.0,111.63,111.63,111.63,0.0,0.0,111.46,111.46,111.46,0.0,0.0,111.57,111.57,111.57,0.0,0.0
2018-04-08,111.29,111.29,111.29,0.0,0.0,111.42,111.42,111.42,0.0,0.0,111.28,111.28,111.28,0.0,0.0,111.37,111.37,111.37,0.0,0.0
2018-04-15,110.92,110.92,110.92,0.0,0.0,111.02,111.02,111.02,0.0,0.0,110.9,110.9,110.9,0.0,0.0,110.9,110.9,110.9,0.0,0.0
2018-04-22,111.15,111.15,111.15,0.0,0.0,111.18,111.18,111.18,0.0,0.0,111.02,111.02,111.02,0.0,0.0,111.04,111.04,111.04,0.0,0.0
2018-04-29,110.88,110.88,110.88,0.0,0.0,111.04,111.04,111.04,0.0,0.0,110.87,110.87,110.87,0.0,0.0,110.89,110.89,110.89,0.0,0.0
2018-05-06,110.81,110.81,110.81,0.0,0.0,110.92,110.92,110.92,0.0,0.0,110.78,110.78,110.78,0.0,0.0,110.78,110.78,110.78,0.0,0.0
2018-05-13,110.57,110.57,110.57,0.0,0.0,110.76,110.76,110.76,0.0,0.0,110.56,110.56,110.56,0.0,0.0,110.63,110.63,110.63,0.0,0.0
2018-05-20,111.16,111.16,111.16,0.0,0.0,111.31,111.31,111.31,0.0,0.0,111.13,111.13,111.13,0.0,0.0,111.19,111.19,111.19,0.0,0.0
2018-05-27,111.17,111.17,111.17,0.0,0.0,111.17,111.17,111.17,0.0,0.0,110.93,110.93,110.93,0.0,0.0,110.93,110.93,110.93,0.0,0.0
2018-06-03,111.04,111.04,111.04,0.0,0.0,111.04,111.04,111.04,0.0,0.0,110.88,110.88,110.88,0.0,0.0,110.98,110.98,110.98,0.0,0.0
2018-06-10,111.04,111.04,111.04,0.0,0.0,111.14,111.14,111.14,0.0,0.0,110.99,110.99,110.99,0.0,0.0,111.02,111.02,111.02,0.0,0.0
2018-06-17,111.3,111.3,111.3,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.17,111.17,111.17,0.0,0.0,111.28,111.28,111.28,0.0,0.0
2018-06-24,111.08,111.08,111.08,0.0,0.0,111.24,111.24,111.24,0.0,0.0,111.07,111.07,111.07,0.0,0.0,111.22,111.22,111.22,0.0,0.0
