Date,AMADY_stock_Open_average,AMADY_stock_Open_max,AMADY_stock_Open_min,AMADY_stock_Open_volatility,AMADY_stock_Open_change,AMADY_stock_High_average,AMADY_stock_High_max,AMADY_stock_High_min,AMADY_stock_High_volatility,AMADY_stock_High_change,AMADY_stock_Low_average,AMADY_stock_Low_max,AMADY_stock_Low_min,AMADY_stock_Low_volatility,AMADY_stock_Low_change,AMADY_stock_Close_average,AMADY_stock_Close_max,AMADY_stock_Close_min,AMADY_stock_Close_volatility,AMADY_stock_Close_change,AMADY_stock_Volume_average,AMADY_stock_Volume_max,AMADY_stock_Volume_min,AMADY_stock_Volume_volatility,AMADY_stock_Volume_change
2018-01-14,76.7625,77.0,76.36,0.6400000000000006,0.060000000000002274,76.975,77.18,76.62,0.5600000000000023,0.0800000000000125,76.5425,76.78,76.14,0.6400000000000006,0.1599999999999966,76.80250000000001,77.18,76.37,0.8100000000000023,0.38000000000000966,13207,17077,7970,9107,2253
2018-01-21,78.378,79.35,77.27,2.0799999999999983,0.960000000000008,78.562,79.45,77.61,1.8400000000000034,0.75,77.652,78.62,77.04,1.5799999999999983,0.35999999999999943,78.412,79.37,77.38,1.990000000000009,0.7400000000000091,32417,55807,8787,47020,-43571
2018-01-28,76.89,77.81,76.03,1.7800000000000011,-0.45000000000000284,77.178,77.99,76.03,1.9599999999999937,-0.8700000000000045,76.484,77.43,75.2,2.230000000000004,-0.9599999999999937,76.888,77.73,75.5,2.230000000000004,-1.4000000000000057,14098,21294,8980,12314,4341
2018-02-04,72.08200000000001,74.05,70.84,3.2099999999999937,-3.2099999999999937,72.684,74.08,70.84,3.239999999999995,-3.239999999999995,71.074,72.37,69.03,3.3400000000000034,-3.3299999999999983,71.992,73.9,70.39,3.510000000000005,-1.7199999999999989,14589,15944,12293,3651,3651
2018-02-11,72.58800000000001,74.18,70.93,3.25,3.25,73.186,74.3,71.61,2.6899999999999977,2.6899999999999977,72.42,73.76,70.93,2.8299999999999983,2.8299999999999983,72.98,74.01,71.42,2.5900000000000034,2.4299999999999926,12653,14983,8288,6695,-5234
2018-02-18,73.5125,73.9,72.8,1.1000000000000085,-1.0499999999999972,73.725,74.19,73.19,1.0,-0.6599999999999966,73.1375,73.46,72.68,0.7799999999999869,-0.4399999999999977,73.385,73.84,73.12,0.7199999999999989,0.06999999999999318,15464,18701,10058,8643,3944
2018-02-25,72.584,74.35,70.66,3.6899999999999977,-2.8800000000000097,72.9,74.35,70.9,3.4499999999999886,-3.269999999999996,72.098,73.48,70.2,3.280000000000001,-3.0900000000000034,72.71600000000001,73.97,70.7,3.269999999999996,-3.269999999999996,18046,25480,12769,12711,-7418
2018-03-04,73.416,75.28,70.48,4.799999999999997,4.799999999999997,73.652,75.85,71.07,4.780000000000001,4.780000000000001,73.042,75.28,70.47,4.810000000000002,4.810000000000002,73.504,75.68,70.96,4.720000000000013,4.720000000000013,11021,13520,8839,4681,-1848
2018-03-11,76.868,77.39,76.17,1.2199999999999989,0.3499999999999943,76.93,77.43,76.31,1.1200000000000045,0.20999999999999375,76.3,76.66,75.73,0.9299999999999926,0.14000000000000057,76.532,77.05,75.94,1.1099999999999994,-0.35999999999999943,10830,14295,8047,6248,-5847
2018-03-18,74.81400000000001,76.1,73.08,3.019999999999996,-3.019999999999996,75.184,76.1,73.75,2.3499999999999943,-2.3499999999999943,74.354,75.31,73.04,2.269999999999996,-2.269999999999996,74.67,75.63,73.33,2.299999999999997,-2.160000000000011,14315,23877,8556,15321,-11619
2018-03-25,73.685,74.0,73.39,0.6099999999999994,0.28000000000000114,74.14999999999999,74.32,73.96,0.35999999999999943,0.18999999999999773,73.41499999999999,73.67,73.3,0.37000000000000455,0.37000000000000455,73.7575,73.97,73.48,0.4899999999999949,0.01999999999999602,8502,10340,7453,2887,-1232
