Date,ProShares UltraShort Yen_Open_average,ProShares UltraShort Yen_Open_max,ProShares UltraShort Yen_Open_min,ProShares UltraShort Yen_Open_volatility,ProShares UltraShort Yen_Open_change,ProShares UltraShort Yen_High_average,ProShares UltraShort Yen_High_max,ProShares UltraShort Yen_High_min,ProShares UltraShort Yen_High_volatility,ProShares UltraShort Yen_High_change,ProShares UltraShort Yen_Low_average,ProShares UltraShort Yen_Low_max,ProShares UltraShort Yen_Low_min,ProShares UltraShort Yen_Low_volatility,ProShares UltraShort Yen_Low_change,ProShares UltraShort Yen_Close_average,ProShares UltraShort Yen_Close_max,ProShares UltraShort Yen_Close_min,ProShares UltraShort Yen_Close_volatility,ProShares UltraShort Yen_Close_change
2018-01-14,72.41,72.41,72.41,0.0,0.0,73.02,73.02,73.02,0.0,0.0,72.41,72.41,72.41,0.0,0.0,72.69,72.69,72.69,0.0,0.0
2018-01-21,69.83,69.83,69.83,0.0,0.0,70.42,70.42,70.42,0.0,0.0,69.8,69.8,69.8,0.0,0.0,70.13,70.13,70.13,0.0,0.0
2018-01-28,71.36,71.36,71.36,0.0,0.0,71.83,71.83,71.83,0.0,0.0,70.48,70.48,70.48,0.0,0.0,70.48,70.48,70.48,0.0,0.0
2018-02-04,69.66,69.66,69.66,0.0,0.0,69.86,69.86,69.86,0.0,0.0,69.6,69.6,69.6,0.0,0.0,69.78,69.78,69.78,0.0,0.0
2018-02-11,66.72,66.72,66.72,0.0,0.0,66.88,66.88,66.88,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.84,66.84,66.84,0.0,0.0
2018-02-18,67.65,67.65,67.65,0.0,0.0,67.68,67.68,67.68,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.63,67.63,67.63,0.0,0.0
2018-02-25,66.13,66.13,66.13,0.0,0.0,66.74,66.74,66.74,0.0,0.0,66.13,66.13,66.13,0.0,0.0,66.67,66.67,66.67,0.0,0.0
2018-03-04,67.26,67.26,67.26,0.0,0.0,67.29,67.29,67.29,0.0,0.0,66.97,66.97,66.97,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2018-03-11,66.41,66.41,66.41,0.0,0.0,66.78,66.78,66.78,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.78,66.78,66.78,0.0,0.0
2018-03-18,65.63,65.63,65.63,0.0,0.0,65.95,65.95,65.95,0.0,0.0,65.33,65.33,65.33,0.0,0.0,65.92,65.92,65.92,0.0,0.0
2018-03-25,67.21,67.21,67.21,0.0,0.0,67.22,67.22,67.22,0.0,0.0,66.26,66.26,66.26,0.0,0.0,66.52,66.52,66.52,0.0,0.0
2018-04-01,67.88,67.88,67.88,0.0,0.0,68.15,68.15,68.15,0.0,0.0,67.52,67.52,67.52,0.0,0.0,67.52,67.52,67.52,0.0,0.0
2018-04-08,68.33,68.33,68.33,0.0,0.0,68.39,68.39,68.39,0.0,0.0,68.13,68.13,68.13,0.0,0.0,68.19,68.19,68.19,0.0,0.0
2018-04-15,69.67,69.67,69.67,0.0,0.0,70.3,70.3,70.3,0.0,0.0,69.67,69.67,69.67,0.0,0.0,70.26,70.26,70.26,0.0,0.0
2018-04-22,71.18,71.18,71.18,0.0,0.0,71.24,71.24,71.24,0.0,0.0,70.84,70.84,70.84,0.0,0.0,71.09,71.09,71.09,0.0,0.0
2018-04-29,71.13,71.13,71.13,0.0,0.0,71.21,71.21,71.21,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-05-06,71.52,71.52,71.52,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.44,71.44,71.44,0.0,0.0,71.65,71.65,71.65,0.0,0.0
2018-05-13,73.69,73.69,73.69,0.0,0.0,73.76,73.76,73.76,0.0,0.0,73.5,73.5,73.5,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-05-20,71.18,71.18,71.18,0.0,0.0,71.51,71.51,71.51,0.0,0.0,71.09,71.09,71.09,0.0,0.0,71.51,71.51,71.51,0.0,0.0
2018-05-27,71.63,71.63,71.63,0.0,0.0,72.03,72.03,72.03,0.0,0.0,71.63,71.63,71.63,0.0,0.0,72.03,72.03,72.03,0.0,0.0
2018-06-03,72.22,72.22,72.22,0.0,0.0,72.45,72.45,72.45,0.0,0.0,72.22,72.22,72.22,0.0,0.0,72.38,72.38,72.38,0.0,0.0
2018-06-10,72.96,72.96,72.96,0.0,0.0,73.15,73.15,73.15,0.0,0.0,72.96,72.96,72.96,0.0,0.0,73.14,73.14,73.14,0.0,0.0
2018-06-17,71.88,71.88,71.88,0.0,0.0,72.39,72.39,72.39,0.0,0.0,71.66,71.66,71.66,0.0,0.0,72.2,72.2,72.2,0.0,0.0
2018-06-24,73.69,73.69,73.69,0.0,0.0,73.76,73.76,73.76,0.0,0.0,73.54,73.54,73.54,0.0,0.0,73.67,73.67,73.67,0.0,0.0
2018-07-01,73.39,73.39,73.39,0.0,0.0,73.71,73.71,73.71,0.0,0.0,73.39,73.39,73.39,0.0,0.0,73.69,73.69,73.69,0.0,0.0
2018-07-08,75.83,75.83,75.83,0.0,0.0,75.85,75.85,75.85,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.72,75.72,75.72,0.0,0.0
2018-07-15,74.3,74.3,74.3,0.0,0.0,74.61,74.61,74.61,0.0,0.0,74.3,74.3,74.3,0.0,0.0,74.53,74.53,74.53,0.0,0.0
2018-07-22,74.22,74.22,74.22,0.0,0.0,74.22,74.22,74.22,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.12,74.12,74.12,0.0,0.0
2018-07-29,74.73,74.73,74.73,0.0,0.0,74.74,74.74,74.74,0.0,0.0,74.68,74.68,74.68,0.0,0.0,74.74,74.74,74.74,0.0,0.0
2018-08-05,73.9,73.9,73.9,0.0,0.0,74.0,74.0,74.0,0.0,0.0,73.75,73.75,73.75,0.0,0.0,73.75,73.75,73.75,0.0,0.0
2018-08-12,73.51,73.51,73.51,0.0,0.0,73.52,73.52,73.52,0.0,0.0,73.16,73.16,73.16,0.0,0.0,73.19,73.19,73.19,0.0,0.0
2018-08-19,74.3,74.3,74.3,0.0,0.0,74.44,74.44,74.44,0.0,0.0,74.3,74.3,74.3,0.0,0.0,74.4,74.4,74.4,0.0,0.0
2018-08-26,74.25,74.25,74.25,0.0,0.0,74.51,74.51,74.51,0.0,0.0,74.25,74.25,74.25,0.0,0.0,74.51,74.51,74.51,0.0,0.0
2018-09-02,74.63,74.63,74.63,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.7,74.7,74.7,0.0,0.0
2018-09-09,75.73,75.73,75.73,0.0,0.0,75.85,75.85,75.85,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2018-09-16,76.72,76.72,76.72,0.0,0.0,76.98,76.98,76.98,0.0,0.0,76.59,76.59,76.59,0.0,0.0,76.91,76.91,76.91,0.0,0.0
