Date,Guggenheim Invest S&P 500 Equal Weight Materials_Open_average,Guggenheim Invest S&P 500 Equal Weight Materials_Open_max,Guggenheim Invest S&P 500 Equal Weight Materials_Open_min,Guggenheim Invest S&P 500 Equal Weight Materials_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Materials_Open_change,Guggenheim Invest S&P 500 Equal Weight Materials_High_average,Guggenheim Invest S&P 500 Equal Weight Materials_High_max,Guggenheim Invest S&P 500 Equal Weight Materials_High_min,Guggenheim Invest S&P 500 Equal Weight Materials_High_volatility,Guggenheim Invest S&P 500 Equal Weight Materials_High_change,Guggenheim Invest S&P 500 Equal Weight Materials_Low_average,Guggenheim Invest S&P 500 Equal Weight Materials_Low_max,Guggenheim Invest S&P 500 Equal Weight Materials_Low_min,Guggenheim Invest S&P 500 Equal Weight Materials_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Materials_Low_change,Guggenheim Invest S&P 500 Equal Weight Materials_Close_average,Guggenheim Invest S&P 500 Equal Weight Materials_Close_max,Guggenheim Invest S&P 500 Equal Weight Materials_Close_min,Guggenheim Invest S&P 500 Equal Weight Materials_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Materials_Close_change
2018-01-14,116.52,116.52,116.52,0.0,0.0,116.52,116.52,116.52,0.0,0.0,115.6,115.6,115.6,0.0,0.0,116.13,116.13,116.13,0.0,0.0
2018-01-21,118.13,118.13,118.13,0.0,0.0,118.13,118.13,118.13,0.0,0.0,116.8,116.8,116.8,0.0,0.0,116.91,116.91,116.91,0.0,0.0
2018-01-28,111.16,111.16,111.16,0.0,0.0,112.4,112.4,112.4,0.0,0.0,107.83,107.83,107.83,0.0,0.0,108.49,108.49,108.49,0.0,0.0
2018-02-04,108.33,108.33,108.33,0.0,0.0,109.8,109.8,109.8,0.0,0.0,107.71,107.71,107.71,0.0,0.0,109.17,109.17,109.17,0.0,0.0
2018-02-11,111.6,111.6,111.6,0.0,0.0,112.33,112.33,112.33,0.0,0.0,111.12,111.12,111.12,0.0,0.0,111.56,111.56,111.56,0.0,0.0
2018-02-18,113.76,113.76,113.76,0.0,0.0,113.76,113.76,113.76,0.0,0.0,112.3,112.3,112.3,0.0,0.0,113.38,113.38,113.38,0.0,0.0
2018-02-25,108.89,108.89,108.89,0.0,0.0,110.78,110.78,110.78,0.0,0.0,108.82,108.82,108.82,0.0,0.0,110.75,110.75,110.75,0.0,0.0
2018-03-04,112.98,112.98,112.98,0.0,0.0,112.98,112.98,112.98,0.0,0.0,112.7,112.7,112.7,0.0,0.0,112.88,112.88,112.88,0.0,0.0
2018-03-11,109.52,109.52,109.52,0.0,0.0,109.52,109.52,109.52,0.0,0.0,107.83,107.83,107.83,0.0,0.0,108.32,108.32,108.32,0.0,0.0
2018-03-18,105.81,105.81,105.81,0.0,0.0,106.37,106.37,106.37,0.0,0.0,105.04,105.04,105.04,0.0,0.0,106.37,106.37,106.37,0.0,0.0
2018-03-25,105.51,105.51,105.51,0.0,0.0,106.02,106.02,106.02,0.0,0.0,102.87,102.87,102.87,0.0,0.0,103.71,103.71,103.71,0.0,0.0
