Date,iShares MSCI France_Open_average,iShares MSCI France_Open_max,iShares MSCI France_Open_min,iShares MSCI France_Open_volatility,iShares MSCI France_Open_change,iShares MSCI France_High_average,iShares MSCI France_High_max,iShares MSCI France_High_min,iShares MSCI France_High_volatility,iShares MSCI France_High_change,iShares MSCI France_Low_average,iShares MSCI France_Low_max,iShares MSCI France_Low_min,iShares MSCI France_Low_volatility,iShares MSCI France_Low_change,iShares MSCI France_Close_average,iShares MSCI France_Close_max,iShares MSCI France_Close_min,iShares MSCI France_Close_volatility,iShares MSCI France_Close_change
2018-01-14,33.18,33.18,33.18,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2018-01-21,33.44,33.44,33.44,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-01-28,32.19,32.19,32.19,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2018-02-04,30.95,30.95,30.95,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-02-11,32.18,32.18,32.18,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2018-02-18,32.3,32.3,32.3,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.39,32.39,32.39,0.0,0.0
2018-02-25,31.04,31.04,31.04,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-03-04,31.94,31.94,31.94,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-03-11,31.84,31.84,31.84,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-03-18,31.27,31.27,31.27,0.0,0.0,31.4,31.4,31.4,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-03-25,31.4,31.4,31.4,0.0,0.0,31.47,31.47,31.47,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-04-01,31.92,31.92,31.92,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-04-08,32.44,32.44,32.44,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-04-15,32.71,32.71,32.71,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2018-04-22,32.69,32.69,32.69,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-04-29,32.58,32.58,32.58,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-05-06,32.96,32.96,32.96,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2018-05-13,32.92,32.92,32.92,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2018-05-20,32.21,32.21,32.21,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.27,32.27,32.27,0.0,0.0
2018-05-27,32.3,32.3,32.3,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2018-06-03,32.38,32.38,32.38,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2018-06-10,31.77,31.77,31.77,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2018-06-17,30.79,30.79,30.79,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-06-24,30.19,30.19,30.19,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-07-01,31.37,31.37,31.37,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2018-07-08,31.38,31.38,31.38,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-07-15,31.13,31.13,31.13,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-07-22,31.7,31.7,31.7,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-07-29,31.12,31.12,31.12,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-08-05,30.54,30.54,30.54,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-08-12,30.42,30.42,30.42,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-08-19,31.44,31.44,31.44,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-08-26,31.05,31.05,31.05,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.86,30.86,30.86,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-09-02,30.38,30.38,30.38,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-09-09,30.94,30.94,30.94,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-09-16,31.84,31.84,31.84,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-09-23,31.56,31.56,31.56,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-09-30,29.95,29.95,29.95,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.94,29.94,29.94,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-10-07,29.11,29.11,29.11,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2018-10-14,28.88,28.88,28.88,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2018-10-21,28.25,28.25,28.25,0.0,0.0,28.31,28.31,28.31,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-10-28,28.8,28.8,28.8,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.79,28.79,28.79,0.0,0.0
2018-11-04,28.34,28.34,28.34,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-11-11,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-11-18,27.93,27.93,27.93,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-11-25,28.36,28.36,28.36,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2018-12-02,26.94,26.94,26.94,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-12-09,26.93,26.93,26.93,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-12-16,25.93,25.93,25.93,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-12-23,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2018-12-30,26.56,26.56,26.56,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2019-01-06,26.82,26.82,26.82,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2019-01-13,27.36,27.36,27.36,0.0,0.0,27.36,27.36,27.36,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.29,27.29,27.29,0.0,0.0
2019-01-20,27.46,27.46,27.46,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2019-01-27,28.09,28.09,28.09,0.0,0.0,28.25,28.25,28.25,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2019-02-03,27.8,27.8,27.8,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2019-02-10,28.53,28.53,28.53,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2019-02-17,29.24,29.24,29.24,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2019-02-24,29.65,29.65,29.65,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2019-03-03,28.99,28.99,28.99,0.0,0.0,29.19,29.19,29.19,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2019-03-10,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2019-03-17,29.17,29.17,29.17,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2019-03-24,29.67,29.67,29.67,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2019-03-31,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-04-07,30.57,30.57,30.57,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2019-04-14,30.76,30.76,30.76,0.0,0.0,31.34,31.34,31.34,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2019-04-21,30.6,30.6,30.6,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2019-04-28,30.02,30.02,30.02,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2019-05-05,29.3,29.3,29.3,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2019-05-12,29.54,29.54,29.54,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-05-19,29.56,29.56,29.56,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2019-05-26,29.15,29.15,29.15,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2019-06-02,30.34,30.34,30.34,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2019-06-09,29.44,29.44,29.44,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2019-06-16,30.62,30.62,30.62,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2019-06-23,30.88,30.88,30.88,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2019-06-30,30.53,30.53,30.53,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2019-07-07,30.65,30.65,30.65,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2019-07-14,30.46,30.46,30.46,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-07-21,30.55,30.55,30.55,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2019-07-28,28.76,28.76,28.76,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2019-08-04,29.12,29.12,29.12,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2019-08-11,29.14,29.14,29.14,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2019-08-18,29.02,29.02,29.02,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.91,28.91,28.91,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2019-08-25,29.62,29.62,29.62,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2019-09-01,30.15,30.15,30.15,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2019-09-08,30.2,30.2,30.2,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2019-09-15,30.13,30.13,30.13,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2019-09-22,30.01,30.01,30.01,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2019-09-29,29.46,29.46,29.46,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-10-06,30.26,30.26,30.26,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-10-13,30.8,30.8,30.8,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2019-10-20,31.0,31.0,31.0,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2019-10-27,31.68,31.68,31.68,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.61,31.61,31.61,0.0,0.0
