Date,iShares S&P Small-Cap 600 Growth_Open_average,iShares S&P Small-Cap 600 Growth_Open_max,iShares S&P Small-Cap 600 Growth_Open_min,iShares S&P Small-Cap 600 Growth_Open_volatility,iShares S&P Small-Cap 600 Growth_Open_change,iShares S&P Small-Cap 600 Growth_High_average,iShares S&P Small-Cap 600 Growth_High_max,iShares S&P Small-Cap 600 Growth_High_min,iShares S&P Small-Cap 600 Growth_High_volatility,iShares S&P Small-Cap 600 Growth_High_change,iShares S&P Small-Cap 600 Growth_Low_average,iShares S&P Small-Cap 600 Growth_Low_max,iShares S&P Small-Cap 600 Growth_Low_min,iShares S&P Small-Cap 600 Growth_Low_volatility,iShares S&P Small-Cap 600 Growth_Low_change,iShares S&P Small-Cap 600 Growth_Close_average,iShares S&P Small-Cap 600 Growth_Close_max,iShares S&P Small-Cap 600 Growth_Close_min,iShares S&P Small-Cap 600 Growth_Close_volatility,iShares S&P Small-Cap 600 Growth_Close_change
2018-01-14,178.33,178.33,178.33,0.0,0.0,178.63,178.63,178.63,0.0,0.0,177.46,177.46,177.46,0.0,0.0,178.47,178.47,178.47,0.0,0.0
2018-01-21,179.04,179.04,179.04,0.0,0.0,179.72,179.72,179.72,0.0,0.0,178.65,178.65,178.65,0.0,0.0,178.73,178.73,178.73,0.0,0.0
2018-01-28,172.13,172.13,172.13,0.0,0.0,173.73,173.73,173.73,0.0,0.0,166.92,166.92,166.92,0.0,0.0,166.92,166.92,166.92,0.0,0.0
2018-02-04,166.06,166.06,166.06,0.0,0.0,168.14,168.14,168.14,0.0,0.0,164.16,164.16,164.16,0.0,0.0,167.18,167.18,167.18,0.0,0.0
2018-02-11,172.83,172.83,172.83,0.0,0.0,173.76,173.76,173.76,0.0,0.0,172.3,172.3,172.3,0.0,0.0,172.7,172.7,172.7,0.0,0.0
2018-02-18,175.07,175.07,175.07,0.0,0.0,175.64,175.64,175.64,0.0,0.0,173.74,173.74,173.74,0.0,0.0,175.52,175.52,175.52,0.0,0.0
2018-02-25,171.78,171.78,171.78,0.0,0.0,174.32,174.32,174.32,0.0,0.0,171.26,171.26,171.26,0.0,0.0,173.51,173.51,173.51,0.0,0.0
2018-03-04,180.67,180.67,180.67,0.0,0.0,181.51,181.51,181.51,0.0,0.0,180.07,180.07,180.07,0.0,0.0,180.74,180.74,180.74,0.0,0.0
2018-03-11,178.7,178.7,178.7,0.0,0.0,178.92,178.92,178.92,0.0,0.0,175.99,175.99,175.99,0.0,0.0,178.05,178.05,178.05,0.0,0.0
2018-03-18,173.33,173.33,173.33,0.0,0.0,175.24,175.24,175.24,0.0,0.0,171.81,171.81,171.81,0.0,0.0,175.18,175.18,175.18,0.0,0.0
2018-03-25,173.86,173.86,173.86,0.0,0.0,174.39,174.39,174.39,0.0,0.0,168.79,168.79,168.79,0.0,0.0,170.02,170.02,170.02,0.0,0.0
2018-04-01,174.14,174.14,174.14,0.0,0.0,174.88,174.88,174.88,0.0,0.0,172.51,172.51,172.51,0.0,0.0,172.64,172.64,172.64,0.0,0.0
2018-04-08,177.07,177.07,177.07,0.0,0.0,178.53,178.53,178.53,0.0,0.0,176.51,176.51,176.51,0.0,0.0,178.18,178.18,178.18,0.0,0.0
2018-04-15,178.44,178.44,178.44,0.0,0.0,179.09,179.09,179.09,0.0,0.0,176.99,176.99,176.99,0.0,0.0,177.78,177.78,177.78,0.0,0.0
2018-04-22,176.48,176.48,176.48,0.0,0.0,176.95,176.95,176.95,0.0,0.0,174.45,174.45,174.45,0.0,0.0,174.45,174.45,174.45,0.0,0.0
2018-04-29,177.82,177.82,177.82,0.0,0.0,179.43,179.43,179.43,0.0,0.0,177.58,177.58,177.58,0.0,0.0,178.83,178.83,178.83,0.0,0.0
2018-05-06,183.27,183.27,183.27,0.0,0.0,183.57,183.57,183.57,0.0,0.0,181.37,181.37,181.37,0.0,0.0,181.64,181.64,181.64,0.0,0.0
2018-05-13,186.15,186.15,186.15,0.0,0.0,186.77,186.77,186.77,0.0,0.0,185.82,185.82,185.82,0.0,0.0,186.65,186.65,186.65,0.0,0.0
2018-05-20,185.27,185.27,185.27,0.0,0.0,186.26,186.26,186.26,0.0,0.0,185.27,185.27,185.27,0.0,0.0,185.79,185.79,185.79,0.0,0.0
2018-05-27,189.23,189.23,189.23,0.0,0.0,190.58,190.58,190.58,0.0,0.0,188.71,188.71,188.71,0.0,0.0,190.58,190.58,190.58,0.0,0.0
2018-06-03,192.89,192.89,192.89,0.0,0.0,193.43,193.43,193.43,0.0,0.0,192.47,192.47,192.47,0.0,0.0,192.99,192.99,192.99,0.0,0.0
2018-06-10,193.3,193.3,193.3,0.0,0.0,194.91,194.91,194.91,0.0,0.0,192.69,192.69,192.69,0.0,0.0,194.9,194.9,194.9,0.0,0.0
2018-06-17,192.75,192.75,192.75,0.0,0.0,192.75,192.75,192.75,0.0,0.0,188.92,188.92,188.92,0.0,0.0,189.98,189.98,189.98,0.0,0.0
2018-06-24,187.57,187.57,187.57,0.0,0.0,191.17,191.17,191.17,0.0,0.0,187.57,187.57,187.57,0.0,0.0,191.17,191.17,191.17,0.0,0.0
2018-07-01,196.33,196.33,196.33,0.0,0.0,196.63,196.63,196.63,0.0,0.0,195.49,195.49,195.49,0.0,0.0,196.61,196.61,196.61,0.0,0.0
