Date,WisdomTree Emerging Markets Corporate Bond_Open_average,WisdomTree Emerging Markets Corporate Bond_Open_max,WisdomTree Emerging Markets Corporate Bond_Open_min,WisdomTree Emerging Markets Corporate Bond_Open_volatility,WisdomTree Emerging Markets Corporate Bond_Open_change,WisdomTree Emerging Markets Corporate Bond_High_average,WisdomTree Emerging Markets Corporate Bond_High_max,WisdomTree Emerging Markets Corporate Bond_High_min,WisdomTree Emerging Markets Corporate Bond_High_volatility,WisdomTree Emerging Markets Corporate Bond_High_change,WisdomTree Emerging Markets Corporate Bond_Low_average,WisdomTree Emerging Markets Corporate Bond_Low_max,WisdomTree Emerging Markets Corporate Bond_Low_min,WisdomTree Emerging Markets Corporate Bond_Low_volatility,WisdomTree Emerging Markets Corporate Bond_Low_change,WisdomTree Emerging Markets Corporate Bond_Close_average,WisdomTree Emerging Markets Corporate Bond_Close_max,WisdomTree Emerging Markets Corporate Bond_Close_min,WisdomTree Emerging Markets Corporate Bond_Close_volatility,WisdomTree Emerging Markets Corporate Bond_Close_change
2018-01-14,73.01,73.01,73.01,0.0,0.0,73.02,73.02,73.02,0.0,0.0,72.77,72.77,72.77,0.0,0.0,72.97,72.97,72.97,0.0,0.0
2018-01-21,72.93,72.93,72.93,0.0,0.0,73.29,73.29,73.29,0.0,0.0,72.77,72.77,72.77,0.0,0.0,72.77,72.77,72.77,0.0,0.0
2018-01-28,72.54,72.54,72.54,0.0,0.0,72.78,72.78,72.78,0.0,0.0,72.44,72.44,72.44,0.0,0.0,72.49,72.49,72.49,0.0,0.0
2018-02-04,71.59,71.59,71.59,0.0,0.0,71.63,71.63,71.63,0.0,0.0,71.59,71.59,71.59,0.0,0.0,71.61,71.61,71.61,0.0,0.0
2018-02-11,71.9,71.9,71.9,0.0,0.0,71.9,71.9,71.9,0.0,0.0,71.6,71.6,71.6,0.0,0.0,71.61,71.61,71.61,0.0,0.0
2018-02-18,71.76,71.76,71.76,0.0,0.0,71.76,71.76,71.76,0.0,0.0,71.68,71.68,71.68,0.0,0.0,71.68,71.68,71.68,0.0,0.0
2018-02-25,71.62,71.62,71.62,0.0,0.0,71.99,71.99,71.99,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.99,71.99,71.99,0.0,0.0
2018-03-04,71.68,71.68,71.68,0.0,0.0,71.68,71.68,71.68,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2018-03-11,71.64,71.64,71.64,0.0,0.0,71.76,71.76,71.76,0.0,0.0,71.15,71.15,71.15,0.0,0.0,71.15,71.15,71.15,0.0,0.0
2018-03-18,71.05,71.05,71.05,0.0,0.0,71.05,71.05,71.05,0.0,0.0,71.05,71.05,71.05,0.0,0.0,71.05,71.05,71.05,0.0,0.0
2018-03-25,71.27,71.27,71.27,0.0,0.0,71.27,71.27,71.27,0.0,0.0,70.71,70.71,70.71,0.0,0.0,70.99,70.99,70.99,0.0,0.0
2018-04-01,71.32,71.32,71.32,0.0,0.0,71.32,71.32,71.32,0.0,0.0,70.85,70.85,70.85,0.0,0.0,70.95,70.95,70.95,0.0,0.0
2018-04-08,70.89,70.89,70.89,0.0,0.0,70.89,70.89,70.89,0.0,0.0,70.89,70.89,70.89,0.0,0.0,70.89,70.89,70.89,0.0,0.0
2018-04-15,70.69,70.69,70.69,0.0,0.0,70.69,70.69,70.69,0.0,0.0,70.37,70.37,70.37,0.0,0.0,70.49,70.49,70.49,0.0,0.0
2018-04-22,70.41,70.41,70.41,0.0,0.0,70.41,70.41,70.41,0.0,0.0,70.13,70.13,70.13,0.0,0.0,70.13,70.13,70.13,0.0,0.0
2018-04-29,69.64,69.64,69.64,0.0,0.0,69.65,69.65,69.65,0.0,0.0,69.61,69.61,69.61,0.0,0.0,69.63,69.63,69.63,0.0,0.0
2018-05-06,69.5,69.5,69.5,0.0,0.0,69.95,69.95,69.95,0.0,0.0,69.5,69.5,69.5,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-05-13,69.44,69.44,69.44,0.0,0.0,69.45,69.45,69.45,0.0,0.0,68.96,68.96,68.96,0.0,0.0,69.24,69.24,69.24,0.0,0.0
2018-05-20,69.65,69.65,69.65,0.0,0.0,69.66,69.66,69.66,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.48,69.48,69.48,0.0,0.0
2018-05-27,68.75,68.75,68.75,0.0,0.0,68.86,68.86,68.86,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.86,68.86,68.86,0.0,0.0
2018-06-03,69.17,69.17,69.17,0.0,0.0,69.17,69.17,69.17,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.75,68.75,68.75,0.0,0.0
2018-06-10,68.9,68.9,68.9,0.0,0.0,68.9,68.9,68.9,0.0,0.0,68.9,68.9,68.9,0.0,0.0,68.9,68.9,68.9,0.0,0.0
2018-06-17,68.86,68.86,68.86,0.0,0.0,68.86,68.86,68.86,0.0,0.0,68.86,68.86,68.86,0.0,0.0,68.86,68.86,68.86,0.0,0.0
2018-06-24,68.82,68.82,68.82,0.0,0.0,68.98,68.98,68.98,0.0,0.0,68.82,68.82,68.82,0.0,0.0,68.98,68.98,68.98,0.0,0.0
2018-07-01,69.44,69.44,69.44,0.0,0.0,69.47,69.47,69.47,0.0,0.0,69.32,69.32,69.32,0.0,0.0,69.47,69.47,69.47,0.0,0.0
2018-07-08,69.53,69.53,69.53,0.0,0.0,69.53,69.53,69.53,0.0,0.0,69.49,69.49,69.49,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2018-07-15,69.86,69.86,69.86,0.0,0.0,69.87,69.87,69.87,0.0,0.0,69.85,69.85,69.85,0.0,0.0,69.86,69.86,69.86,0.0,0.0
2018-07-22,69.86,69.86,69.86,0.0,0.0,69.91,69.91,69.91,0.0,0.0,69.84,69.84,69.84,0.0,0.0,69.84,69.84,69.84,0.0,0.0
2018-07-29,69.88,69.88,69.88,0.0,0.0,69.88,69.88,69.88,0.0,0.0,69.88,69.88,69.88,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-08-05,68.61,68.61,68.61,0.0,0.0,68.61,68.61,68.61,0.0,0.0,68.34,68.34,68.34,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2018-08-12,68.76,68.76,68.76,0.0,0.0,68.76,68.76,68.76,0.0,0.0,68.5,68.5,68.5,0.0,0.0,68.67,68.67,68.67,0.0,0.0
2018-08-19,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.61,68.61,68.61,0.0,0.0,68.61,68.61,68.61,0.0,0.0
2018-08-26,68.6,68.6,68.6,0.0,0.0,68.6,68.6,68.6,0.0,0.0,68.37,68.37,68.37,0.0,0.0,68.6,68.6,68.6,0.0,0.0
2018-09-02,68.46,68.46,68.46,0.0,0.0,68.59,68.59,68.59,0.0,0.0,68.46,68.46,68.46,0.0,0.0,68.58,68.58,68.58,0.0,0.0
