Date,WisdomTree International SmallCap Dividend_Open_average,WisdomTree International SmallCap Dividend_Open_max,WisdomTree International SmallCap Dividend_Open_min,WisdomTree International SmallCap Dividend_Open_volatility,WisdomTree International SmallCap Dividend_Open_change,WisdomTree International SmallCap Dividend_High_average,WisdomTree International SmallCap Dividend_High_max,WisdomTree International SmallCap Dividend_High_min,WisdomTree International SmallCap Dividend_High_volatility,WisdomTree International SmallCap Dividend_High_change,WisdomTree International SmallCap Dividend_Low_average,WisdomTree International SmallCap Dividend_Low_max,WisdomTree International SmallCap Dividend_Low_min,WisdomTree International SmallCap Dividend_Low_volatility,WisdomTree International SmallCap Dividend_Low_change,WisdomTree International SmallCap Dividend_Close_average,WisdomTree International SmallCap Dividend_Close_max,WisdomTree International SmallCap Dividend_Close_min,WisdomTree International SmallCap Dividend_Close_volatility,WisdomTree International SmallCap Dividend_Close_change
2018-01-14,80.17,80.17,80.17,0.0,0.0,80.61,80.61,80.61,0.0,0.0,80.13,80.13,80.13,0.0,0.0,80.53,80.53,80.53,0.0,0.0
2018-01-21,80.97,80.97,80.97,0.0,0.0,81.02,81.02,81.02,0.0,0.0,80.64,80.64,80.64,0.0,0.0,80.8,80.8,80.8,0.0,0.0
2018-01-28,77.8,77.8,77.8,0.0,0.0,78.06,78.06,78.06,0.0,0.0,75.52,75.52,75.52,0.0,0.0,75.61,75.61,75.61,0.0,0.0
2018-02-04,74.98,74.98,74.98,0.0,0.0,75.68,75.68,75.68,0.0,0.0,74.8,74.8,74.8,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2018-02-11,77.07,77.07,77.07,0.0,0.0,77.64,77.64,77.64,0.0,0.0,77.0,77.0,77.0,0.0,0.0,77.22,77.22,77.22,0.0,0.0
2018-02-18,78.35,78.35,78.35,0.0,0.0,78.64,78.64,78.64,0.0,0.0,78.09,78.09,78.09,0.0,0.0,78.64,78.64,78.64,0.0,0.0
2018-02-25,75.74,75.74,75.74,0.0,0.0,76.53,76.53,76.53,0.0,0.0,75.62,75.62,75.62,0.0,0.0,76.5,76.5,76.5,0.0,0.0
2018-03-04,77.93,77.93,77.93,0.0,0.0,78.05,78.05,78.05,0.0,0.0,77.83,77.83,77.83,0.0,0.0,77.94,77.94,77.94,0.0,0.0
2018-03-11,77.18,77.18,77.18,0.0,0.0,77.18,77.18,77.18,0.0,0.0,76.54,76.54,76.54,0.0,0.0,76.92,76.92,76.92,0.0,0.0
2018-03-18,75.88,75.88,75.88,0.0,0.0,76.28,76.28,76.28,0.0,0.0,75.41,75.41,75.41,0.0,0.0,76.27,76.27,76.27,0.0,0.0
2018-03-25,76.11,76.11,76.11,0.0,0.0,76.13,76.13,76.13,0.0,0.0,74.74,74.74,74.74,0.0,0.0,75.03,75.03,75.03,0.0,0.0
2018-04-01,76.43,76.43,76.43,0.0,0.0,76.75,76.75,76.75,0.0,0.0,76.21,76.21,76.21,0.0,0.0,76.25,76.25,76.25,0.0,0.0
2018-04-08,77.64,77.64,77.64,0.0,0.0,77.65,77.65,77.65,0.0,0.0,77.42,77.42,77.42,0.0,0.0,77.56,77.56,77.56,0.0,0.0
2018-04-15,77.25,77.25,77.25,0.0,0.0,77.34,77.34,77.34,0.0,0.0,77.02,77.02,77.02,0.0,0.0,77.06,77.06,77.06,0.0,0.0
2018-04-22,76.58,76.58,76.58,0.0,0.0,76.73,76.73,76.73,0.0,0.0,76.33,76.33,76.33,0.0,0.0,76.33,76.33,76.33,0.0,0.0
2018-04-29,76.82,76.82,76.82,0.0,0.0,76.99,76.99,76.99,0.0,0.0,76.71,76.71,76.71,0.0,0.0,76.86,76.86,76.86,0.0,0.0
2018-05-06,77.95,77.95,77.95,0.0,0.0,77.96,77.96,77.96,0.0,0.0,77.62,77.62,77.62,0.0,0.0,77.76,77.76,77.76,0.0,0.0
2018-05-13,77.54,77.54,77.54,0.0,0.0,77.6,77.6,77.6,0.0,0.0,77.38,77.38,77.38,0.0,0.0,77.59,77.59,77.59,0.0,0.0
2018-05-20,76.08,76.08,76.08,0.0,0.0,76.14,76.14,76.14,0.0,0.0,75.87,75.87,75.87,0.0,0.0,76.05,76.05,76.05,0.0,0.0
2018-05-27,76.4,76.4,76.4,0.0,0.0,76.6,76.6,76.6,0.0,0.0,76.29,76.29,76.29,0.0,0.0,76.4,76.4,76.4,0.0,0.0
2018-06-03,76.99,76.99,76.99,0.0,0.0,77.33,77.33,77.33,0.0,0.0,76.99,76.99,76.99,0.0,0.0,77.15,77.15,77.15,0.0,0.0
2018-06-10,75.17,75.17,75.17,0.0,0.0,75.32,75.32,75.32,0.0,0.0,75.02,75.02,75.02,0.0,0.0,75.31,75.31,75.31,0.0,0.0
2018-06-17,72.72,72.72,72.72,0.0,0.0,72.72,72.72,72.72,0.0,0.0,72.03,72.03,72.03,0.0,0.0,72.2,72.2,72.2,0.0,0.0
2018-06-24,70.79,70.79,70.79,0.0,0.0,71.29,71.29,71.29,0.0,0.0,70.66,70.66,70.66,0.0,0.0,71.2,71.2,71.2,0.0,0.0
2018-07-01,72.27,72.27,72.27,0.0,0.0,72.33,72.33,72.33,0.0,0.0,72.15,72.15,72.15,0.0,0.0,72.29,72.29,72.29,0.0,0.0
2018-07-08,71.85,71.85,71.85,0.0,0.0,71.87,71.87,71.87,0.0,0.0,71.63,71.63,71.63,0.0,0.0,71.72,71.72,71.72,0.0,0.0
2018-07-15,71.93,71.93,71.93,0.0,0.0,71.94,71.94,71.94,0.0,0.0,71.79,71.79,71.79,0.0,0.0,71.86,71.86,71.86,0.0,0.0
2018-07-22,73.04,73.04,73.04,0.0,0.0,73.22,73.22,73.22,0.0,0.0,72.9,72.9,72.9,0.0,0.0,72.95,72.95,72.95,0.0,0.0
2018-07-29,71.52,71.52,71.52,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.36,71.36,71.36,0.0,0.0,71.53,71.53,71.53,0.0,0.0
