Date,Morgan Stanley Market Vectors Renminbi USD_Open_average,Morgan Stanley Market Vectors Renminbi USD_Open_max,Morgan Stanley Market Vectors Renminbi USD_Open_min,Morgan Stanley Market Vectors Renminbi USD_Open_volatility,Morgan Stanley Market Vectors Renminbi USD_Open_change,Morgan Stanley Market Vectors Renminbi USD_High_average,Morgan Stanley Market Vectors Renminbi USD_High_max,Morgan Stanley Market Vectors Renminbi USD_High_min,Morgan Stanley Market Vectors Renminbi USD_High_volatility,Morgan Stanley Market Vectors Renminbi USD_High_change,Morgan Stanley Market Vectors Renminbi USD_Low_average,Morgan Stanley Market Vectors Renminbi USD_Low_max,Morgan Stanley Market Vectors Renminbi USD_Low_min,Morgan Stanley Market Vectors Renminbi USD_Low_volatility,Morgan Stanley Market Vectors Renminbi USD_Low_change,Morgan Stanley Market Vectors Renminbi USD_Close_average,Morgan Stanley Market Vectors Renminbi USD_Close_max,Morgan Stanley Market Vectors Renminbi USD_Close_min,Morgan Stanley Market Vectors Renminbi USD_Close_volatility,Morgan Stanley Market Vectors Renminbi USD_Close_change
2018-01-14,44.5,44.5,44.5,0.0,0.0,45.19,45.19,45.19,0.0,0.0,44.35,44.35,44.35,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2018-01-21,44.26,44.26,44.26,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.26,44.26,44.26,0.0,0.0
2018-01-28,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-02-04,46.09,46.09,46.09,0.0,0.0,47.32,47.32,47.32,0.0,0.0,45.07,45.07,45.07,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2018-02-11,47.85,47.85,47.85,0.0,0.0,47.85,47.85,47.85,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2018-02-18,46.87,46.87,46.87,0.0,0.0,48.0,48.0,48.0,0.0,0.0,46.87,46.87,46.87,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2018-02-25,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2018-03-04,44.99,44.99,44.99,0.0,0.0,45.79,45.79,45.79,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2018-03-11,45.62,45.62,45.62,0.0,0.0,45.62,45.62,45.62,0.0,0.0,44.43,44.43,44.43,0.0,0.0,45.62,45.62,45.62,0.0,0.0
2018-03-18,46.86,46.86,46.86,0.0,0.0,47.99,47.99,47.99,0.0,0.0,45.87,45.87,45.87,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-03-25,46.43,46.43,46.43,0.0,0.0,46.43,46.43,46.43,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.77,45.77,45.77,0.0,0.0
2018-04-01,45.77,45.77,45.77,0.0,0.0,47.63,47.63,47.63,0.0,0.0,45.77,45.77,45.77,0.0,0.0,46.99,46.99,46.99,0.0,0.0
2018-04-08,47.41,47.41,47.41,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.04,47.04,47.04,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2018-04-15,46.1,46.1,46.1,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.1,46.1,46.1,0.0,0.0
2018-04-22,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-04-29,46.39,46.39,46.39,0.0,0.0,46.39,46.39,46.39,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2018-05-06,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2018-05-13,45.79,45.79,45.79,0.0,0.0,46.05,46.05,46.05,0.0,0.0,45.79,45.79,45.79,0.0,0.0,46.05,46.05,46.05,0.0,0.0
2018-05-20,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2018-05-27,45.9,45.9,45.9,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2018-06-03,45.44,45.44,45.44,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.71,45.71,45.71,0.0,0.0
