Date,SPDR S&P 600 Small Cap Value_Open_average,SPDR S&P 600 Small Cap Value_Open_max,SPDR S&P 600 Small Cap Value_Open_min,SPDR S&P 600 Small Cap Value_Open_volatility,SPDR S&P 600 Small Cap Value_Open_change,SPDR S&P 600 Small Cap Value_High_average,SPDR S&P 600 Small Cap Value_High_max,SPDR S&P 600 Small Cap Value_High_min,SPDR S&P 600 Small Cap Value_High_volatility,SPDR S&P 600 Small Cap Value_High_change,SPDR S&P 600 Small Cap Value_Low_average,SPDR S&P 600 Small Cap Value_Low_max,SPDR S&P 600 Small Cap Value_Low_min,SPDR S&P 600 Small Cap Value_Low_volatility,SPDR S&P 600 Small Cap Value_Low_change,SPDR S&P 600 Small Cap Value_Close_average,SPDR S&P 600 Small Cap Value_Close_max,SPDR S&P 600 Small Cap Value_Close_min,SPDR S&P 600 Small Cap Value_Close_volatility,SPDR S&P 600 Small Cap Value_Close_change
2018-01-14,65.04,65.04,65.04,0.0,0.0,65.39,65.39,65.39,0.0,0.0,64.84,64.84,64.84,0.0,0.0,65.39,65.39,65.39,0.0,0.0
2018-01-21,65.03,65.03,65.03,0.0,0.0,65.34,65.34,65.34,0.0,0.0,64.81,64.81,64.81,0.0,0.0,64.83,64.83,64.83,0.0,0.0
2018-01-28,61.99,61.99,61.99,0.0,0.0,62.49,62.49,62.49,0.0,0.0,60.16,60.16,60.16,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-02-04,60.18,60.18,60.18,0.0,0.0,60.86,60.86,60.86,0.0,0.0,59.59,59.59,59.59,0.0,0.0,60.59,60.59,60.59,0.0,0.0
2018-02-11,62.16,62.16,62.16,0.0,0.0,63.09,63.09,63.09,0.0,0.0,62.16,62.16,62.16,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2018-02-18,63.01,63.01,63.01,0.0,0.0,63.29,63.29,63.29,0.0,0.0,62.56,62.56,62.56,0.0,0.0,63.24,63.24,63.24,0.0,0.0
2018-02-25,61.33,61.33,61.33,0.0,0.0,62.39,62.39,62.39,0.0,0.0,61.33,61.33,61.33,0.0,0.0,62.17,62.17,62.17,0.0,0.0
2018-03-04,64.0,64.0,64.0,0.0,0.0,64.42,64.42,64.42,0.0,0.0,63.94,63.94,63.94,0.0,0.0,64.19,64.19,64.19,0.0,0.0
2018-03-11,63.63,63.63,63.63,0.0,0.0,63.63,63.63,63.63,0.0,0.0,62.46,62.46,62.46,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2018-03-18,61.49,61.49,61.49,0.0,0.0,61.89,61.89,61.89,0.0,0.0,60.88,60.88,60.88,0.0,0.0,61.89,61.89,61.89,0.0,0.0
