Date,ProShares UltraShort Consumer Goods_Open_average,ProShares UltraShort Consumer Goods_Open_max,ProShares UltraShort Consumer Goods_Open_min,ProShares UltraShort Consumer Goods_Open_volatility,ProShares UltraShort Consumer Goods_Open_change,ProShares UltraShort Consumer Goods_High_average,ProShares UltraShort Consumer Goods_High_max,ProShares UltraShort Consumer Goods_High_min,ProShares UltraShort Consumer Goods_High_volatility,ProShares UltraShort Consumer Goods_High_change,ProShares UltraShort Consumer Goods_Low_average,ProShares UltraShort Consumer Goods_Low_max,ProShares UltraShort Consumer Goods_Low_min,ProShares UltraShort Consumer Goods_Low_volatility,ProShares UltraShort Consumer Goods_Low_change,ProShares UltraShort Consumer Goods_Close_average,ProShares UltraShort Consumer Goods_Close_max,ProShares UltraShort Consumer Goods_Close_min,ProShares UltraShort Consumer Goods_Close_volatility,ProShares UltraShort Consumer Goods_Close_change
2018-01-14,13.0,13.0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0
2018-01-21,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0
2018-01-28,14.15,14.15,14.15,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.02,14.02,14.02,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2018-02-04,14.88,14.88,14.88,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.75,14.75,14.75,0.0,0.0
2018-02-11,14.03,14.03,14.03,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.03,14.03,14.03,0.0,0.0,14.09,14.09,14.09,0.0,0.0
2018-02-18,14.32,14.32,14.32,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.13,14.13,14.13,0.0,0.0,14.13,14.13,14.13,0.0,0.0
2018-02-25,14.83,14.83,14.83,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2018-03-04,14.11,14.11,14.11,0.0,0.0,14.29,14.29,14.29,0.0,0.0,14.11,14.11,14.11,0.0,0.0,14.22,14.22,14.22,0.0,0.0
2018-03-11,14.9,14.9,14.9,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.85,14.85,14.85,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2018-03-18,15.87,15.87,15.87,0.0,0.0,16.08,16.08,16.08,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.82,15.82,15.82,0.0,0.0
2018-03-25,15.83,15.83,15.83,0.0,0.0,16.15,16.15,16.15,0.0,0.0,15.83,15.83,15.83,0.0,0.0,16.14,16.14,16.14,0.0,0.0
2018-04-01,15.0,15.0,15.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2018-04-08,14.76,14.76,14.76,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.76,14.76,14.76,0.0,0.0
2018-04-15,16.38,16.38,16.38,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.38,16.38,16.38,0.0,0.0
