Date,HLX_Open_average,HLX_Open_max,HLX_Open_min,HLX_Open_volatility,HLX_Open_change,HLX_High_average,HLX_High_max,HLX_High_min,HLX_High_volatility,HLX_High_change,HLX_Low_average,HLX_Low_max,HLX_Low_min,HLX_Low_volatility,HLX_Low_change,HLX_Close_average,HLX_Close_max,HLX_Close_min,HLX_Close_volatility,HLX_Close_change,HLX_Volume_average,HLX_Volume_max,HLX_Volume_min,HLX_Volume_volatility,HLX_Volume_change
2018-01-14,8.202,8.34,7.94,0.39999999999999947,-0.129999999999999,8.34,8.49,8.18,0.3100000000000005,-0.20000000000000107,8.032,8.24,7.81,0.4300000000000006,0.3700000000000001,8.19,8.28,8.03,0.25,0.05999999999999872,1293953,2214426,890880,1323546,-1170815
2018-01-21,8.241999999999999,8.42,7.99,0.4299999999999997,-0.27999999999999936,8.304,8.45,8.07,0.379999999999999,-0.33000000000000007,8.038,8.25,7.78,0.46999999999999975,-0.46999999999999975,8.136,8.4,7.8,0.6000000000000005,-0.6000000000000005,1154354,1613811,783206,830605,-53995
2018-01-28,7.528,7.72,7.27,0.4500000000000002,-0.4500000000000002,7.696000000000001,7.74,7.58,0.16000000000000014,-0.15000000000000036,7.312,7.49,7.05,0.4400000000000004,-0.4400000000000004,7.448,7.65,7.07,0.5800000000000001,-0.5800000000000001,1528758,3373564,708568,2664996,356444
2018-02-04,6.932,7.23,6.7,0.5300000000000002,-0.20000000000000018,7.09,7.34,6.9,0.4399999999999995,-0.3899999999999997,6.624,6.93,6.27,0.6600000000000001,-0.22000000000000064,6.858,7.22,6.6,0.6200000000000001,-0.39999999999999947,1239264,1691833,915583,776250,-553408
2018-02-11,6.815,6.94,6.71,0.23000000000000043,0.1900000000000004,7.0175,7.1,6.88,0.21999999999999975,0.16000000000000014,6.765,6.88,6.64,0.2400000000000002,0.2400000000000002,6.9275,6.96,6.83,0.1299999999999999,0.1299999999999999,915995,981271,798823,182448,159864
2018-02-18,6.596,7.0,6.4,0.5999999999999996,-0.3799999999999999,6.712,7.08,6.5,0.5800000000000001,-0.40000000000000036,6.362,6.43,6.2,0.22999999999999954,0.0,6.486,6.6,6.3,0.2999999999999998,0.14999999999999947,1380142,2162609,703908,1458701,-318924
2018-02-25,6.176,6.6,5.91,0.6899999999999995,-0.5699999999999994,6.338,6.74,6.11,0.6299999999999999,-0.4300000000000006,6.016,6.36,5.83,0.5300000000000002,-0.33000000000000007,6.138,6.36,5.96,0.40000000000000036,-0.0600000000000005,942922,1232968,639598,593370,-301258
2018-03-04,6.286,6.44,6.16,0.28000000000000025,0.10000000000000053,6.43,6.56,6.28,0.27999999999999936,0.0699999999999994,6.22,6.43,6.01,0.41999999999999993,0.21999999999999975,6.326,6.52,6.18,0.33999999999999986,0.2699999999999996,793514,1184412,630835,553577,-97916
2018-03-11,6.1739999999999995,6.55,6.04,0.5099999999999998,-0.45999999999999996,6.28,6.66,6.14,0.5200000000000005,-0.5200000000000005,5.978,6.5,5.62,0.8799999999999999,-0.6100000000000003,6.138,6.53,5.95,0.5800000000000001,-0.5800000000000001,3088528,7235890,862453,6373437,486551
2018-03-18,6.072,6.16,5.98,0.17999999999999972,0.11999999999999922,6.204,6.39,6.04,0.34999999999999964,0.07000000000000028,5.944,6.07,5.85,0.22000000000000064,-0.040000000000000036,6.066,6.28,5.96,0.3200000000000003,0.07000000000000028,1902110,2880825,814760,2066065,2066065
2018-03-25,5.8325,6.05,5.69,0.35999999999999943,-0.35999999999999943,5.925,6.19,5.77,0.4200000000000008,-0.4200000000000008,5.6575,5.79,5.45,0.33999999999999986,-0.33999999999999986,5.715,5.82,5.52,0.3000000000000007,-0.3000000000000007,1614760,1869323,1355308,514015,-514015
2018-04-01,5.78,6.03,5.47,0.5600000000000005,0.3899999999999997,5.954,6.14,5.63,0.5099999999999998,0.33000000000000007,5.66,5.87,5.44,0.4299999999999997,0.25,5.832,6.09,5.59,0.5,0.1200000000000001,1395384,1720074,1204178,515896,-159961
2018-04-08,6.212,6.43,5.82,0.6099999999999994,0.5099999999999998,6.352,6.43,6.18,0.25,0.15000000000000036,6.136,6.31,5.82,0.4899999999999993,0.3899999999999997,6.294,6.39,6.1,0.29000000000000004,0.16999999999999993,1095724,1731155,665197,1065958,-414419
2018-04-15,6.396,6.52,6.27,0.25,0.15000000000000036,6.482,6.58,6.27,0.3100000000000005,0.21000000000000085,6.248,6.42,6.08,0.33999999999999986,0.03000000000000025,6.390000000000001,6.49,6.24,0.25,0.009999999999999787,1460381,2407456,992389,1415067,561452
2018-04-22,7.502,7.86,6.6,1.2600000000000007,1.2200000000000006,7.7860000000000005,8.14,7.29,0.8500000000000005,0.54,7.398,7.78,6.6,1.1800000000000006,1.0700000000000003,7.626,7.92,7.05,0.8700000000000001,0.6699999999999999,3392649,4397885,1836434,2561451,-2561451
2018-04-29,7.628,7.75,7.51,0.2400000000000002,0.07000000000000028,7.804,7.89,7.73,0.15999999999999925,0.15999999999999925,7.518,7.66,7.43,0.23000000000000043,0.23000000000000043,7.640000000000001,7.78,7.54,0.2400000000000002,0.15000000000000036,1701950,3541084,842102,2698982,-2330826
2018-05-06,7.94,8.09,7.66,0.4299999999999997,0.33999999999999986,8.07,8.24,7.77,0.47000000000000064,0.3200000000000003,7.828,8.0,7.46,0.54,0.4299999999999997,7.9799999999999995,8.09,7.77,0.3200000000000003,0.1900000000000004,1195946,1798830,570827,1228003,563680
2018-05-13,8.174,8.43,7.97,0.45999999999999996,0.45999999999999996,8.304,8.55,8.04,0.5100000000000016,0.5100000000000016,8.086,8.26,7.89,0.3700000000000001,0.27000000000000046,8.196,8.4,8.0,0.40000000000000036,0.21000000000000085,1229923,2451883,631522,1820361,507389
2018-05-20,7.82,8.21,7.5,0.7100000000000009,-0.7100000000000009,7.9175,8.31,7.56,0.7500000000000009,-0.7500000000000009,7.675,7.99,7.34,0.6500000000000004,-0.6500000000000004,7.7875,8.05,7.55,0.5000000000000009,-0.5000000000000009,879088,1016333,714266,302067,69563
2018-05-27,7.582,7.66,7.42,0.2400000000000002,0.2400000000000002,7.73,7.83,7.65,0.17999999999999972,0.08999999999999986,7.468,7.59,7.32,0.2699999999999996,-0.04999999999999982,7.558,7.7,7.39,0.3100000000000005,-0.09000000000000075,933639,1216981,541802,675179,192595
2018-06-03,7.712,8.13,7.37,0.7600000000000007,0.34999999999999964,7.906,8.16,7.62,0.54,0.09999999999999964,7.602,7.8,7.37,0.4299999999999997,0.16000000000000014,7.766,8.13,7.59,0.5400000000000009,0.07000000000000028,1525722,2407195,885546,1521649,-164063
