Date,SPDR Barclays High Yield Bond_Open_average,SPDR Barclays High Yield Bond_Open_max,SPDR Barclays High Yield Bond_Open_min,SPDR Barclays High Yield Bond_Open_volatility,SPDR Barclays High Yield Bond_Open_change,SPDR Barclays High Yield Bond_High_average,SPDR Barclays High Yield Bond_High_max,SPDR Barclays High Yield Bond_High_min,SPDR Barclays High Yield Bond_High_volatility,SPDR Barclays High Yield Bond_High_change,SPDR Barclays High Yield Bond_Low_average,SPDR Barclays High Yield Bond_Low_max,SPDR Barclays High Yield Bond_Low_min,SPDR Barclays High Yield Bond_Low_volatility,SPDR Barclays High Yield Bond_Low_change,SPDR Barclays High Yield Bond_Close_average,SPDR Barclays High Yield Bond_Close_max,SPDR Barclays High Yield Bond_Close_min,SPDR Barclays High Yield Bond_Close_volatility,SPDR Barclays High Yield Bond_Close_change
2018-01-14,110.46,110.46,110.46,0.0,0.0,110.61,110.61,110.61,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.55,110.55,110.55,0.0,0.0
2018-01-21,110.52,110.52,110.52,0.0,0.0,110.61,110.61,110.61,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2018-01-28,108.69,108.69,108.69,0.0,0.0,109.11,109.11,109.11,0.0,0.0,108.0,108.0,108.0,0.0,0.0,108.12,108.12,108.12,0.0,0.0
2018-02-04,107.37,107.37,107.37,0.0,0.0,107.91,107.91,107.91,0.0,0.0,107.28,107.28,107.28,0.0,0.0,107.76,107.76,107.76,0.0,0.0
2018-02-11,108.51,108.51,108.51,0.0,0.0,108.99,108.99,108.99,0.0,0.0,108.36,108.36,108.36,0.0,0.0,108.96,108.96,108.96,0.0,0.0
2018-02-18,108.84,108.84,108.84,0.0,0.0,109.14,109.14,109.14,0.0,0.0,108.75,108.75,108.75,0.0,0.0,109.02,109.02,109.02,0.0,0.0
2018-02-25,107.85,107.85,107.85,0.0,0.0,108.03,108.03,108.03,0.0,0.0,107.77,107.77,107.77,0.0,0.0,107.94,107.94,107.94,0.0,0.0
2018-03-04,108.3,108.3,108.3,0.0,0.0,108.36,108.36,108.36,0.0,0.0,107.97,107.97,107.97,0.0,0.0,108.15,108.15,108.15,0.0,0.0
2018-03-11,107.85,107.85,107.85,0.0,0.0,107.85,107.85,107.85,0.0,0.0,107.4,107.4,107.4,0.0,0.0,107.55,107.55,107.55,0.0,0.0
2018-03-18,107.37,107.37,107.37,0.0,0.0,107.52,107.52,107.52,0.0,0.0,107.07,107.07,107.07,0.0,0.0,107.52,107.52,107.52,0.0,0.0
2018-03-25,107.19,107.19,107.19,0.0,0.0,107.19,107.19,107.19,0.0,0.0,106.68,106.68,106.68,0.0,0.0,106.83,106.83,106.83,0.0,0.0
2018-04-01,107.4,107.4,107.4,0.0,0.0,107.64,107.64,107.64,0.0,0.0,107.34,107.34,107.34,0.0,0.0,107.61,107.61,107.61,0.0,0.0
2018-04-08,108.57,108.57,108.57,0.0,0.0,108.75,108.75,108.75,0.0,0.0,108.48,108.48,108.48,0.0,0.0,108.63,108.63,108.63,0.0,0.0
2018-04-15,107.91,107.91,107.91,0.0,0.0,108.0,108.0,108.0,0.0,0.0,107.55,107.55,107.55,0.0,0.0,107.64,107.64,107.64,0.0,0.0
2018-04-22,107.55,107.55,107.55,0.0,0.0,107.79,107.79,107.79,0.0,0.0,107.52,107.52,107.52,0.0,0.0,107.61,107.61,107.61,0.0,0.0
2018-04-29,107.16,107.16,107.16,0.0,0.0,107.28,107.28,107.28,0.0,0.0,107.1,107.1,107.1,0.0,0.0,107.22,107.22,107.22,0.0,0.0
2018-05-06,107.49,107.49,107.49,0.0,0.0,107.55,107.55,107.55,0.0,0.0,107.25,107.25,107.25,0.0,0.0,107.46,107.46,107.46,0.0,0.0
2018-05-13,107.04,107.04,107.04,0.0,0.0,107.22,107.22,107.22,0.0,0.0,107.01,107.01,107.01,0.0,0.0,107.1,107.1,107.1,0.0,0.0
