Date,MCHP_Open_average,MCHP_Open_max,MCHP_Open_min,MCHP_Open_volatility,MCHP_Open_change,MCHP_High_average,MCHP_High_max,MCHP_High_min,MCHP_High_volatility,MCHP_High_change,MCHP_Low_average,MCHP_Low_max,MCHP_Low_min,MCHP_Low_volatility,MCHP_Low_change,MCHP_Close_average,MCHP_Close_max,MCHP_Close_min,MCHP_Close_volatility,MCHP_Close_change,MCHP_Volume_average,MCHP_Volume_max,MCHP_Volume_min,MCHP_Volume_volatility,MCHP_Volume_change
2018-01-14,95.57,97.85,94.03,3.819999999999993,3.819999999999993,96.6225,98.14,94.37,3.769999999999996,3.769999999999996,94.85,96.94,92.67,4.269999999999996,4.269999999999996,96.02250000000001,97.45,93.33,4.1200000000000045,4.1200000000000045,2698294,3764861,1758472,2006389,2006389
2018-01-21,96.678,98.69,93.92,4.769999999999996,-3.6899999999999977,97.82,99.17,96.35,2.8200000000000074,-1.6400000000000006,95.184,98.07,92.25,5.819999999999993,-3.75,96.392,98.69,92.48,6.209999999999994,-1.7800000000000011,2527743,3283359,1630974,1652385,1504329
2018-01-28,95.438,96.35,94.0,2.3499999999999943,-2.1400000000000006,96.168,97.29,94.94,2.3500000000000085,-2.3500000000000085,94.428,95.38,93.24,2.1400000000000006,-2.1400000000000006,94.988,96.88,93.31,3.569999999999993,-3.569999999999993,1965223,2045575,1932510,113065,-13363
2018-02-04,86.512,93.1,80.77,12.329999999999998,-12.329999999999998,88.032,94.05,81.98,12.069999999999993,-12.069999999999993,83.55,89.47,78.33,11.14,-11.14,85.054,91.92,79.9,12.019999999999996,-8.459999999999994,7292073,13625175,3524140,10101035,2192628
2018-02-11,81.8,83.11,80.04,3.069999999999993,0.7199999999999989,83.14,83.82,82.38,1.4399999999999977,0.30999999999998806,80.974,82.23,80.0,2.230000000000004,0.7199999999999989,82.38799999999999,83.41,80.81,2.5999999999999943,0.39000000000000057,4027536,5019924,3553649,1466275,-1466275
2018-02-18,84.215,85.23,82.64,2.5900000000000034,2.1700000000000017,85.8025,86.52,85.22,1.2999999999999972,-1.2999999999999972,83.28999999999999,83.67,82.64,1.0300000000000011,1.0300000000000011,84.52250000000001,85.16,83.92,1.2399999999999949,0.29999999999999716,2881100,4026529,2063826,1962703,-1962703
2018-02-25,88.808,92.39,85.45,6.939999999999998,6.939999999999998,90.598,93.75,86.46,7.290000000000006,7.290000000000006,87.624,89.0,85.25,3.75,3.75,88.834,91.29,86.38,4.910000000000011,4.910000000000011,4961107,8528589,2214618,6313971,6313971
2018-03-04,95.142,97.0,91.73,5.269999999999996,5.179999999999993,96.80799999999999,99.13,94.91,4.219999999999999,4.219999999999999,94.012,96.45,91.09,5.359999999999999,5.359999999999999,96.184,98.97,94.47,4.5,4.5,3978271,4781505,3004108,1777397,336964
2018-03-11,98.818,100.99,97.44,3.549999999999997,-1.9300000000000068,99.458,101.48,97.82,3.660000000000011,-1.7000000000000028,97.528,99.3,96.76,2.539999999999992,-2.0600000000000023,98.246,100.24,97.25,2.989999999999995,-2.059999999999988,2660899,3670379,1698422,1971957,-255606
2018-03-18,97.396,98.06,96.7,1.3599999999999994,-0.539999999999992,98.496,100.27,97.0,3.269999999999996,-0.46999999999999886,96.092,98.05,94.01,4.039999999999992,-0.8799999999999955,97.056,99.21,94.01,5.199999999999989,-2.9599999999999937,2642405,3595366,2196025,1399341,946659
2018-03-25,95.16499999999999,98.67,91.93,6.739999999999995,-4.059999999999988,96.0425,99.09,92.61,6.480000000000004,-5.469999999999999,92.43,94.61,90.45,4.159999999999997,-4.159999999999997,93.72749999999999,97.99,91.16,6.829999999999998,-6.6299999999999955,3113131,4269410,1707772,2561638,2561638
2018-04-01,89.11,90.99,87.16,3.8299999999999983,-2.5999999999999943,90.348,91.5,89.2,2.299999999999997,-1.7900000000000063,87.16199999999999,88.44,85.88,2.5600000000000023,-1.3500000000000085,88.546,90.18,86.27,3.910000000000011,-1.3599999999999994,2666851,4366054,1992298,2373756,-1904335
2018-04-08,88.31,89.57,87.13,2.4399999999999977,2.4399999999999977,89.572,90.0,89.03,0.9699999999999989,0.6500000000000057,87.218,88.54,86.12,2.4200000000000017,0.8799999999999955,87.964,89.06,86.2,2.8599999999999994,1.1299999999999955,2721997,3704488,2110589,1593899,-1252774
2018-04-15,87.302,88.67,86.3,2.3700000000000045,-1.7000000000000028,88.28,89.63,86.72,2.9099999999999966,-0.6000000000000085,85.826,87.5,84.45,3.049999999999997,-1.509999999999991,86.824,89.07,85.14,3.9299999999999926,-0.5499999999999972,3160601,3794338,2246879,1547459,-203182
2018-04-22,84.662,85.83,82.66,3.1700000000000017,-0.25,85.524,86.61,84.09,2.519999999999996,-0.5600000000000023,82.804,84.33,81.28,3.049999999999997,-0.7999999999999972,83.876,84.9,82.44,2.460000000000008,0.2599999999999909,2878756,4340874,1557062,2783812,-1757664
2018-04-29,84.51,85.47,83.19,2.280000000000001,0.7199999999999989,86.03,87.76,85.11,2.6500000000000057,2.430000000000007,83.712,85.47,82.64,2.8299999999999983,2.049999999999997,85.416,87.51,83.66,3.8500000000000085,3.8500000000000085,2230622,3160611,1688241,1472370,397450
2018-05-06,90.91,93.5,88.51,4.989999999999995,4.989999999999995,92.012,94.22,89.71,4.510000000000005,4.510000000000005,89.484,92.51,86.52,5.990000000000009,4.859999999999999,91.472,93.16,88.74,4.420000000000002,4.210000000000008,2820457,4488820,1440794,3048026,-2225567
2018-05-13,93.518,94.69,92.5,2.1899999999999977,-1.5999999999999943,94.19200000000001,94.73,93.56,1.1700000000000017,-1.1400000000000006,92.634,93.19,91.93,1.259999999999991,-1.259999999999991,93.3,93.51,92.8,0.710000000000008,-0.6599999999999966,1838097,2991677,1434901,1556776,-224076
2018-05-20,93.9,94.81,93.24,1.5700000000000074,0.8900000000000006,94.93599999999999,95.94,94.14,1.7999999999999972,1.3100000000000023,93.47,94.79,92.73,2.0600000000000023,1.8100000000000023,94.576,95.81,93.81,2.0,2.0,1463140,1703548,1304961,398587,73065
2018-05-27,96.77250000000001,98.36,94.86,3.5,3.5,98.725,101.09,95.98,5.109999999999999,5.109999999999999,96.08,97.66,94.35,3.3100000000000023,3.3100000000000023,97.7925,101.05,95.23,5.819999999999993,5.819999999999993,2648591,3156286,1896142,1260144,1053516
2018-06-03,102.094,103.02,101.05,1.9699999999999989,0.3200000000000074,103.104,104.2,101.73,2.469999999999999,2.469999999999999,101.11,101.69,100.39,1.2999999999999972,0.4000000000000057,102.246,103.31,101.41,1.9000000000000057,0.7400000000000091,2496078,4291486,1536115,2755371,-2755371
2018-06-10,102.526,102.89,102.05,0.8400000000000034,0.480000000000004,102.968,103.27,102.53,0.7399999999999949,-0.4000000000000057,101.644,102.08,100.83,1.25,-0.8900000000000006,102.344,102.69,101.98,0.7099999999999937,-0.4200000000000017,2234274,3115418,1251418,1864000,1303673
2018-06-17,100.658,101.69,98.98,2.7099999999999937,-2.259999999999991,101.192,101.88,99.4,2.4799999999999898,-2.4799999999999898,99.078,100.5,96.37,4.1299999999999955,-4.1299999999999955,99.778,101.64,96.92,4.719999999999999,-4.719999999999999,1824563,2845642,1353458,1492184,1201540
2018-06-24,92.75,96.01,89.93,6.079999999999998,-5.280000000000001,93.618,96.3,91.26,5.039999999999992,-4.340000000000003,91.188,92.72,89.93,2.789999999999992,-2.3100000000000023,91.614,93.24,90.3,2.9399999999999977,-2.289999999999992,2706056,3194570,1768227,1426343,-18539
