Date,iShares MSCI MalaysiaEtf_Open_average,iShares MSCI MalaysiaEtf_Open_max,iShares MSCI MalaysiaEtf_Open_min,iShares MSCI MalaysiaEtf_Open_volatility,iShares MSCI MalaysiaEtf_Open_change,iShares MSCI MalaysiaEtf_High_average,iShares MSCI MalaysiaEtf_High_max,iShares MSCI MalaysiaEtf_High_min,iShares MSCI MalaysiaEtf_High_volatility,iShares MSCI MalaysiaEtf_High_change,iShares MSCI MalaysiaEtf_Low_average,iShares MSCI MalaysiaEtf_Low_max,iShares MSCI MalaysiaEtf_Low_min,iShares MSCI MalaysiaEtf_Low_volatility,iShares MSCI MalaysiaEtf_Low_change,iShares MSCI MalaysiaEtf_Close_average,iShares MSCI MalaysiaEtf_Close_max,iShares MSCI MalaysiaEtf_Close_min,iShares MSCI MalaysiaEtf_Close_volatility,iShares MSCI MalaysiaEtf_Close_change
2018-01-14,34.89,34.89,34.89,0.0,0.0,35.02,35.02,35.02,0.0,0.0,34.84,34.84,34.84,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-01-21,35.96,35.96,35.96,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.8,35.8,35.8,0.0,0.0,36.06,36.06,36.06,0.0,0.0
2018-01-28,35.74,35.74,35.74,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2018-02-04,34.1,34.1,34.1,0.0,0.0,34.26,34.26,34.26,0.0,0.0,33.37,33.37,33.37,0.0,0.0,34.02,34.02,34.02,0.0,0.0
2018-02-11,35.42,35.42,35.42,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2018-02-18,35.41,35.41,35.41,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2018-02-25,35.01,35.01,35.01,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.7,34.7,34.7,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2018-03-04,35.03,35.03,35.03,0.0,0.0,35.42,35.42,35.42,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2018-03-11,35.12,35.12,35.12,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2018-03-18,35.46,35.46,35.46,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2018-03-25,35.79,35.79,35.79,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.79,35.79,35.79,0.0,0.0,36.14,36.14,36.14,0.0,0.0
2018-04-01,35.55,35.55,35.55,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2018-04-08,36.3,36.3,36.3,0.0,0.0,36.53,36.53,36.53,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-04-15,36.22,36.22,36.22,0.0,0.0,36.33,36.33,36.33,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-04-22,35.59,35.59,35.59,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-04-29,34.6,34.6,34.6,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.89,34.89,34.89,0.0,0.0
2018-05-06,33.48,33.48,33.48,0.0,0.0,33.58,33.58,33.58,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.72,32.72,32.72,0.0,0.0
