Date,ProShares VIX Mid Term Futures_Open_average,ProShares VIX Mid Term Futures_Open_max,ProShares VIX Mid Term Futures_Open_min,ProShares VIX Mid Term Futures_Open_volatility,ProShares VIX Mid Term Futures_Open_change,ProShares VIX Mid Term Futures_High_average,ProShares VIX Mid Term Futures_High_max,ProShares VIX Mid Term Futures_High_min,ProShares VIX Mid Term Futures_High_volatility,ProShares VIX Mid Term Futures_High_change,ProShares VIX Mid Term Futures_Low_average,ProShares VIX Mid Term Futures_Low_max,ProShares VIX Mid Term Futures_Low_min,ProShares VIX Mid Term Futures_Low_volatility,ProShares VIX Mid Term Futures_Low_change,ProShares VIX Mid Term Futures_Close_average,ProShares VIX Mid Term Futures_Close_max,ProShares VIX Mid Term Futures_Close_min,ProShares VIX Mid Term Futures_Close_volatility,ProShares VIX Mid Term Futures_Close_change
2018-01-14,20.45,20.45,20.45,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.16,20.16,20.16,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2018-01-21,21.08,21.08,21.08,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2018-01-28,22.33,22.33,22.33,0.0,0.0,25.07,25.07,25.07,0.0,0.0,21.63,21.63,21.63,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2018-02-04,24.99,24.99,24.99,0.0,0.0,25.83,25.83,25.83,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-02-11,24.54,24.54,24.54,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2018-02-18,23.63,23.63,23.63,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2018-02-25,25.83,25.83,25.83,0.0,0.0,25.83,25.83,25.83,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2018-03-04,24.05,24.05,24.05,0.0,0.0,24.46,24.46,24.46,0.0,0.0,23.98,23.98,23.98,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-03-11,24.66,24.66,24.66,0.0,0.0,25.49,25.49,25.49,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-03-18,25.72,25.72,25.72,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-03-25,26.75,26.75,26.75,0.0,0.0,27.87,27.87,27.87,0.0,0.0,26.65,26.65,26.65,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-04-01,26.96,26.96,26.96,0.0,0.0,27.24,27.24,27.24,0.0,0.0,26.76,26.76,26.76,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-04-08,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-04-15,24.93,24.93,24.93,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.89,24.89,24.89,0.0,0.0
2018-04-22,24.57,24.57,24.57,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2018-04-29,24.06,24.06,24.06,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2018-05-06,22.61,22.61,22.61,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.36,22.36,22.36,0.0,0.0
2018-05-13,22.22,22.22,22.22,0.0,0.0,22.31,22.31,22.31,0.0,0.0,22.05,22.05,22.05,0.0,0.0,22.16,22.16,22.16,0.0,0.0
2018-05-20,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.17,22.17,22.17,0.0,0.0
2018-05-27,22.29,22.29,22.29,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.07,22.07,22.07,0.0,0.0,22.08,22.08,22.08,0.0,0.0
2018-06-03,21.68,21.68,21.68,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.59,21.59,21.59,0.0,0.0
2018-06-10,21.69,21.69,21.69,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.27,21.27,21.27,0.0,0.0
2018-06-17,22.1,22.1,22.1,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.03,22.03,22.03,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2018-06-24,23.63,23.63,23.63,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.07,23.07,23.07,0.0,0.0
2018-07-01,22.07,22.07,22.07,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.54,21.54,21.54,0.0,0.0,21.56,21.56,21.56,0.0,0.0
2018-07-08,21.2,21.2,21.2,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2018-07-15,21.68,21.68,21.68,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.54,21.54,21.54,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2018-07-22,21.61,21.61,21.61,0.0,0.0,22.01,22.01,22.01,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.94,21.94,21.94,0.0,0.0
