Date,ProShares UltraPro QQQ_Open_average,ProShares UltraPro QQQ_Open_max,ProShares UltraPro QQQ_Open_min,ProShares UltraPro QQQ_Open_volatility,ProShares UltraPro QQQ_Open_change,ProShares UltraPro QQQ_High_average,ProShares UltraPro QQQ_High_max,ProShares UltraPro QQQ_High_min,ProShares UltraPro QQQ_High_volatility,ProShares UltraPro QQQ_High_change,ProShares UltraPro QQQ_Low_average,ProShares UltraPro QQQ_Low_max,ProShares UltraPro QQQ_Low_min,ProShares UltraPro QQQ_Low_volatility,ProShares UltraPro QQQ_Low_change,ProShares UltraPro QQQ_Close_average,ProShares UltraPro QQQ_Close_max,ProShares UltraPro QQQ_Close_min,ProShares UltraPro QQQ_Close_volatility,ProShares UltraPro QQQ_Close_change
2018-01-14,55.99,55.99,55.99,0.0,0.0,57.88,57.88,57.88,0.0,0.0,55.85,55.85,55.85,0.0,0.0,57.88,57.88,57.88,0.0,0.0
2018-01-21,60.3,60.3,60.3,0.0,0.0,60.71,60.71,60.71,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.86,59.86,59.86,0.0,0.0
2018-01-28,52.58,52.58,52.58,0.0,0.0,55.21,55.21,55.21,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.82,47.82,47.82,0.0,0.0
2018-02-04,46.93,46.93,46.93,0.0,0.0,48.8,48.8,48.8,0.0,0.0,45.74,45.74,45.74,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2018-02-11,53.63,53.63,53.63,0.0,0.0,55.16,55.16,55.16,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.42,53.42,53.42,0.0,0.0
2018-02-18,57.27,57.27,57.27,0.0,0.0,58.67,58.67,58.67,0.0,0.0,57.14,57.14,57.14,0.0,0.0,58.65,58.65,58.65,0.0,0.0
2018-02-25,53.43,53.43,53.43,0.0,0.0,56.37,56.37,56.37,0.0,0.0,52.79,52.79,52.79,0.0,0.0,55.89,55.89,55.89,0.0,0.0
2018-03-04,61.83,61.83,61.83,0.0,0.0,62.72,62.72,62.72,0.0,0.0,61.45,61.45,61.45,0.0,0.0,62.16,62.16,62.16,0.0,0.0
2018-03-11,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0,53.69,53.69,53.69,0.0,0.0,55.33,55.33,55.33,0.0,0.0
2018-03-18,49.67,49.67,49.67,0.0,0.0,52.28,52.28,52.28,0.0,0.0,47.46,47.46,47.46,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-03-25,46.84,46.84,46.84,0.0,0.0,47.5,47.5,47.5,0.0,0.0,42.26,42.26,42.26,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2018-04-01,45.65,45.65,45.65,0.0,0.0,48.09,48.09,48.09,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2018-04-08,49.47,49.47,49.47,0.0,0.0,50.13,50.13,50.13,0.0,0.0,48.59,48.59,48.59,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-04-15,49.85,49.85,49.85,0.0,0.0,50.44,50.44,50.44,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-04-22,49.14,49.14,49.14,0.0,0.0,50.03,50.03,50.03,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.77,47.77,47.77,0.0,0.0
