Date,ARK Web X.0_Open_average,ARK Web X.0_Open_max,ARK Web X.0_Open_min,ARK Web X.0_Open_volatility,ARK Web X.0_Open_change,ARK Web X.0_High_average,ARK Web X.0_High_max,ARK Web X.0_High_min,ARK Web X.0_High_volatility,ARK Web X.0_High_change,ARK Web X.0_Low_average,ARK Web X.0_Low_max,ARK Web X.0_Low_min,ARK Web X.0_Low_volatility,ARK Web X.0_Low_change,ARK Web X.0_Close_average,ARK Web X.0_Close_max,ARK Web X.0_Close_min,ARK Web X.0_Close_volatility,ARK Web X.0_Close_change
2018-01-14,49.27,49.27,49.27,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-01-21,51.24,51.24,51.24,0.0,0.0,51.46,51.46,51.46,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2018-01-28,48.18,48.18,48.18,0.0,0.0,49.3,49.3,49.3,0.0,0.0,46.65,46.65,46.65,0.0,0.0,47.03,47.03,47.03,0.0,0.0
2018-02-04,48.0,48.0,48.0,0.0,0.0,48.48,48.48,48.48,0.0,0.0,47.25,47.25,47.25,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2018-02-11,51.36,51.36,51.36,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2018-02-18,52.3,52.3,52.3,0.0,0.0,52.44,52.44,52.44,0.0,0.0,51.94,51.94,51.94,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2018-02-25,51.86,51.86,51.86,0.0,0.0,52.98,52.98,52.98,0.0,0.0,51.52,51.52,51.52,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2018-03-04,54.94,54.94,54.94,0.0,0.0,55.18,55.18,55.18,0.0,0.0,54.73,54.73,54.73,0.0,0.0,55.01,55.01,55.01,0.0,0.0
2018-03-11,53.92,53.92,53.92,0.0,0.0,54.05,54.05,54.05,0.0,0.0,52.91,52.91,52.91,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2018-03-18,51.88,51.88,51.88,0.0,0.0,52.58,52.58,52.58,0.0,0.0,50.88,50.88,50.88,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-03-25,49.33,49.33,49.33,0.0,0.0,49.64,49.64,49.64,0.0,0.0,47.89,47.89,47.89,0.0,0.0,48.41,48.41,48.41,0.0,0.0
2018-04-01,49.17,49.17,49.17,0.0,0.0,49.86,49.86,49.86,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-04-08,50.37,50.37,50.37,0.0,0.0,50.37,50.37,50.37,0.0,0.0,49.61,49.61,49.61,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-04-15,51.29,51.29,51.29,0.0,0.0,51.29,51.29,51.29,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.47,50.47,50.47,0.0,0.0
