Date,iShares Edge MSCI Min Vol Global_Open_average,iShares Edge MSCI Min Vol Global_Open_max,iShares Edge MSCI Min Vol Global_Open_min,iShares Edge MSCI Min Vol Global_Open_volatility,iShares Edge MSCI Min Vol Global_Open_change,iShares Edge MSCI Min Vol Global_High_average,iShares Edge MSCI Min Vol Global_High_max,iShares Edge MSCI Min Vol Global_High_min,iShares Edge MSCI Min Vol Global_High_volatility,iShares Edge MSCI Min Vol Global_High_change,iShares Edge MSCI Min Vol Global_Low_average,iShares Edge MSCI Min Vol Global_Low_max,iShares Edge MSCI Min Vol Global_Low_min,iShares Edge MSCI Min Vol Global_Low_volatility,iShares Edge MSCI Min Vol Global_Low_change,iShares Edge MSCI Min Vol Global_Close_average,iShares Edge MSCI Min Vol Global_Close_max,iShares Edge MSCI Min Vol Global_Close_min,iShares Edge MSCI Min Vol Global_Close_volatility,iShares Edge MSCI Min Vol Global_Close_change
2018-01-14,86.52,86.52,86.52,0.0,0.0,86.84,86.84,86.84,0.0,0.0,86.49,86.49,86.49,0.0,0.0,86.83,86.83,86.83,0.0,0.0
2018-01-21,87.9,87.9,87.9,0.0,0.0,87.99,87.99,87.99,0.0,0.0,87.38,87.38,87.38,0.0,0.0,87.42,87.42,87.42,0.0,0.0
2018-01-28,84.8,84.8,84.8,0.0,0.0,85.17,85.17,85.17,0.0,0.0,82.75,82.75,82.75,0.0,0.0,82.94,82.94,82.94,0.0,0.0
2018-02-04,82.17,82.17,82.17,0.0,0.0,82.79,82.79,82.79,0.0,0.0,81.81,81.81,81.81,0.0,0.0,82.48,82.48,82.48,0.0,0.0
2018-02-11,84.4,84.4,84.4,0.0,0.0,85.03,85.03,85.03,0.0,0.0,84.39,84.39,84.39,0.0,0.0,84.66,84.66,84.66,0.0,0.0
2018-02-18,84.82,84.82,84.82,0.0,0.0,85.22,85.22,85.22,0.0,0.0,84.66,84.66,84.66,0.0,0.0,85.12,85.12,85.12,0.0,0.0
2018-02-25,82.6,82.6,82.6,0.0,0.0,83.69,83.69,83.69,0.0,0.0,82.58,82.58,82.58,0.0,0.0,83.62,83.62,83.62,0.0,0.0
2018-03-04,84.91,84.91,84.91,0.0,0.0,85.05,85.05,85.05,0.0,0.0,84.66,84.66,84.66,0.0,0.0,84.8,84.8,84.8,0.0,0.0
2018-03-11,84.6,84.6,84.6,0.0,0.0,84.6,84.6,84.6,0.0,0.0,83.72,83.72,83.72,0.0,0.0,84.09,84.09,84.09,0.0,0.0
2018-03-18,82.72,82.72,82.72,0.0,0.0,83.16,83.16,83.16,0.0,0.0,82.22,82.22,82.22,0.0,0.0,83.11,83.11,83.11,0.0,0.0
2018-03-25,83.65,83.65,83.65,0.0,0.0,83.98,83.98,83.98,0.0,0.0,82.11,82.11,82.11,0.0,0.0,82.59,82.59,82.59,0.0,0.0
