Date,PowerShares Dynamic Leisure & Entertainment_Open_average,PowerShares Dynamic Leisure & Entertainment_Open_max,PowerShares Dynamic Leisure & Entertainment_Open_min,PowerShares Dynamic Leisure & Entertainment_Open_volatility,PowerShares Dynamic Leisure & Entertainment_Open_change,PowerShares Dynamic Leisure & Entertainment_High_average,PowerShares Dynamic Leisure & Entertainment_High_max,PowerShares Dynamic Leisure & Entertainment_High_min,PowerShares Dynamic Leisure & Entertainment_High_volatility,PowerShares Dynamic Leisure & Entertainment_High_change,PowerShares Dynamic Leisure & Entertainment_Low_average,PowerShares Dynamic Leisure & Entertainment_Low_max,PowerShares Dynamic Leisure & Entertainment_Low_min,PowerShares Dynamic Leisure & Entertainment_Low_volatility,PowerShares Dynamic Leisure & Entertainment_Low_change,PowerShares Dynamic Leisure & Entertainment_Close_average,PowerShares Dynamic Leisure & Entertainment_Close_max,PowerShares Dynamic Leisure & Entertainment_Close_min,PowerShares Dynamic Leisure & Entertainment_Close_volatility,PowerShares Dynamic Leisure & Entertainment_Close_change
2018-01-14,46.1,46.1,46.1,0.0,0.0,46.41,46.41,46.41,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2018-01-21,46.25,46.25,46.25,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2018-01-28,45.28,45.28,45.28,0.0,0.0,45.41,45.41,45.41,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-02-04,44.02,44.02,44.02,0.0,0.0,44.45,44.45,44.45,0.0,0.0,43.84,43.84,43.84,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-02-11,45.28,45.28,45.28,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-02-18,45.48,45.48,45.48,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2018-02-25,44.24,44.24,44.24,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2018-03-04,46.57,46.57,46.57,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2018-03-11,45.94,45.94,45.94,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2018-03-18,44.16,44.16,44.16,0.0,0.0,44.69,44.69,44.69,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.69,44.69,44.69,0.0,0.0
2018-03-25,44.39,44.39,44.39,0.0,0.0,44.39,44.39,44.39,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2018-04-01,44.13,44.13,44.13,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.11,44.11,44.11,0.0,0.0
2018-04-08,44.73,44.73,44.73,0.0,0.0,45.11,45.11,45.11,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2018-04-15,45.55,45.55,45.55,0.0,0.0,45.97,45.97,45.97,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.77,45.77,45.77,0.0,0.0
2018-04-22,45.15,45.15,45.15,0.0,0.0,45.37,45.37,45.37,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.99,44.99,44.99,0.0,0.0
