Date,iShares Morningstar Large-Cap_Open_average,iShares Morningstar Large-Cap_Open_max,iShares Morningstar Large-Cap_Open_min,iShares Morningstar Large-Cap_Open_volatility,iShares Morningstar Large-Cap_Open_change,iShares Morningstar Large-Cap_High_average,iShares Morningstar Large-Cap_High_max,iShares Morningstar Large-Cap_High_min,iShares Morningstar Large-Cap_High_volatility,iShares Morningstar Large-Cap_High_change,iShares Morningstar Large-Cap_Low_average,iShares Morningstar Large-Cap_Low_max,iShares Morningstar Large-Cap_Low_min,iShares Morningstar Large-Cap_Low_volatility,iShares Morningstar Large-Cap_Low_change,iShares Morningstar Large-Cap_Close_average,iShares Morningstar Large-Cap_Close_max,iShares Morningstar Large-Cap_Close_min,iShares Morningstar Large-Cap_Close_volatility,iShares Morningstar Large-Cap_Close_change
2018-01-14,165.69,165.69,165.69,0.0,0.0,166.0,166.0,166.0,0.0,0.0,165.32,165.32,165.32,0.0,0.0,165.78,165.78,165.78,0.0,0.0
2018-01-21,166.59,166.59,166.59,0.0,0.0,167.9,167.9,167.9,0.0,0.0,166.27,166.27,166.27,0.0,0.0,167.9,167.9,167.9,0.0,0.0
2018-01-28,164.1,164.1,164.1,0.0,0.0,164.18,164.18,164.18,0.0,0.0,161.4,161.4,161.4,0.0,0.0,161.5,161.5,161.5,0.0,0.0
2018-02-04,153.26,153.26,153.26,0.0,0.0,154.83,154.83,154.83,0.0,0.0,149.19,149.19,149.19,0.0,0.0,153.71,153.71,153.71,0.0,0.0
2018-02-11,159.86,159.86,159.86,0.0,0.0,161.34,161.34,161.34,0.0,0.0,159.86,159.86,159.86,0.0,0.0,160.54,160.54,160.54,0.0,0.0
2018-02-18,159.48,159.48,159.48,0.0,0.0,160.88,160.88,160.88,0.0,0.0,159.31,159.31,159.31,0.0,0.0,160.88,160.88,160.88,0.0,0.0
2018-02-25,155.45,155.45,155.45,0.0,0.0,157.4,157.4,157.4,0.0,0.0,155.26,155.26,155.26,0.0,0.0,157.4,157.4,157.4,0.0,0.0
2018-03-04,160.86,160.86,160.86,0.0,0.0,162.39,162.39,162.39,0.0,0.0,160.7,160.7,160.7,0.0,0.0,162.39,162.39,162.39,0.0,0.0
2018-03-11,160.12,160.12,160.12,0.0,0.0,160.72,160.72,160.72,0.0,0.0,160.05,160.05,160.05,0.0,0.0,160.05,160.05,160.05,0.0,0.0
2018-03-18,153.13,153.13,153.13,0.0,0.0,153.68,153.68,153.68,0.0,0.0,150.0,150.0,150.0,0.0,0.0,150.15,150.15,150.15,0.0,0.0
2018-03-25,152.32,152.32,152.32,0.0,0.0,154.38,154.38,154.38,0.0,0.0,152.24,152.24,152.24,0.0,0.0,153.31,153.31,153.31,0.0,0.0
