Date,ProShares UltraShort MidCap400_Open_average,ProShares UltraShort MidCap400_Open_max,ProShares UltraShort MidCap400_Open_min,ProShares UltraShort MidCap400_Open_volatility,ProShares UltraShort MidCap400_Open_change,ProShares UltraShort MidCap400_High_average,ProShares UltraShort MidCap400_High_max,ProShares UltraShort MidCap400_High_min,ProShares UltraShort MidCap400_High_volatility,ProShares UltraShort MidCap400_High_change,ProShares UltraShort MidCap400_Low_average,ProShares UltraShort MidCap400_Low_max,ProShares UltraShort MidCap400_Low_min,ProShares UltraShort MidCap400_Low_volatility,ProShares UltraShort MidCap400_Low_change,ProShares UltraShort MidCap400_Close_average,ProShares UltraShort MidCap400_Close_max,ProShares UltraShort MidCap400_Close_min,ProShares UltraShort MidCap400_Close_volatility,ProShares UltraShort MidCap400_Close_change
2018-01-14,17.47,17.47,17.47,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.31,17.31,17.31,0.0,0.0,17.31,17.31,17.31,0.0,0.0
2018-01-21,17.2,17.2,17.2,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.12,17.12,17.12,0.0,0.0
2018-01-28,17.94,17.94,17.94,0.0,0.0,18.39,18.39,18.39,0.0,0.0,17.93,17.93,17.93,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2018-02-04,20.09,20.09,20.09,0.0,0.0,21.3,21.3,21.3,0.0,0.0,20.09,20.09,20.09,0.0,0.0,20.58,20.58,20.58,0.0,0.0
2018-02-11,18.71,18.71,18.71,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-02-18,18.73,18.73,18.73,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.82,18.82,18.82,0.0,0.0
2018-02-25,19.5,19.5,19.5,0.0,0.0,19.63,19.63,19.63,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.92,18.92,18.92,0.0,0.0
2018-03-04,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.54,17.54,17.54,0.0,0.0
2018-03-11,17.75,17.75,17.75,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.75,17.75,17.75,0.0,0.0
2018-03-18,18.95,18.95,18.95,0.0,0.0,19.67,19.67,19.67,0.0,0.0,18.95,18.95,18.95,0.0,0.0,19.65,19.65,19.65,0.0,0.0
2018-03-25,19.28,19.28,19.28,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.38,19.38,19.38,0.0,0.0
2018-04-01,18.6,18.6,18.6,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2018-04-08,18.42,18.42,18.42,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.59,18.59,18.59,0.0,0.0
