Date,COF_Open_average,COF_Open_max,COF_Open_min,COF_Open_volatility,COF_Open_change,COF_High_average,COF_High_max,COF_High_min,COF_High_volatility,COF_High_change,COF_Low_average,COF_Low_max,COF_Low_min,COF_Low_volatility,COF_Low_change,COF_Close_average,COF_Close_max,COF_Close_min,COF_Close_volatility,COF_Close_change,COF_Volume_average,COF_Volume_max,COF_Volume_min,COF_Volume_volatility,COF_Volume_change
2018-01-14,104.494,106.0,102.7,3.299999999999997,-1.6700000000000017,105.32000000000001,106.47,104.41,2.0600000000000023,-0.9299999999999926,103.196,103.75,102.11,1.6400000000000006,0.010000000000005116,104.41799999999999,105.49,103.41,2.0799999999999983,1.0699999999999932,2587422,2928947,2287310,641637,-268486
2018-01-21,104.846,105.56,104.25,1.3100000000000023,-0.6599999999999966,105.81400000000001,106.5,104.98,1.519999999999996,-0.15000000000000568,103.916,104.34,103.65,0.6899999999999977,0.46999999999999886,104.946,105.71,104.26,1.4499999999999886,-1.1099999999999994,2996992,4170639,2258030,1912609,-646097
2018-01-28,103.252,104.32,100.54,3.779999999999987,-3.559999999999988,104.214,104.91,102.07,2.8400000000000034,-2.8400000000000034,101.39,103.46,95.58,7.8799999999999955,-7.8799999999999955,102.14399999999999,104.72,97.0,7.719999999999999,-6.469999999999999,2138121,3056413,1754618,1301795,1234580
2018-02-04,95.298,98.27,92.32,5.950000000000003,-1.6700000000000017,97.362,99.63,93.5,6.1299999999999955,-2.25,92.86,97.89,88.75,9.14,-0.21999999999999886,95.114,98.44,91.8,6.640000000000001,-3.25,3744995,5557752,2481284,3076468,-1190400
2018-02-11,96.44,98.29,94.6,3.690000000000012,3.6700000000000017,98.1425,100.27,95.51,4.759999999999991,4.759999999999991,95.93,98.18,93.66,4.52000000000001,4.52000000000001,97.7225,99.53,95.31,4.219999999999999,4.219999999999999,2210103,2506013,2089188,416825,26817
2018-02-18,98.254,99.19,97.36,1.8299999999999983,0.4200000000000017,99.444,100.78,98.55,2.230000000000004,1.019999999999996,97.55,98.8,96.43,2.3699999999999903,0.7199999999999989,98.462,100.75,96.67,4.079999999999998,2.2900000000000063,2082095,2834083,1351945,1482138,-283816
2018-02-25,98.084,100.51,95.86,4.650000000000006,-4.450000000000003,99.268,101.67,96.91,4.760000000000005,-3.489999999999995,96.572,99.22,94.27,4.950000000000003,-3.6200000000000045,97.662,99.25,96.51,2.739999999999995,-1.3499999999999943,1928948,2321744,1511331,810413,524608
2018-03-04,98.634,100.76,96.71,4.050000000000011,2.2900000000000063,99.352,101.19,97.81,3.3799999999999955,2.719999999999999,97.7,100.14,96.24,3.9000000000000057,3.5600000000000023,99.014,100.79,97.63,3.160000000000011,2.4199999999999875,1931100,2161833,1745252,416581,-23373
2018-03-11,99.138,101.03,97.84,3.1899999999999977,-1.9899999999999949,99.998,101.44,99.25,2.1899999999999977,-2.0799999999999983,97.59,98.43,96.69,1.740000000000009,-1.3000000000000114,98.416,99.36,97.2,2.1599999999999966,-0.1699999999999875,2094116,2735677,1654643,1081034,-460935
2018-03-18,96.758,98.94,94.11,4.829999999999998,-4.829999999999998,97.52,99.84,95.24,4.6000000000000085,-4.280000000000001,95.158,98.36,92.39,5.969999999999999,-5.700000000000003,95.792,98.67,92.39,6.280000000000001,-3.6000000000000085,2216647,3220823,1270892,1949931,1583266
