Date,DXLG_stock_Open_average,DXLG_stock_Open_max,DXLG_stock_Open_min,DXLG_stock_Open_volatility,DXLG_stock_Open_change,DXLG_stock_High_average,DXLG_stock_High_max,DXLG_stock_High_min,DXLG_stock_High_volatility,DXLG_stock_High_change,DXLG_stock_Low_average,DXLG_stock_Low_max,DXLG_stock_Low_min,DXLG_stock_Low_volatility,DXLG_stock_Low_change,DXLG_stock_Close_average,DXLG_stock_Close_max,DXLG_stock_Close_min,DXLG_stock_Close_volatility,DXLG_stock_Close_change,DXLG_stock_Volume_average,DXLG_stock_Volume_max,DXLG_stock_Volume_min,DXLG_stock_Volume_volatility,DXLG_stock_Volume_change
2018-01-14,2.4125,2.5,2.35,0.1499999999999999,0.10000000000000009,2.5375,2.6,2.5,0.10000000000000009,0.10000000000000009,2.3737500000000002,2.5,2.25,0.25,0.25,2.4625,2.55,2.4,0.1499999999999999,0.1499999999999999,64905,94833,47407,47426,10583
2018-01-21,2.62,2.7,2.55,0.15000000000000036,0.050000000000000266,2.675,2.7,2.65,0.050000000000000266,0.050000000000000266,2.58,2.6,2.55,0.050000000000000266,0.050000000000000266,2.645,2.675,2.6,0.07499999999999973,0.07499999999999973,51421,64335,38038,26297,-21957
2018-01-28,2.56,2.65,2.5,0.1499999999999999,-0.10000000000000009,2.61,2.65,2.6,0.04999999999999982,-0.04999999999999982,2.51,2.55,2.4,0.1499999999999999,0.04999999999999982,2.575,2.6,2.5,0.10000000000000009,0.07500000000000018,91288,119659,56526,63133,10995
2018-02-04,2.4,2.55,2.25,0.2999999999999998,-0.2999999999999998,2.46,2.6,2.3,0.30000000000000027,-0.30000000000000027,2.3200000000000003,2.45,2.2,0.25,-0.25,2.35,2.45,2.25,0.20000000000000018,-0.20000000000000018,106925,264881,26924,237957,-231960
2018-02-11,2.27,2.3,2.25,0.04999999999999982,0.0,2.349,2.45,2.3,0.15000000000000036,0.10499999999999998,2.23,2.25,2.2,0.04999999999999982,-0.04999999999999982,2.27,2.3,2.25,0.04999999999999982,0.04999999999999982,47331,161692,8460,153232,137180
2018-02-18,2.35,2.4,2.3,0.10000000000000009,0.10000000000000009,2.3875,2.45,2.35,0.10000000000000009,0.10000000000000009,2.2625,2.3,2.25,0.04999999999999982,0.0,2.375,2.45,2.325,0.125,0.125,29681,53471,7916,45555,-25689
2018-02-25,2.46,2.5,2.45,0.04999999999999982,0.04999999999999982,2.54,2.6,2.5,0.10000000000000009,0.050000000000000266,2.38,2.5,2.3,0.20000000000000018,0.1499999999999999,2.48,2.55,2.45,0.09999999999999964,0.09999999999999964,78816,147671,18251,129420,-79305
2018-03-04,2.52,2.55,2.5,0.04999999999999982,0.0,2.56,2.6,2.55,0.050000000000000266,0.050000000000000266,2.485,2.5,2.45,0.04999999999999982,0.0,2.515,2.55,2.5,0.04999999999999982,0.04999999999999982,35597,60779,13268,47511,9307
2018-03-11,2.49,2.55,2.45,0.09999999999999964,-0.04999999999999982,2.54,2.55,2.5,0.04999999999999982,-0.04999999999999982,2.4,2.5,2.2,0.2999999999999998,-0.19999999999999973,2.475,2.55,2.4,0.1499999999999999,-0.1499999999999999,156273,582889,20331,562558,472581
2018-03-18,2.34,2.4,2.3,0.10000000000000009,-0.10000000000000009,2.4099999999999997,2.5,2.3,0.20000000000000018,-0.20000000000000018,2.205,2.35,1.85,0.5,-0.5,2.26,2.35,2.0,0.3500000000000001,-0.3500000000000001,193648,684893,59036,625857,611538
