Date,VanEck Vectors Brazil Small-Cap_Open_average,VanEck Vectors Brazil Small-Cap_Open_max,VanEck Vectors Brazil Small-Cap_Open_min,VanEck Vectors Brazil Small-Cap_Open_volatility,VanEck Vectors Brazil Small-Cap_Open_change,VanEck Vectors Brazil Small-Cap_High_average,VanEck Vectors Brazil Small-Cap_High_max,VanEck Vectors Brazil Small-Cap_High_min,VanEck Vectors Brazil Small-Cap_High_volatility,VanEck Vectors Brazil Small-Cap_High_change,VanEck Vectors Brazil Small-Cap_Low_average,VanEck Vectors Brazil Small-Cap_Low_max,VanEck Vectors Brazil Small-Cap_Low_min,VanEck Vectors Brazil Small-Cap_Low_volatility,VanEck Vectors Brazil Small-Cap_Low_change,VanEck Vectors Brazil Small-Cap_Close_average,VanEck Vectors Brazil Small-Cap_Close_max,VanEck Vectors Brazil Small-Cap_Close_min,VanEck Vectors Brazil Small-Cap_Close_volatility,VanEck Vectors Brazil Small-Cap_Close_change
2018-01-14,24.58,24.58,24.58,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2018-01-21,25.7,25.7,25.7,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-01-28,24.46,24.46,24.46,0.0,0.0,24.51,24.51,24.51,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2018-02-04,23.61,23.61,23.61,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.76,23.76,23.76,0.0,0.0
2018-02-11,24.26,24.26,24.26,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2018-02-18,25.16,25.16,25.16,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2018-02-25,24.44,24.44,24.44,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2018-03-04,24.74,24.74,24.74,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2018-03-11,24.3,24.3,24.3,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2018-03-18,24.08,24.08,24.08,0.0,0.0,24.3,24.3,24.3,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2018-03-25,23.94,23.94,23.94,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.45,23.45,23.45,0.0,0.0,23.48,23.48,23.48,0.0,0.0
2018-04-01,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.67,22.67,22.67,0.0,0.0
