Date,PowerShares Dynamic Large Cap ValueEtf_Open_average,PowerShares Dynamic Large Cap ValueEtf_Open_max,PowerShares Dynamic Large Cap ValueEtf_Open_min,PowerShares Dynamic Large Cap ValueEtf_Open_volatility,PowerShares Dynamic Large Cap ValueEtf_Open_change,PowerShares Dynamic Large Cap ValueEtf_High_average,PowerShares Dynamic Large Cap ValueEtf_High_max,PowerShares Dynamic Large Cap ValueEtf_High_min,PowerShares Dynamic Large Cap ValueEtf_High_volatility,PowerShares Dynamic Large Cap ValueEtf_High_change,PowerShares Dynamic Large Cap ValueEtf_Low_average,PowerShares Dynamic Large Cap ValueEtf_Low_max,PowerShares Dynamic Large Cap ValueEtf_Low_min,PowerShares Dynamic Large Cap ValueEtf_Low_volatility,PowerShares Dynamic Large Cap ValueEtf_Low_change,PowerShares Dynamic Large Cap ValueEtf_Close_average,PowerShares Dynamic Large Cap ValueEtf_Close_max,PowerShares Dynamic Large Cap ValueEtf_Close_min,PowerShares Dynamic Large Cap ValueEtf_Close_volatility,PowerShares Dynamic Large Cap ValueEtf_Close_change
2018-01-14,39.59,39.59,39.59,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-01-21,40.17,40.17,40.17,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2018-01-28,39.36,39.36,39.36,0.0,0.0,39.37,39.37,39.37,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2018-02-04,36.81,36.81,36.81,0.0,0.0,37.19,37.19,37.19,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-02-11,38.29,38.29,38.29,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2018-02-18,37.91,37.91,37.91,0.0,0.0,38.29,38.29,38.29,0.0,0.0,37.88,37.88,37.88,0.0,0.0,38.29,38.29,38.29,0.0,0.0
2018-02-25,36.95,36.95,36.95,0.0,0.0,37.49,37.49,37.49,0.0,0.0,36.87,36.87,36.87,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-03-04,38.12,38.12,38.12,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2018-03-11,37.96,37.96,37.96,0.0,0.0,38.22,38.22,38.22,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.01,38.01,38.01,0.0,0.0
2018-03-18,36.48,36.48,36.48,0.0,0.0,36.6,36.6,36.6,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-03-25,36.25,36.25,36.25,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2018-04-01,36.4,36.4,36.4,0.0,0.0,36.59,36.59,36.59,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-04-08,36.87,36.87,36.87,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2018-04-15,36.9,36.9,36.9,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-04-22,36.54,36.54,36.54,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2018-04-29,35.15,35.15,35.15,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-05-06,36.3,36.3,36.3,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2018-05-13,36.64,36.64,36.64,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2018-05-20,36.52,36.52,36.52,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2018-05-27,36.37,36.37,36.37,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2018-06-03,37.04,37.04,37.04,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-06-10,36.79,36.79,36.79,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-06-17,36.2,36.2,36.2,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2018-06-24,35.81,35.81,35.81,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.66,35.66,35.66,0.0,0.0
2018-07-01,35.72,35.72,35.72,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-07-08,36.3,36.3,36.3,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.21,36.21,36.21,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-07-15,36.41,36.41,36.41,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2018-07-22,36.95,36.95,36.95,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2018-07-29,36.98,36.98,36.98,0.0,0.0,37.3,37.3,37.3,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.28,37.28,37.28,0.0,0.0
