Date,iShares Int Agg Bond_etf_Open_average,iShares Int Agg Bond_etf_Open_max,iShares Int Agg Bond_etf_Open_min,iShares Int Agg Bond_etf_Open_volatility,iShares Int Agg Bond_etf_Open_change,iShares Int Agg Bond_etf_High_average,iShares Int Agg Bond_etf_High_max,iShares Int Agg Bond_etf_High_min,iShares Int Agg Bond_etf_High_volatility,iShares Int Agg Bond_etf_High_change,iShares Int Agg Bond_etf_Low_average,iShares Int Agg Bond_etf_Low_max,iShares Int Agg Bond_etf_Low_min,iShares Int Agg Bond_etf_Low_volatility,iShares Int Agg Bond_etf_Low_change,iShares Int Agg Bond_etf_Close_average,iShares Int Agg Bond_etf_Close_max,iShares Int Agg Bond_etf_Close_min,iShares Int Agg Bond_etf_Close_volatility,iShares Int Agg Bond_etf_Close_change
2018-01-14,52.08,52.08,52.08,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-01-21,52.08,52.08,52.08,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.01,52.01,52.01,0.0,0.0
2018-01-28,51.78,51.78,51.78,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.79,51.79,51.79,0.0,0.0
2018-02-04,51.73,51.73,51.73,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.79,51.79,51.79,0.0,0.0
2018-02-11,51.87,51.87,51.87,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2018-02-18,51.99,51.99,51.99,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2018-02-25,52.2,52.2,52.2,0.0,0.0,52.21,52.21,52.21,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2018-03-04,52.06,52.06,52.06,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.05,52.05,52.05,0.0,0.0,52.12,52.12,52.12,0.0,0.0
2018-03-11,52.36,52.36,52.36,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2018-03-18,52.41,52.41,52.41,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.49,52.49,52.49,0.0,0.0
