Date,iShares Russell Top 200 Value_Open_average,iShares Russell Top 200 Value_Open_max,iShares Russell Top 200 Value_Open_min,iShares Russell Top 200 Value_Open_volatility,iShares Russell Top 200 Value_Open_change,iShares Russell Top 200 Value_High_average,iShares Russell Top 200 Value_High_max,iShares Russell Top 200 Value_High_min,iShares Russell Top 200 Value_High_volatility,iShares Russell Top 200 Value_High_change,iShares Russell Top 200 Value_Low_average,iShares Russell Top 200 Value_Low_max,iShares Russell Top 200 Value_Low_min,iShares Russell Top 200 Value_Low_volatility,iShares Russell Top 200 Value_Low_change,iShares Russell Top 200 Value_Close_average,iShares Russell Top 200 Value_Close_max,iShares Russell Top 200 Value_Close_min,iShares Russell Top 200 Value_Close_volatility,iShares Russell Top 200 Value_Close_change
2018-01-14,54.62,54.62,54.62,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-01-21,55.56,55.56,55.56,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2018-01-28,52.94,52.94,52.94,0.0,0.0,53.26,53.26,53.26,0.0,0.0,50.94,50.94,50.94,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2018-02-04,50.93,50.93,50.93,0.0,0.0,51.5,51.5,51.5,0.0,0.0,50.73,50.73,50.73,0.0,0.0,51.39,51.39,51.39,0.0,0.0
2018-02-11,52.39,52.39,52.39,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-02-18,52.76,52.76,52.76,0.0,0.0,53.26,53.26,53.26,0.0,0.0,52.76,52.76,52.76,0.0,0.0,53.25,53.25,53.25,0.0,0.0
2018-02-25,51.67,51.67,51.67,0.0,0.0,52.14,52.14,52.14,0.0,0.0,51.67,51.67,51.67,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2018-03-04,53.02,53.02,53.02,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.95,52.95,52.95,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2018-03-11,52.2,52.2,52.2,0.0,0.0,52.2,52.2,52.2,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2018-03-18,49.99,49.99,49.99,0.0,0.0,50.31,50.31,50.31,0.0,0.0,49.4,49.4,49.4,0.0,0.0,50.31,50.31,50.31,0.0,0.0
