Date,PUK_Open_average,PUK_Open_max,PUK_Open_min,PUK_Open_volatility,PUK_Open_change,PUK_High_average,PUK_High_max,PUK_High_min,PUK_High_volatility,PUK_High_change,PUK_Low_average,PUK_Low_max,PUK_Low_min,PUK_Low_volatility,PUK_Low_change,PUK_Close_average,PUK_Close_max,PUK_Close_min,PUK_Close_volatility,PUK_Close_change,PUK_Volume_average,PUK_Volume_max,PUK_Volume_min,PUK_Volume_volatility,PUK_Volume_change
2018-01-14,54.638,54.95,54.22,0.730000000000004,0.4399999999999977,54.908,55.08,54.31,0.769999999999996,0.7100000000000009,54.462,54.82,53.81,1.009999999999998,0.8099999999999952,54.763999999999996,55.05,53.94,1.1099999999999994,1.0800000000000054,131263,150463,99445,51018,-21874
2018-01-21,54.73,55.28,54.47,0.8100000000000023,0.030000000000001137,54.864000000000004,55.36,54.6,0.759999999999998,-0.1700000000000017,54.422,54.89,54.2,0.6899999999999977,-0.03999999999999915,54.682,55.14,54.39,0.75,-0.36999999999999744,187946,259846,133337,126509,-72899
2018-01-28,53.51,54.11,51.74,2.3699999999999974,-2.3699999999999974,53.82,54.45,52.12,2.3300000000000054,-2.1099999999999994,52.9,53.91,50.1,3.809999999999995,-3.6499999999999986,53.124,54.42,50.12,4.300000000000004,-3.8400000000000034,197292,331057,121739,209318,209318
2018-02-04,50.008,50.91,48.89,2.019999999999996,0.4399999999999977,50.544,51.53,49.52,2.009999999999998,-0.38000000000000256,49.303999999999995,50.62,48.07,2.549999999999997,0.17999999999999972,49.872,50.75,49.05,1.7000000000000028,-0.5399999999999991,315497,469670,232860,236810,-175195
2018-02-11,50.8,51.76,49.99,1.769999999999996,1.3500000000000014,51.31,51.96,50.31,1.6499999999999986,1.6499999999999986,50.620000000000005,51.4,49.88,1.519999999999996,1.519999999999996,51.17,51.64,50.24,1.3999999999999986,1.3799999999999955,193542,238730,134450,104280,-76992
2018-02-18,51.396,51.63,51.11,0.5200000000000031,0.04999999999999716,51.762,52.08,51.56,0.519999999999996,0.060000000000002274,51.114,51.27,50.89,0.38000000000000256,-0.00999999999999801,51.45,51.77,51.15,0.6200000000000045,0.3400000000000034,139106,159508,125501,34007,-34007
2018-02-25,50.39,51.23,49.35,1.8799999999999955,-1.8799999999999955,50.716,51.4,50.02,1.3799999999999955,-1.1199999999999974,49.88,51.01,49.21,1.7999999999999972,-1.7399999999999949,50.296,51.02,49.99,1.0300000000000011,-0.8400000000000034,198740,239257,147129,92128,-92128
2018-03-04,50.912,51.41,50.46,0.9499999999999957,0.759999999999998,51.17,51.64,50.7,0.9399999999999977,0.8299999999999983,50.676,51.2,50.22,0.980000000000004,0.980000000000004,51.062,51.58,50.58,1.0,0.8400000000000034,170082,205572,122969,82603,26686
2018-03-11,53.424,54.43,51.33,3.1000000000000014,2.1099999999999994,53.604,54.7,51.44,3.260000000000005,2.030000000000001,52.796,53.81,50.95,2.8599999999999994,1.6099999999999994,53.07,53.99,51.11,2.8800000000000026,1.8599999999999994,328970,505249,176310,328939,-52024
2018-03-18,52.564,53.3,51.77,1.529999999999994,-1.4699999999999989,52.8,53.77,52.01,1.7600000000000051,-1.6000000000000014,51.972,53.19,50.89,2.299999999999997,-2.019999999999996,52.192,53.28,50.89,2.3900000000000006,-1.3200000000000003,190356,252734,130915,121819,78863
