Date,Vanguard Total International Stock_Open_average,Vanguard Total International Stock_Open_max,Vanguard Total International Stock_Open_min,Vanguard Total International Stock_Open_volatility,Vanguard Total International Stock_Open_change,Vanguard Total International Stock_High_average,Vanguard Total International Stock_High_max,Vanguard Total International Stock_High_min,Vanguard Total International Stock_High_volatility,Vanguard Total International Stock_High_change,Vanguard Total International Stock_Low_average,Vanguard Total International Stock_Low_max,Vanguard Total International Stock_Low_min,Vanguard Total International Stock_Low_volatility,Vanguard Total International Stock_Low_change,Vanguard Total International Stock_Close_average,Vanguard Total International Stock_Close_max,Vanguard Total International Stock_Close_min,Vanguard Total International Stock_Close_volatility,Vanguard Total International Stock_Close_change
2018-01-14,60.03,60.03,60.03,0.0,0.0,60.32,60.32,60.32,0.0,0.0,59.98,59.98,59.98,0.0,0.0,60.29,60.29,60.29,0.0,0.0
2018-01-21,60.68,60.68,60.68,0.0,0.0,60.68,60.68,60.68,0.0,0.0,60.46,60.46,60.46,0.0,0.0,60.54,60.54,60.54,0.0,0.0
2018-01-28,58.13,58.13,58.13,0.0,0.0,58.43,58.43,58.43,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2018-02-04,56.07,56.07,56.07,0.0,0.0,56.59,56.59,56.59,0.0,0.0,55.82,55.82,55.82,0.0,0.0,56.4,56.4,56.4,0.0,0.0
2018-02-11,57.87,57.87,57.87,0.0,0.0,58.3,58.3,58.3,0.0,0.0,57.8,57.8,57.8,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2018-02-18,58.31,58.31,58.31,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2018-02-25,56.19,56.19,56.19,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.71,56.71,56.71,0.0,0.0
2018-03-04,57.82,57.82,57.82,0.0,0.0,57.94,57.94,57.94,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.84,57.84,57.84,0.0,0.0
2018-03-11,57.17,57.17,57.17,0.0,0.0,57.19,57.19,57.19,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.89,56.89,56.89,0.0,0.0
2018-03-18,56.14,56.14,56.14,0.0,0.0,56.34,56.34,56.34,0.0,0.0,55.58,55.58,55.58,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2018-03-25,56.25,56.25,56.25,0.0,0.0,56.49,56.49,56.49,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2018-04-01,56.61,56.61,56.61,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-04-08,57.19,57.19,57.19,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.02,57.02,57.02,0.0,0.0,57.16,57.16,57.16,0.0,0.0
2018-04-15,57.03,57.03,57.03,0.0,0.0,57.1,57.1,57.1,0.0,0.0,56.79,56.79,56.79,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2018-04-22,57.08,57.08,57.08,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.79,56.79,56.79,0.0,0.0,56.81,56.81,56.81,0.0,0.0
