Date,John Hancock Multifactor MaterialsEtf_Open_average,John Hancock Multifactor MaterialsEtf_Open_max,John Hancock Multifactor MaterialsEtf_Open_min,John Hancock Multifactor MaterialsEtf_Open_volatility,John Hancock Multifactor MaterialsEtf_Open_change,John Hancock Multifactor MaterialsEtf_High_average,John Hancock Multifactor MaterialsEtf_High_max,John Hancock Multifactor MaterialsEtf_High_min,John Hancock Multifactor MaterialsEtf_High_volatility,John Hancock Multifactor MaterialsEtf_High_change,John Hancock Multifactor MaterialsEtf_Low_average,John Hancock Multifactor MaterialsEtf_Low_max,John Hancock Multifactor MaterialsEtf_Low_min,John Hancock Multifactor MaterialsEtf_Low_volatility,John Hancock Multifactor MaterialsEtf_Low_change,John Hancock Multifactor MaterialsEtf_Close_average,John Hancock Multifactor MaterialsEtf_Close_max,John Hancock Multifactor MaterialsEtf_Close_min,John Hancock Multifactor MaterialsEtf_Close_volatility,John Hancock Multifactor MaterialsEtf_Close_change
2018-01-14,37.23,37.23,37.23,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2018-01-21,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2018-01-28,36.29,36.29,36.29,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-02-04,33.54,33.54,33.54,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2018-02-11,35.7,35.7,35.7,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.7,35.7,35.7,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2018-02-18,36.18,36.18,36.18,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-02-25,34.87,34.87,34.87,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2018-03-04,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2018-03-11,35.19,35.19,35.19,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.19,35.19,35.19,0.0,0.0
2018-03-18,33.92,33.92,33.92,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2018-03-25,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-04-01,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-04-08,34.8,34.8,34.8,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-04-15,35.83,35.83,35.83,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.8,35.8,35.8,0.0,0.0
2018-04-22,34.44,34.44,34.44,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.57,34.57,34.57,0.0,0.0
2018-04-29,33.74,33.74,33.74,0.0,0.0,33.89,33.89,33.89,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2018-05-06,35.02,35.02,35.02,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-05-13,35.85,35.85,35.85,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-05-20,35.19,35.19,35.19,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-05-27,35.39,35.39,35.39,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.39,35.39,35.39,0.0,0.0
2018-06-03,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-06-10,35.91,35.91,35.91,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2018-06-17,34.83,34.83,34.83,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2018-06-24,34.25,34.25,34.25,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2018-07-01,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0
