Date,iShares US Utilities_Open_average,iShares US Utilities_Open_max,iShares US Utilities_Open_min,iShares US Utilities_Open_volatility,iShares US Utilities_Open_change,iShares US Utilities_High_average,iShares US Utilities_High_max,iShares US Utilities_High_min,iShares US Utilities_High_volatility,iShares US Utilities_High_change,iShares US Utilities_Low_average,iShares US Utilities_Low_max,iShares US Utilities_Low_min,iShares US Utilities_Low_volatility,iShares US Utilities_Low_change,iShares US Utilities_Close_average,iShares US Utilities_Close_max,iShares US Utilities_Close_min,iShares US Utilities_Close_volatility,iShares US Utilities_Close_change
2018-01-14,126.88,126.88,126.88,0.0,0.0,127.51,127.51,127.51,0.0,0.0,126.2,126.2,126.2,0.0,0.0,126.41,126.41,126.41,0.0,0.0
2018-01-21,128.28,128.28,128.28,0.0,0.0,128.28,128.28,128.28,0.0,0.0,127.1,127.1,127.1,0.0,0.0,127.2,127.2,127.2,0.0,0.0
2018-01-28,125.47,125.47,125.47,0.0,0.0,126.59,126.59,126.59,0.0,0.0,123.29,123.29,123.29,0.0,0.0,123.47,123.47,123.47,0.0,0.0
2018-02-04,122.7,122.7,122.7,0.0,0.0,124.0,124.0,124.0,0.0,0.0,121.76,121.76,121.76,0.0,0.0,123.34,123.34,123.34,0.0,0.0
2018-02-11,125.16,125.16,125.16,0.0,0.0,126.4,126.4,126.4,0.0,0.0,124.8,124.8,124.8,0.0,0.0,126.18,126.18,126.18,0.0,0.0
2018-02-18,127.26,127.26,127.26,0.0,0.0,127.27,127.27,127.27,0.0,0.0,126.09,126.09,126.09,0.0,0.0,126.3,126.3,126.3,0.0,0.0
2018-02-25,122.84,122.84,122.84,0.0,0.0,125.75,125.75,125.75,0.0,0.0,122.84,122.84,122.84,0.0,0.0,125.51,125.51,125.51,0.0,0.0
2018-03-04,124.34,124.34,124.34,0.0,0.0,125.17,125.17,125.17,0.0,0.0,124.34,124.34,124.34,0.0,0.0,125.04,125.04,125.04,0.0,0.0
2018-03-11,127.6,127.6,127.6,0.0,0.0,128.32,128.32,128.32,0.0,0.0,126.1,126.1,126.1,0.0,0.0,126.84,126.84,126.84,0.0,0.0
2018-03-18,124.0,124.0,124.0,0.0,0.0,125.06,125.06,125.06,0.0,0.0,123.86,123.86,123.86,0.0,0.0,124.85,124.85,124.85,0.0,0.0
2018-03-25,127.46,127.46,127.46,0.0,0.0,128.06,128.06,128.06,0.0,0.0,125.47,125.47,125.47,0.0,0.0,126.24,126.24,126.24,0.0,0.0
2018-04-01,127.33,127.33,127.33,0.0,0.0,128.21,128.21,128.21,0.0,0.0,127.03,127.03,127.03,0.0,0.0,127.32,127.32,127.32,0.0,0.0
2018-04-08,125.99,125.99,125.99,0.0,0.0,127.51,127.51,127.51,0.0,0.0,125.47,125.47,125.47,0.0,0.0,127.4,127.4,127.4,0.0,0.0
2018-04-15,127.12,127.12,127.12,0.0,0.0,127.84,127.84,127.84,0.0,0.0,126.82,126.82,126.82,0.0,0.0,127.3,127.3,127.3,0.0,0.0
2018-04-22,130.94,130.94,130.94,0.0,0.0,131.23,131.23,131.23,0.0,0.0,130.42,130.42,130.42,0.0,0.0,130.42,130.42,130.42,0.0,0.0
2018-04-29,130.71,130.71,130.71,0.0,0.0,130.78,130.78,130.78,0.0,0.0,129.85,129.85,129.85,0.0,0.0,129.96,129.96,129.96,0.0,0.0
2018-05-06,128.2,128.2,128.2,0.0,0.0,128.37,128.37,128.37,0.0,0.0,127.02,127.02,127.02,0.0,0.0,127.53,127.53,127.53,0.0,0.0
2018-05-13,124.85,124.85,124.85,0.0,0.0,125.49,125.49,125.49,0.0,0.0,124.26,124.26,124.26,0.0,0.0,125.21,125.21,125.21,0.0,0.0
2018-05-20,127.96,127.96,127.96,0.0,0.0,128.62,128.62,128.62,0.0,0.0,127.79,127.79,127.79,0.0,0.0,128.41,128.41,128.41,0.0,0.0
2018-05-27,127.97,127.97,127.97,0.0,0.0,128.81,128.81,128.81,0.0,0.0,126.8,126.8,126.8,0.0,0.0,126.9,126.9,126.9,0.0,0.0
2018-06-03,124.26,124.26,124.26,0.0,0.0,124.48,124.48,124.48,0.0,0.0,123.29,123.29,123.29,0.0,0.0,123.46,123.46,123.46,0.0,0.0
2018-06-10,127.16,127.16,127.16,0.0,0.0,127.71,127.71,127.71,0.0,0.0,126.85,126.85,126.85,0.0,0.0,127.55,127.55,127.55,0.0,0.0
2018-06-17,130.2,130.2,130.2,0.0,0.0,132.35,132.35,132.35,0.0,0.0,130.2,130.2,130.2,0.0,0.0,132.13,132.13,132.13,0.0,0.0
2018-06-24,132.02,132.02,132.02,0.0,0.0,132.98,132.98,132.98,0.0,0.0,131.58,131.58,131.58,0.0,0.0,132.97,132.97,132.97,0.0,0.0
2018-07-01,135.21,135.21,135.21,0.0,0.0,135.21,135.21,135.21,0.0,0.0,130.66,130.66,130.66,0.0,0.0,131.0,131.0,131.0,0.0,0.0
2018-07-08,133.46,133.46,133.46,0.0,0.0,133.56,133.56,133.56,0.0,0.0,132.78,132.78,132.78,0.0,0.0,133.24,133.24,133.24,0.0,0.0
2018-07-15,132.9,132.9,132.9,0.0,0.0,132.95,132.95,132.95,0.0,0.0,131.63,131.63,131.63,0.0,0.0,132.04,132.04,132.04,0.0,0.0
2018-07-22,133.31,133.31,133.31,0.0,0.0,133.31,133.31,133.31,0.0,0.0,132.4,132.4,132.4,0.0,0.0,132.75,132.75,132.75,0.0,0.0
2018-07-29,135.06,135.06,135.06,0.0,0.0,136.0,136.0,136.0,0.0,0.0,135.06,135.06,135.06,0.0,0.0,135.29,135.29,135.29,0.0,0.0
2018-08-05,134.71,134.71,134.71,0.0,0.0,134.79,134.79,134.79,0.0,0.0,134.18,134.18,134.18,0.0,0.0,134.64,134.64,134.64,0.0,0.0
2018-08-12,138.61,138.61,138.61,0.0,0.0,138.61,138.61,138.61,0.0,0.0,137.64,137.64,137.64,0.0,0.0,137.84,137.84,137.84,0.0,0.0
2018-08-19,136.52,136.52,136.52,0.0,0.0,136.52,136.52,136.52,0.0,0.0,134.96,134.96,134.96,0.0,0.0,135.42,135.42,135.42,0.0,0.0
2018-08-26,136.51,136.51,136.51,0.0,0.0,136.67,136.67,136.67,0.0,0.0,135.25,135.25,135.25,0.0,0.0,135.69,135.69,135.69,0.0,0.0
2018-09-02,137.32,137.32,137.32,0.0,0.0,138.29,138.29,138.29,0.0,0.0,137.32,137.32,137.32,0.0,0.0,137.73,137.73,137.73,0.0,0.0
2018-09-09,137.8,137.8,137.8,0.0,0.0,138.36,138.36,138.36,0.0,0.0,137.55,137.55,137.55,0.0,0.0,138.21,138.21,138.21,0.0,0.0
2018-09-16,135.61,135.61,135.61,0.0,0.0,135.72,135.72,135.72,0.0,0.0,134.78,134.78,134.78,0.0,0.0,134.81,134.81,134.81,0.0,0.0
2018-09-23,133.66,133.66,133.66,0.0,0.0,133.76,133.76,133.76,0.0,0.0,133.24,133.24,133.24,0.0,0.0,133.55,133.55,133.55,0.0,0.0
2018-09-30,136.58,136.58,136.58,0.0,0.0,138.16,138.16,138.16,0.0,0.0,136.43,136.43,136.43,0.0,0.0,137.42,137.42,137.42,0.0,0.0
2018-10-07,134.63,134.63,134.63,0.0,0.0,135.78,135.78,135.78,0.0,0.0,134.37,134.37,134.37,0.0,0.0,134.83,134.83,134.83,0.0,0.0
2018-10-14,138.19,138.19,138.19,0.0,0.0,138.6,138.6,138.6,0.0,0.0,137.28,137.28,137.28,0.0,0.0,137.45,137.45,137.45,0.0,0.0
2018-10-21,135.38,135.38,135.38,0.0,0.0,137.32,137.32,137.32,0.0,0.0,135.38,135.38,135.38,0.0,0.0,136.79,136.79,136.79,0.0,0.0
2018-10-28,135.15,135.15,135.15,0.0,0.0,137.01,137.01,137.01,0.0,0.0,135.15,135.15,135.15,0.0,0.0,136.47,136.47,136.47,0.0,0.0
2018-11-04,138.06,138.06,138.06,0.0,0.0,140.34,140.34,140.34,0.0,0.0,137.3,137.3,137.3,0.0,0.0,139.13,139.13,139.13,0.0,0.0
2018-11-11,138.95,138.95,138.95,0.0,0.0,140.05,140.05,140.05,0.0,0.0,138.91,138.91,138.91,0.0,0.0,140.05,140.05,140.05,0.0,0.0
2018-11-18,137.43,137.43,137.43,0.0,0.0,138.28,138.28,138.28,0.0,0.0,136.92,136.92,136.92,0.0,0.0,138.16,138.16,138.16,0.0,0.0
2018-11-25,140.34,140.34,140.34,0.0,0.0,142.08,142.08,142.08,0.0,0.0,139.65,139.65,139.65,0.0,0.0,142.05,142.05,142.05,0.0,0.0
2018-12-02,142.91,142.91,142.91,0.0,0.0,143.57,143.57,143.57,0.0,0.0,140.59,140.59,140.59,0.0,0.0,143.26,143.26,143.26,0.0,0.0
2018-12-09,143.38,143.38,143.38,0.0,0.0,143.49,143.49,143.49,0.0,0.0,137.99,137.99,137.99,0.0,0.0,138.41,138.41,138.41,0.0,0.0
2018-12-16,136.38,136.38,136.38,0.0,0.0,136.38,136.38,136.38,0.0,0.0,130.34,130.34,130.34,0.0,0.0,130.66,130.66,130.66,0.0,0.0
2018-12-23,134.24,134.24,134.24,0.0,0.0,134.52,134.52,134.52,0.0,0.0,133.02,133.02,133.02,0.0,0.0,134.22,134.22,134.22,0.0,0.0
2018-12-30,132.89,132.89,132.89,0.0,0.0,133.51,133.51,133.51,0.0,0.0,132.28,132.28,132.28,0.0,0.0,132.9,132.9,132.9,0.0,0.0
2019-01-06,133.59,133.59,133.59,0.0,0.0,133.59,133.59,133.59,0.0,0.0,130.92,130.92,130.92,0.0,0.0,132.11,132.11,132.11,0.0,0.0
2019-01-13,135.09,135.09,135.09,0.0,0.0,135.45,135.45,135.45,0.0,0.0,134.63,134.63,134.63,0.0,0.0,135.11,135.11,135.11,0.0,0.0
2019-01-20,135.48,135.48,135.48,0.0,0.0,135.98,135.98,135.98,0.0,0.0,134.38,134.38,134.38,0.0,0.0,134.89,134.89,134.89,0.0,0.0
2019-01-27,138.08,138.08,138.08,0.0,0.0,138.75,138.75,138.75,0.0,0.0,137.03,137.03,137.03,0.0,0.0,138.75,138.75,138.75,0.0,0.0
2019-02-03,141.02,141.02,141.02,0.0,0.0,141.74,141.74,141.74,0.0,0.0,140.69,140.69,140.69,0.0,0.0,141.06,141.06,141.06,0.0,0.0
2019-02-10,141.0,141.0,141.0,0.0,0.0,141.64,141.64,141.64,0.0,0.0,140.9,140.9,140.9,0.0,0.0,141.27,141.27,141.27,0.0,0.0
2019-02-17,144.76,144.76,144.76,0.0,0.0,144.76,144.76,144.76,0.0,0.0,143.24,143.24,143.24,0.0,0.0,143.77,143.77,143.77,0.0,0.0
2019-02-24,145.15,145.15,145.15,0.0,0.0,145.15,145.15,145.15,0.0,0.0,143.75,143.75,143.75,0.0,0.0,145.07,145.07,145.07,0.0,0.0
2019-03-03,145.93,145.93,145.93,0.0,0.0,146.9,146.9,146.9,0.0,0.0,145.74,145.74,145.74,0.0,0.0,146.83,146.83,146.83,0.0,0.0
2019-03-10,148.43,148.43,148.43,0.0,0.0,148.66,148.66,148.66,0.0,0.0,147.39,147.39,147.39,0.0,0.0,147.89,147.89,147.89,0.0,0.0
