Date,NTES_Open_average,NTES_Open_max,NTES_Open_min,NTES_Open_volatility,NTES_Open_change,NTES_High_average,NTES_High_max,NTES_High_min,NTES_High_volatility,NTES_High_change,NTES_Low_average,NTES_Low_max,NTES_Low_min,NTES_Low_volatility,NTES_Low_change,NTES_Close_average,NTES_Close_max,NTES_Close_min,NTES_Close_volatility,NTES_Close_change,NTES_Volume_average,NTES_Volume_max,NTES_Volume_min,NTES_Volume_volatility,NTES_Volume_change
2018-01-14,327.468,332.38,323.88,8.5,-6.610000000000014,330.29,334.94,325.16,9.779999999999973,-3.339999999999975,320.606,323.0,316.7,6.300000000000011,0.8899999999999864,325.144,331.5,322.08,9.420000000000016,9.420000000000016,1282186,1622008,1017317,604691,-604691
2018-01-21,333.83,343.0,327.35,15.649999999999977,10.620000000000005,339.592,343.77,332.46,11.310000000000002,5.310000000000002,326.666,330.79,322.12,8.670000000000016,-2.740000000000009,330.28,335.91,324.63,11.28000000000003,-7.8700000000000045,1551407,2004597,1123454,881143,706491
2018-01-28,319.744,327.22,315.0,12.220000000000027,-8.420000000000016,324.78,328.53,321.23,7.2999999999999545,-0.20000000000004547,314.848,319.99,311.66,8.329999999999984,-4.350000000000023,317.774,322.8,312.45,10.350000000000023,-10.350000000000023,1197113,1534667,1038759,495908,364688
2018-02-04,299.348,311.87,291.72,20.149999999999977,-12.220000000000027,307.89,316.59,296.44,20.149999999999977,-20.149999999999977,294.536,307.09,283.84,23.25,-16.78000000000003,299.796,313.84,289.61,24.22999999999996,-18.939999999999998,1991067,3059696,1085957,1973739,-547750
2018-02-11,302.79,309.97,291.55,18.420000000000016,18.22999999999996,308.315,312.1,302.27,9.830000000000041,9.830000000000041,300.505,306.76,291.5,15.259999999999991,15.259999999999991,305.7925,309.57,300.11,9.45999999999998,7.329999999999984,835445,978939,663500,315439,-315439
2018-02-18,310.304,313.56,304.26,9.300000000000011,8.740000000000009,314.54,316.9,313.0,3.8999999999999773,3.669999999999959,305.886,307.69,303.8,3.8899999999999864,3.8899999999999864,309.436,311.64,306.75,4.889999999999986,-2.230000000000018,946674,1189733,757343,432390,-265645
2018-02-25,294.51,307.67,283.17,24.5,-18.670000000000016,298.098,308.9,289.69,19.20999999999998,-12.70999999999998,287.74,294.27,279.0,15.269999999999982,-5.560000000000002,291.94,296.31,286.55,9.759999999999991,-1.5300000000000296,1332829,1532465,1135308,397157,-230382
2018-03-04,306.278,314.44,297.12,17.319999999999993,14.170000000000016,311.896,318.79,301.47,17.319999999999993,16.279999999999973,304.832,311.96,296.7,15.259999999999991,14.889999999999986,309.45799999999997,314.29,300.7,13.590000000000032,13.590000000000032,1087099,1730996,813642,917354,-105897
2018-03-11,318.194,324.15,314.33,9.819999999999993,5.529999999999973,323.446,329.0,317.3,11.699999999999989,7.060000000000002,313.726,323.12,306.02,17.100000000000023,4.259999999999991,319.252,326.94,311.62,15.319999999999993,6.329999999999984,1296628,1714714,908338,806376,494371
2018-03-18,309.662,317.96,301.86,16.099999999999966,-15.269999999999982,312.646,321.83,302.69,19.139999999999986,-17.329999999999984,301.41200000000003,311.22,289.8,21.420000000000016,-21.420000000000016,305.986,319.77,295.66,24.109999999999957,-17.230000000000018,950274,1414907,666476,748431,366388
2018-03-25,284.6575,297.38,276.68,20.69999999999999,-15.389999999999986,287.35249999999996,297.38,282.58,14.800000000000011,-11.810000000000002,274.3125,278.94,270.58,8.360000000000014,-6.019999999999982,277.8875,280.76,274.54,6.21999999999997,-4.899999999999977,1491747,2123983,708896,1415087,-1123665
2018-04-01,274.108,278.46,263.98,14.479999999999961,-2.5500000000000114,281.54,287.59,277.9,9.689999999999998,7.5499999999999545,270.588,276.35,261.88,14.470000000000027,6.180000000000007,275.9,280.51,271.22,9.289999999999964,9.289999999999964,943212,1220691,631520,589171,-179018
2018-04-08,278.524,287.25,271.66,15.589999999999975,-15.589999999999975,281.706,289.44,275.58,13.860000000000014,-13.860000000000014,273.81,280.01,268.79,11.21999999999997,-9.389999999999986,277.142,282.49,272.68,9.810000000000002,-9.810000000000002,875809,1255686,506809,748877,-297171
2018-04-15,272.63,278.01,264.94,13.069999999999993,-7.060000000000002,275.858,281.94,268.2,13.740000000000009,-11.800000000000011,267.51,274.19,260.32,13.870000000000005,-10.949999999999989,271.524,278.18,260.78,17.400000000000034,-17.400000000000034,991915,1650366,729485,920881,164699
2018-04-22,255.99,261.97,252.9,9.070000000000022,-6.010000000000019,258.318,262.42,255.72,6.700000000000017,-1.5200000000000387,251.022,255.51,248.45,7.060000000000002,3.6799999999999784,252.942,257.07,249.07,8.0,2.969999999999999,966652,1543735,636794,906941,-904470
2018-04-29,254.63400000000001,260.35,248.0,12.350000000000023,-4.400000000000006,257.842,262.57,253.31,9.259999999999991,-5.8799999999999955,251.402,257.51,243.99,13.519999999999982,-4.75,254.412,260.95,249.21,11.73999999999998,-5.389999999999986,833811,1160336,488321,672015,198775
2018-05-06,262.682,269.49,255.5,13.990000000000009,13.639999999999986,266.016,271.07,259.36,11.70999999999998,11.70999999999998,261.00600000000003,266.69,255.18,11.509999999999991,11.509999999999991,264.448,269.55,258.16,11.389999999999986,11.389999999999986,799986,992672,640766,351906,289748
2018-05-13,254.872,266.85,243.22,23.630000000000024,-19.950000000000017,257.592,269.41,247.86,21.55000000000001,-21.439999999999998,247.88199999999998,263.53,231.45,32.079999999999984,-29.689999999999998,251.686,266.35,233.59,32.76000000000002,-32.76000000000002,2221619,4956950,1050845,3906105,1136877
