Date,ALPS Sprott Junior Gold Miners_Open_average,ALPS Sprott Junior Gold Miners_Open_max,ALPS Sprott Junior Gold Miners_Open_min,ALPS Sprott Junior Gold Miners_Open_volatility,ALPS Sprott Junior Gold Miners_Open_change,ALPS Sprott Junior Gold Miners_High_average,ALPS Sprott Junior Gold Miners_High_max,ALPS Sprott Junior Gold Miners_High_min,ALPS Sprott Junior Gold Miners_High_volatility,ALPS Sprott Junior Gold Miners_High_change,ALPS Sprott Junior Gold Miners_Low_average,ALPS Sprott Junior Gold Miners_Low_max,ALPS Sprott Junior Gold Miners_Low_min,ALPS Sprott Junior Gold Miners_Low_volatility,ALPS Sprott Junior Gold Miners_Low_change,ALPS Sprott Junior Gold Miners_Close_average,ALPS Sprott Junior Gold Miners_Close_max,ALPS Sprott Junior Gold Miners_Close_min,ALPS Sprott Junior Gold Miners_Close_volatility,ALPS Sprott Junior Gold Miners_Close_change
2018-01-14,33.33,33.33,33.33,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-01-21,32.56,32.56,32.56,0.0,0.0,32.63,32.63,32.63,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2018-01-28,30.12,30.12,30.12,0.0,0.0,30.4,30.4,30.4,0.0,0.0,29.81,29.81,29.81,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-02-04,28.9,28.9,28.9,0.0,0.0,30.29,30.29,30.29,0.0,0.0,28.9,28.9,28.9,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-02-11,31.05,31.05,31.05,0.0,0.0,31.28,31.28,31.28,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-02-18,29.98,29.98,29.98,0.0,0.0,30.46,30.46,30.46,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-02-25,29.78,29.78,29.78,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-03-04,29.65,29.65,29.65,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.52,29.52,29.52,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-03-11,29.7,29.7,29.7,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-03-18,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,30.74,30.74,30.74,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-03-25,30.39,30.39,30.39,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-04-01,30.5,30.5,30.5,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2018-04-08,31.53,31.53,31.53,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-04-15,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2018-04-22,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-04-29,31.11,31.11,31.11,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-05-06,30.97,30.97,30.97,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-05-13,29.88,29.88,29.88,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.75,29.75,29.75,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2018-05-20,29.86,29.86,29.86,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-05-27,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-06-03,29.48,29.48,29.48,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2018-06-10,29.3,29.3,29.3,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.44,29.44,29.44,0.0,0.0
2018-06-17,29.37,29.37,29.37,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.2,29.2,29.2,0.0,0.0
