Date,First Trust South Korea AlphaDEX_Open_average,First Trust South Korea AlphaDEX_Open_max,First Trust South Korea AlphaDEX_Open_min,First Trust South Korea AlphaDEX_Open_volatility,First Trust South Korea AlphaDEX_Open_change,First Trust South Korea AlphaDEX_High_average,First Trust South Korea AlphaDEX_High_max,First Trust South Korea AlphaDEX_High_min,First Trust South Korea AlphaDEX_High_volatility,First Trust South Korea AlphaDEX_High_change,First Trust South Korea AlphaDEX_Low_average,First Trust South Korea AlphaDEX_Low_max,First Trust South Korea AlphaDEX_Low_min,First Trust South Korea AlphaDEX_Low_volatility,First Trust South Korea AlphaDEX_Low_change,First Trust South Korea AlphaDEX_Close_average,First Trust South Korea AlphaDEX_Close_max,First Trust South Korea AlphaDEX_Close_min,First Trust South Korea AlphaDEX_Close_volatility,First Trust South Korea AlphaDEX_Close_change
2018-01-14,30.35,30.35,30.35,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2018-01-21,31.2,31.2,31.2,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2018-01-28,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-02-04,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-02-11,30.21,30.21,30.21,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-02-18,30.12,30.12,30.12,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-02-25,29.2,29.2,29.2,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-03-04,30.39,30.39,30.39,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-03-11,30.0,30.0,30.0,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-03-18,29.42,29.42,29.42,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2018-03-25,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2018-04-01,29.16,29.16,29.16,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2018-04-08,29.23,29.23,29.23,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2018-04-15,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0
2018-04-22,29.33,29.33,29.33,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-04-29,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-05-06,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2018-05-13,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-05-20,28.37,28.37,28.37,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2018-05-27,28.16,28.16,28.16,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-06-03,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-06-10,27.44,27.44,27.44,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.44,27.44,27.44,0.0,0.0
2018-06-17,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-06-24,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-07-01,25.19,25.19,25.19,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2018-07-08,24.77,24.77,24.77,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2018-07-15,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-07-22,25.15,25.15,25.15,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.98,24.98,24.98,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2018-07-29,24.85,24.85,24.85,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.85,24.85,24.85,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-08-05,24.52,24.52,24.52,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2018-08-12,24.71,24.71,24.71,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-08-19,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-08-26,25.31,25.31,25.31,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2018-09-02,25.01,25.01,25.01,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2018-09-09,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2018-09-16,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2018-09-23,25.74,25.74,25.74,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-09-30,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2018-10-07,23.19,23.19,23.19,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2018-10-14,23.61,23.61,23.61,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0
2018-10-21,21.93,21.93,21.93,0.0,0.0,21.93,21.93,21.93,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2018-10-28,22.74,22.74,22.74,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.74,22.74,22.74,0.0,0.0
2018-11-04,21.88,21.88,21.88,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.88,21.88,21.88,0.0,0.0
2018-11-11,23.07,23.07,23.07,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.77,22.77,22.77,0.0,0.0
2018-11-18,22.76,22.76,22.76,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.76,22.76,22.76,0.0,0.0
2018-11-25,22.75,22.75,22.75,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.92,22.92,22.92,0.0,0.0
2018-12-02,22.62,22.62,22.62,0.0,0.0,22.62,22.62,22.62,0.0,0.0,22.62,22.62,22.62,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2018-12-09,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2018-12-16,22.47,22.47,22.47,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.01,22.01,22.01,0.0,0.0,22.01,22.01,22.01,0.0,0.0
2018-12-23,22.35,22.35,22.35,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.31,22.31,22.31,0.0,0.0,22.55,22.55,22.55,0.0,0.0
2018-12-30,22.11,22.11,22.11,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.43,22.43,22.43,0.0,0.0
2019-01-06,22.27,22.27,22.27,0.0,0.0,22.27,22.27,22.27,0.0,0.0,22.08,22.08,22.08,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2019-01-13,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0
2019-01-20,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2019-01-27,23.32,23.32,23.32,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2019-02-03,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2019-02-10,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2019-02-17,23.22,23.22,23.22,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2019-02-24,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2019-03-03,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0
2019-03-10,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2019-03-17,22.69,22.69,22.69,0.0,0.0,22.69,22.69,22.69,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.6,22.6,22.6,0.0,0.0
2019-03-24,22.97,22.97,22.97,0.0,0.0,23.02,23.02,23.02,0.0,0.0,22.96,22.96,22.96,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2019-03-31,22.9,22.9,22.9,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0
2019-04-07,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2019-04-14,23.21,23.21,23.21,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.21,23.21,23.21,0.0,0.0
2019-04-21,22.68,22.68,22.68,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2019-04-28,21.8,21.8,21.8,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.8,21.8,21.8,0.0,0.0,22.1,22.1,22.1,0.0,0.0
