Date,iShares Edge MSCI USA Size Factor_Open_average,iShares Edge MSCI USA Size Factor_Open_max,iShares Edge MSCI USA Size Factor_Open_min,iShares Edge MSCI USA Size Factor_Open_volatility,iShares Edge MSCI USA Size Factor_Open_change,iShares Edge MSCI USA Size Factor_High_average,iShares Edge MSCI USA Size Factor_High_max,iShares Edge MSCI USA Size Factor_High_min,iShares Edge MSCI USA Size Factor_High_volatility,iShares Edge MSCI USA Size Factor_High_change,iShares Edge MSCI USA Size Factor_Low_average,iShares Edge MSCI USA Size Factor_Low_max,iShares Edge MSCI USA Size Factor_Low_min,iShares Edge MSCI USA Size Factor_Low_volatility,iShares Edge MSCI USA Size Factor_Low_change,iShares Edge MSCI USA Size Factor_Close_average,iShares Edge MSCI USA Size Factor_Close_max,iShares Edge MSCI USA Size Factor_Close_min,iShares Edge MSCI USA Size Factor_Close_volatility,iShares Edge MSCI USA Size Factor_Close_change
2018-01-14,86.68,86.68,86.68,0.0,0.0,87.06,87.06,87.06,0.0,0.0,86.68,86.68,86.68,0.0,0.0,87.06,87.06,87.06,0.0,0.0
2018-01-21,88.17,88.17,88.17,0.0,0.0,88.35,88.35,88.35,0.0,0.0,87.95,87.95,87.95,0.0,0.0,87.98,87.98,87.98,0.0,0.0
2018-01-28,84.86,84.86,84.86,0.0,0.0,85.21,85.21,85.21,0.0,0.0,82.42,82.42,82.42,0.0,0.0,82.47,82.47,82.47,0.0,0.0
2018-02-04,81.91,81.91,81.91,0.0,0.0,82.63,82.63,82.63,0.0,0.0,81.27,81.27,81.27,0.0,0.0,82.26,82.26,82.26,0.0,0.0
2018-02-11,84.49,84.49,84.49,0.0,0.0,84.9,84.9,84.9,0.0,0.0,84.49,84.49,84.49,0.0,0.0,84.66,84.66,84.66,0.0,0.0
2018-02-18,84.61,84.61,84.61,0.0,0.0,85.31,85.31,85.31,0.0,0.0,84.61,84.61,84.61,0.0,0.0,85.31,85.31,85.31,0.0,0.0
2018-02-25,83.89,83.89,83.89,0.0,0.0,83.96,83.96,83.96,0.0,0.0,83.77,83.77,83.77,0.0,0.0,83.93,83.93,83.93,0.0,0.0
2018-03-04,85.96,85.96,85.96,0.0,0.0,86.1,86.1,86.1,0.0,0.0,85.66,85.66,85.66,0.0,0.0,85.69,85.69,85.69,0.0,0.0
2018-03-11,84.86,84.86,84.86,0.0,0.0,84.86,84.86,84.86,0.0,0.0,84.8,84.8,84.8,0.0,0.0,84.8,84.8,84.8,0.0,0.0
2018-03-18,81.8,81.8,81.8,0.0,0.0,82.47,82.47,82.47,0.0,0.0,81.35,81.35,81.35,0.0,0.0,82.47,82.47,82.47,0.0,0.0
2018-03-25,82.68,82.68,82.68,0.0,0.0,82.68,82.68,82.68,0.0,0.0,80.37,80.37,80.37,0.0,0.0,81.11,81.11,81.11,0.0,0.0
2018-04-01,82.1,82.1,82.1,0.0,0.0,82.42,82.42,82.42,0.0,0.0,82.1,82.1,82.1,0.0,0.0,82.42,82.42,82.42,0.0,0.0
2018-04-08,83.38,83.38,83.38,0.0,0.0,83.39,83.39,83.39,0.0,0.0,83.38,83.38,83.38,0.0,0.0,83.38,83.38,83.38,0.0,0.0
2018-04-15,83.4,83.4,83.4,0.0,0.0,83.4,83.4,83.4,0.0,0.0,82.9,82.9,82.9,0.0,0.0,83.11,83.11,83.11,0.0,0.0
2018-04-22,83.4,83.4,83.4,0.0,0.0,83.56,83.56,83.56,0.0,0.0,82.74,82.74,82.74,0.0,0.0,82.79,82.79,82.79,0.0,0.0
2018-04-29,82.67,82.67,82.67,0.0,0.0,82.73,82.73,82.73,0.0,0.0,82.62,82.62,82.62,0.0,0.0,82.62,82.62,82.62,0.0,0.0
2018-05-06,84.09,84.09,84.09,0.0,0.0,84.18,84.18,84.18,0.0,0.0,84.09,84.09,84.09,0.0,0.0,84.15,84.15,84.15,0.0,0.0
2018-05-13,84.11,84.11,84.11,0.0,0.0,84.21,84.21,84.21,0.0,0.0,84.11,84.11,84.11,0.0,0.0,84.21,84.21,84.21,0.0,0.0
2018-05-20,84.05,84.05,84.05,0.0,0.0,84.05,84.05,84.05,0.0,0.0,83.99,83.99,83.99,0.0,0.0,83.99,83.99,83.99,0.0,0.0
2018-05-27,84.31,84.31,84.31,0.0,0.0,84.37,84.37,84.37,0.0,0.0,84.18,84.18,84.18,0.0,0.0,84.28,84.28,84.28,0.0,0.0
2018-06-03,85.51,85.51,85.51,0.0,0.0,85.65,85.65,85.65,0.0,0.0,85.51,85.51,85.51,0.0,0.0,85.55,85.55,85.55,0.0,0.0
2018-06-10,85.62,85.62,85.62,0.0,0.0,85.62,85.62,85.62,0.0,0.0,85.41,85.41,85.41,0.0,0.0,85.56,85.56,85.56,0.0,0.0
2018-06-17,85.11,85.11,85.11,0.0,0.0,85.11,85.11,85.11,0.0,0.0,84.56,84.56,84.56,0.0,0.0,84.63,84.63,84.63,0.0,0.0
2018-06-24,83.39,83.39,83.39,0.0,0.0,83.73,83.73,83.73,0.0,0.0,83.39,83.39,83.39,0.0,0.0,83.73,83.73,83.73,0.0,0.0
2018-07-01,85.39,85.39,85.39,0.0,0.0,85.65,85.65,85.65,0.0,0.0,85.39,85.39,85.39,0.0,0.0,85.52,85.52,85.52,0.0,0.0
2018-07-08,85.89,85.89,85.89,0.0,0.0,85.89,85.89,85.89,0.0,0.0,85.58,85.58,85.58,0.0,0.0,85.61,85.61,85.61,0.0,0.0
2018-07-15,85.73,85.73,85.73,0.0,0.0,85.88,85.88,85.88,0.0,0.0,85.7,85.7,85.7,0.0,0.0,85.88,85.88,85.88,0.0,0.0
2018-07-22,86.43,86.43,86.43,0.0,0.0,86.43,86.43,86.43,0.0,0.0,85.88,85.88,85.88,0.0,0.0,85.88,85.88,85.88,0.0,0.0
2018-07-29,86.83,86.83,86.83,0.0,0.0,87.29,87.29,87.29,0.0,0.0,86.83,86.83,86.83,0.0,0.0,87.13,87.13,87.13,0.0,0.0
2018-08-05,86.66,86.66,86.66,0.0,0.0,86.66,86.66,86.66,0.0,0.0,86.24,86.24,86.24,0.0,0.0,86.34,86.34,86.34,0.0,0.0
2018-08-12,87.88,87.88,87.88,0.0,0.0,87.99,87.99,87.99,0.0,0.0,87.88,87.88,87.88,0.0,0.0,87.99,87.99,87.99,0.0,0.0
2018-08-19,88.24,88.24,88.24,0.0,0.0,88.49,88.49,88.49,0.0,0.0,88.24,88.24,88.24,0.0,0.0,88.34,88.34,88.34,0.0,0.0
2018-08-26,88.4,88.4,88.4,0.0,0.0,88.4,88.4,88.4,0.0,0.0,88.21,88.21,88.21,0.0,0.0,88.21,88.21,88.21,0.0,0.0
2018-09-02,88.57,88.57,88.57,0.0,0.0,88.62,88.62,88.62,0.0,0.0,88.43,88.43,88.43,0.0,0.0,88.44,88.44,88.44,0.0,0.0
2018-09-09,89.14,89.14,89.14,0.0,0.0,89.14,89.14,89.14,0.0,0.0,88.91,88.91,88.91,0.0,0.0,88.98,88.98,88.98,0.0,0.0
2018-09-16,89.4,89.4,89.4,0.0,0.0,89.4,89.4,89.4,0.0,0.0,88.81,88.81,88.81,0.0,0.0,89.0,89.0,89.0,0.0,0.0
2018-09-23,88.27,88.27,88.27,0.0,0.0,88.27,88.27,88.27,0.0,0.0,87.68,87.68,87.68,0.0,0.0,87.68,87.68,87.68,0.0,0.0
2018-09-30,86.84,86.84,86.84,0.0,0.0,86.97,86.97,86.97,0.0,0.0,86.73,86.73,86.73,0.0,0.0,86.97,86.97,86.97,0.0,0.0
2018-10-07,83.41,83.41,83.41,0.0,0.0,83.73,83.73,83.73,0.0,0.0,83.36,83.36,83.36,0.0,0.0,83.64,83.64,83.64,0.0,0.0
2018-10-14,84.1,84.1,84.1,0.0,0.0,84.1,84.1,84.1,0.0,0.0,83.47,83.47,83.47,0.0,0.0,83.47,83.47,83.47,0.0,0.0
2018-10-21,82.15,82.15,82.15,0.0,0.0,82.17,82.17,82.17,0.0,0.0,80.1,80.1,80.1,0.0,0.0,80.1,80.1,80.1,0.0,0.0
2018-10-28,83.37,83.37,83.37,0.0,0.0,84.01,84.01,84.01,0.0,0.0,83.37,83.37,83.37,0.0,0.0,84.01,84.01,84.01,0.0,0.0
2018-11-04,84.98,84.98,84.98,0.0,0.0,84.98,84.98,84.98,0.0,0.0,84.07,84.07,84.07,0.0,0.0,84.07,84.07,84.07,0.0,0.0
2018-11-11,84.2,84.2,84.2,0.0,0.0,84.2,84.2,84.2,0.0,0.0,83.63,83.63,83.63,0.0,0.0,83.63,83.63,83.63,0.0,0.0
2018-11-18,83.63,83.63,83.63,0.0,0.0,83.63,83.63,83.63,0.0,0.0,83.36,83.36,83.36,0.0,0.0,83.59,83.59,83.59,0.0,0.0
2018-11-25,86.55,86.55,86.55,0.0,0.0,86.64,86.64,86.64,0.0,0.0,86.04,86.04,86.04,0.0,0.0,86.41,86.41,86.41,0.0,0.0
2018-12-02,81.42,81.42,81.42,0.0,0.0,81.76,81.76,81.76,0.0,0.0,80.19,80.19,80.19,0.0,0.0,81.46,81.46,81.46,0.0,0.0
2018-12-09,78.89,78.89,78.89,0.0,0.0,79.78,79.78,79.78,0.0,0.0,77.72,77.72,77.72,0.0,0.0,78.09,78.09,78.09,0.0,0.0
2018-12-16,73.43,73.43,73.43,0.0,0.0,73.62,73.62,73.62,0.0,0.0,72.15,72.15,72.15,0.0,0.0,72.15,72.15,72.15,0.0,0.0
2018-12-23,76.24,76.24,76.24,0.0,0.0,76.63,76.63,76.63,0.0,0.0,75.69,75.69,75.69,0.0,0.0,76.63,76.63,76.63,0.0,0.0
2018-12-30,77.7,77.7,77.7,0.0,0.0,78.97,78.97,78.97,0.0,0.0,77.54,77.54,77.54,0.0,0.0,78.56,78.56,78.56,0.0,0.0
2019-01-06,80.06,80.06,80.06,0.0,0.0,80.34,80.34,80.34,0.0,0.0,79.99,79.99,79.99,0.0,0.0,80.16,80.16,80.16,0.0,0.0
2019-01-13,82.14,82.14,82.14,0.0,0.0,82.99,82.99,82.99,0.0,0.0,82.14,82.14,82.14,0.0,0.0,82.87,82.87,82.87,0.0,0.0
2019-01-20,82.41,82.41,82.41,0.0,0.0,82.69,82.69,82.69,0.0,0.0,82.15,82.15,82.15,0.0,0.0,82.69,82.69,82.69,0.0,0.0
2019-01-27,84.75,84.75,84.75,0.0,0.0,85.04,85.04,85.04,0.0,0.0,84.31,84.31,84.31,0.0,0.0,85.04,85.04,85.04,0.0,0.0
2019-02-03,85.04,85.04,85.04,0.0,0.0,85.18,85.18,85.18,0.0,0.0,85.04,85.04,85.04,0.0,0.0,85.17,85.17,85.17,0.0,0.0
