Date,WCMBNY Mellon Focused Growth ADREtf_Open_average,WCMBNY Mellon Focused Growth ADREtf_Open_max,WCMBNY Mellon Focused Growth ADREtf_Open_min,WCMBNY Mellon Focused Growth ADREtf_Open_volatility,WCMBNY Mellon Focused Growth ADREtf_Open_change,WCMBNY Mellon Focused Growth ADREtf_High_average,WCMBNY Mellon Focused Growth ADREtf_High_max,WCMBNY Mellon Focused Growth ADREtf_High_min,WCMBNY Mellon Focused Growth ADREtf_High_volatility,WCMBNY Mellon Focused Growth ADREtf_High_change,WCMBNY Mellon Focused Growth ADREtf_Low_average,WCMBNY Mellon Focused Growth ADREtf_Low_max,WCMBNY Mellon Focused Growth ADREtf_Low_min,WCMBNY Mellon Focused Growth ADREtf_Low_volatility,WCMBNY Mellon Focused Growth ADREtf_Low_change,WCMBNY Mellon Focused Growth ADREtf_Close_average,WCMBNY Mellon Focused Growth ADREtf_Close_max,WCMBNY Mellon Focused Growth ADREtf_Close_min,WCMBNY Mellon Focused Growth ADREtf_Close_volatility,WCMBNY Mellon Focused Growth ADREtf_Close_change
2018-01-14,62.78,62.78,62.78,0.0,0.0,63.08,63.08,63.08,0.0,0.0,62.58,62.58,62.58,0.0,0.0,62.83,62.83,62.83,0.0,0.0
2018-01-21,63.19,63.19,63.19,0.0,0.0,63.31,63.31,63.31,0.0,0.0,62.98,62.98,62.98,0.0,0.0,63.31,63.31,63.31,0.0,0.0
2018-01-28,61.72,61.72,61.72,0.0,0.0,61.72,61.72,61.72,0.0,0.0,60.2,60.2,60.2,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-02-04,57.0,57.0,57.0,0.0,0.0,57.32,57.32,57.32,0.0,0.0,54.99,54.99,54.99,0.0,0.0,56.88,56.88,56.88,0.0,0.0
2018-02-11,60.73,60.73,60.73,0.0,0.0,61.46,61.46,61.46,0.0,0.0,60.38,60.38,60.38,0.0,0.0,60.79,60.79,60.79,0.0,0.0
2018-02-18,61.81,61.81,61.81,0.0,0.0,62.3,62.3,62.3,0.0,0.0,61.62,61.62,61.62,0.0,0.0,62.3,62.3,62.3,0.0,0.0
2018-02-25,58.83,58.83,58.83,0.0,0.0,59.33,59.33,59.33,0.0,0.0,58.3,58.3,58.3,0.0,0.0,59.32,59.32,59.32,0.0,0.0
2018-03-04,61.44,61.44,61.44,0.0,0.0,61.88,61.88,61.88,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.79,61.79,61.79,0.0,0.0
2018-03-11,60.64,60.64,60.64,0.0,0.0,61.12,61.12,61.12,0.0,0.0,60.59,60.59,60.59,0.0,0.0,60.81,60.81,60.81,0.0,0.0
2018-03-18,58.89,58.89,58.89,0.0,0.0,58.98,58.98,58.98,0.0,0.0,58.11,58.11,58.11,0.0,0.0,58.11,58.11,58.11,0.0,0.0
2018-03-25,57.71,57.71,57.71,0.0,0.0,59.02,59.02,59.02,0.0,0.0,57.71,57.71,57.71,0.0,0.0,58.74,58.74,58.74,0.0,0.0
2018-04-01,58.0,58.0,58.0,0.0,0.0,58.23,58.23,58.23,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2018-04-08,60.05,60.05,60.05,0.0,0.0,60.05,60.05,60.05,0.0,0.0,59.16,59.16,59.16,0.0,0.0,59.42,59.42,59.42,0.0,0.0
2018-04-15,59.7,59.7,59.7,0.0,0.0,59.7,59.7,59.7,0.0,0.0,59.17,59.17,59.17,0.0,0.0,59.32,59.32,59.32,0.0,0.0
2018-04-22,58.07,58.07,58.07,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.07,58.07,58.07,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-04-29,57.13,57.13,57.13,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.13,57.13,57.13,0.0,0.0,57.64,57.64,57.64,0.0,0.0
2018-05-06,58.96,58.96,58.96,0.0,0.0,59.17,59.17,59.17,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.32,58.32,58.32,0.0,0.0
2018-05-13,59.0,59.0,59.0,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2018-05-20,58.71,58.71,58.71,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2018-05-27,57.81,57.81,57.81,0.0,0.0,58.18,58.18,58.18,0.0,0.0,57.48,57.48,57.48,0.0,0.0,58.01,58.01,58.01,0.0,0.0
