Date,First Trust Horizon Managed Volatility DomesticEtf_Open_average,First Trust Horizon Managed Volatility DomesticEtf_Open_max,First Trust Horizon Managed Volatility DomesticEtf_Open_min,First Trust Horizon Managed Volatility DomesticEtf_Open_volatility,First Trust Horizon Managed Volatility DomesticEtf_Open_change,First Trust Horizon Managed Volatility DomesticEtf_High_average,First Trust Horizon Managed Volatility DomesticEtf_High_max,First Trust Horizon Managed Volatility DomesticEtf_High_min,First Trust Horizon Managed Volatility DomesticEtf_High_volatility,First Trust Horizon Managed Volatility DomesticEtf_High_change,First Trust Horizon Managed Volatility DomesticEtf_Low_average,First Trust Horizon Managed Volatility DomesticEtf_Low_max,First Trust Horizon Managed Volatility DomesticEtf_Low_min,First Trust Horizon Managed Volatility DomesticEtf_Low_volatility,First Trust Horizon Managed Volatility DomesticEtf_Low_change,First Trust Horizon Managed Volatility DomesticEtf_Close_average,First Trust Horizon Managed Volatility DomesticEtf_Close_max,First Trust Horizon Managed Volatility DomesticEtf_Close_min,First Trust Horizon Managed Volatility DomesticEtf_Close_volatility,First Trust Horizon Managed Volatility DomesticEtf_Close_change
2018-01-14,23.22,23.22,23.22,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.08,23.08,23.08,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2018-01-21,23.61,23.61,23.61,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.72,23.72,23.72,0.0,0.0
2018-01-28,23.33,23.33,23.33,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.11,23.11,23.11,0.0,0.0
2018-02-04,21.78,21.78,21.78,0.0,0.0,22.06,22.06,22.06,0.0,0.0,21.53,21.53,21.53,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2018-02-11,22.68,22.68,22.68,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.76,22.76,22.76,0.0,0.0
2018-02-18,22.59,22.59,22.59,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.74,22.74,22.74,0.0,0.0
2018-02-25,22.06,22.06,22.06,0.0,0.0,22.23,22.23,22.23,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2018-03-04,22.86,22.86,22.86,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2018-03-11,22.93,22.93,22.93,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2018-03-18,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2018-03-25,22.28,22.28,22.28,0.0,0.0,22.47,22.47,22.47,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.35,22.35,22.35,0.0,0.0
2018-04-01,22.41,22.41,22.41,0.0,0.0,22.47,22.47,22.47,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.19,22.19,22.19,0.0,0.0
2018-04-08,22.54,22.54,22.54,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.44,22.44,22.44,0.0,0.0,22.52,22.52,22.52,0.0,0.0
2018-04-15,22.79,22.79,22.79,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.66,22.66,22.66,0.0,0.0
2018-04-22,22.59,22.59,22.59,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.73,22.73,22.73,0.0,0.0
2018-04-29,22.4,22.4,22.4,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.56,22.56,22.56,0.0,0.0
2018-05-06,22.84,22.84,22.84,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.78,22.78,22.78,0.0,0.0
2018-05-13,22.64,22.64,22.64,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.58,22.58,22.58,0.0,0.0,22.59,22.59,22.59,0.0,0.0
2018-05-20,22.76,22.76,22.76,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.72,22.72,22.72,0.0,0.0
2018-05-27,22.76,22.76,22.76,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.78,22.78,22.78,0.0,0.0
