Date,iShares Morningstar Mid-Cap_Open_average,iShares Morningstar Mid-Cap_Open_max,iShares Morningstar Mid-Cap_Open_min,iShares Morningstar Mid-Cap_Open_volatility,iShares Morningstar Mid-Cap_Open_change,iShares Morningstar Mid-Cap_High_average,iShares Morningstar Mid-Cap_High_max,iShares Morningstar Mid-Cap_High_min,iShares Morningstar Mid-Cap_High_volatility,iShares Morningstar Mid-Cap_High_change,iShares Morningstar Mid-Cap_Low_average,iShares Morningstar Mid-Cap_Low_max,iShares Morningstar Mid-Cap_Low_min,iShares Morningstar Mid-Cap_Low_volatility,iShares Morningstar Mid-Cap_Low_change,iShares Morningstar Mid-Cap_Close_average,iShares Morningstar Mid-Cap_Close_max,iShares Morningstar Mid-Cap_Close_min,iShares Morningstar Mid-Cap_Close_volatility,iShares Morningstar Mid-Cap_Close_change
2018-01-14,192.6,192.6,192.6,0.0,0.0,193.26,193.26,193.26,0.0,0.0,192.27,192.27,192.27,0.0,0.0,193.26,193.26,193.26,0.0,0.0
2018-01-21,194.82,194.82,194.82,0.0,0.0,194.94,194.94,194.94,0.0,0.0,193.55,193.55,193.55,0.0,0.0,193.71,193.71,193.71,0.0,0.0
2018-01-28,186.29,186.29,186.29,0.0,0.0,187.72,187.72,187.72,0.0,0.0,180.89,180.89,180.89,0.0,0.0,180.89,180.89,180.89,0.0,0.0
2018-02-04,180.12,180.12,180.12,0.0,0.0,181.98,181.98,181.98,0.0,0.0,178.94,178.94,178.94,0.0,0.0,181.24,181.24,181.24,0.0,0.0
2018-02-11,185.39,185.39,185.39,0.0,0.0,186.97,186.97,186.97,0.0,0.0,185.39,185.39,185.39,0.0,0.0,186.19,186.19,186.19,0.0,0.0
2018-02-18,186.29,186.29,186.29,0.0,0.0,187.0,187.0,187.0,0.0,0.0,185.66,185.66,185.66,0.0,0.0,186.75,186.75,186.75,0.0,0.0
2018-02-25,181.61,181.61,181.61,0.0,0.0,184.49,184.49,184.49,0.0,0.0,181.61,181.61,181.61,0.0,0.0,184.49,184.49,184.49,0.0,0.0
2018-03-04,189.0,189.0,189.0,0.0,0.0,189.0,189.0,189.0,0.0,0.0,188.27,188.27,188.27,0.0,0.0,188.7,188.7,188.7,0.0,0.0
2018-03-11,186.73,186.73,186.73,0.0,0.0,186.73,186.73,186.73,0.0,0.0,184.38,184.38,184.38,0.0,0.0,185.26,185.26,185.26,0.0,0.0
2018-03-18,179.29,179.29,179.29,0.0,0.0,180.86,180.86,180.86,0.0,0.0,178.77,178.77,178.77,0.0,0.0,180.86,180.86,180.86,0.0,0.0
2018-03-25,180.69,180.69,180.69,0.0,0.0,180.69,180.69,180.69,0.0,0.0,175.71,175.71,175.71,0.0,0.0,177.09,177.09,177.09,0.0,0.0
2018-04-01,179.55,179.55,179.55,0.0,0.0,181.0,181.0,181.0,0.0,0.0,178.68,178.68,178.68,0.0,0.0,178.7,178.7,178.7,0.0,0.0
2018-04-08,181.0,181.0,181.0,0.0,0.0,182.71,182.71,182.71,0.0,0.0,180.98,180.98,180.98,0.0,0.0,182.32,182.32,182.32,0.0,0.0
2018-04-15,181.42,181.42,181.42,0.0,0.0,182.08,182.08,182.08,0.0,0.0,180.72,180.72,180.72,0.0,0.0,181.41,181.41,181.41,0.0,0.0
2018-04-22,183.55,183.55,183.55,0.0,0.0,183.55,183.55,183.55,0.0,0.0,180.23,180.23,180.23,0.0,0.0,180.23,180.23,180.23,0.0,0.0
2018-04-29,181.53,181.53,181.53,0.0,0.0,181.92,181.92,181.92,0.0,0.0,181.22,181.22,181.22,0.0,0.0,181.53,181.53,181.53,0.0,0.0
2018-05-06,184.21,184.21,184.21,0.0,0.0,184.28,184.28,184.28,0.0,0.0,183.58,183.58,183.58,0.0,0.0,183.66,183.66,183.66,0.0,0.0
2018-05-13,183.79,183.79,183.79,0.0,0.0,184.86,184.86,184.86,0.0,0.0,183.79,183.79,183.79,0.0,0.0,184.67,184.67,184.67,0.0,0.0
2018-05-20,184.49,184.49,184.49,0.0,0.0,184.93,184.93,184.93,0.0,0.0,184.25,184.25,184.25,0.0,0.0,184.62,184.62,184.62,0.0,0.0
2018-05-27,184.93,184.93,184.93,0.0,0.0,185.22,185.22,185.22,0.0,0.0,184.69,184.69,184.69,0.0,0.0,185.22,185.22,185.22,0.0,0.0
2018-06-03,187.68,187.68,187.68,0.0,0.0,188.13,188.13,188.13,0.0,0.0,187.68,187.68,187.68,0.0,0.0,187.81,187.81,187.81,0.0,0.0
