Date,ProShares MSCI EM Dividend Growers_Open_average,ProShares MSCI EM Dividend Growers_Open_max,ProShares MSCI EM Dividend Growers_Open_min,ProShares MSCI EM Dividend Growers_Open_volatility,ProShares MSCI EM Dividend Growers_Open_change,ProShares MSCI EM Dividend Growers_High_average,ProShares MSCI EM Dividend Growers_High_max,ProShares MSCI EM Dividend Growers_High_min,ProShares MSCI EM Dividend Growers_High_volatility,ProShares MSCI EM Dividend Growers_High_change,ProShares MSCI EM Dividend Growers_Low_average,ProShares MSCI EM Dividend Growers_Low_max,ProShares MSCI EM Dividend Growers_Low_min,ProShares MSCI EM Dividend Growers_Low_volatility,ProShares MSCI EM Dividend Growers_Low_change,ProShares MSCI EM Dividend Growers_Close_average,ProShares MSCI EM Dividend Growers_Close_max,ProShares MSCI EM Dividend Growers_Close_min,ProShares MSCI EM Dividend Growers_Close_volatility,ProShares MSCI EM Dividend Growers_Close_change
2018-01-14,61.79,61.79,61.79,0.0,0.0,62.17,62.17,62.17,0.0,0.0,61.79,61.79,61.79,0.0,0.0,62.17,62.17,62.17,0.0,0.0
2018-01-21,62.54,62.54,62.54,0.0,0.0,63.63,63.63,63.63,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2018-01-28,60.39,60.39,60.39,0.0,0.0,60.79,60.79,60.79,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.93,58.93,58.93,0.0,0.0
2018-02-04,59.27,59.27,59.27,0.0,0.0,59.83,59.83,59.83,0.0,0.0,58.87,58.87,58.87,0.0,0.0,59.39,59.39,59.39,0.0,0.0
2018-02-11,61.74,61.74,61.74,0.0,0.0,62.52,62.52,62.52,0.0,0.0,61.71,61.71,61.71,0.0,0.0,62.21,62.21,62.21,0.0,0.0
2018-02-18,62.15,62.15,62.15,0.0,0.0,62.61,62.61,62.61,0.0,0.0,61.88,61.88,61.88,0.0,0.0,62.55,62.55,62.55,0.0,0.0
2018-02-25,60.08,60.08,60.08,0.0,0.0,60.6,60.6,60.6,0.0,0.0,59.78,59.78,59.78,0.0,0.0,60.59,60.59,60.59,0.0,0.0
2018-03-04,61.86,61.86,61.86,0.0,0.0,61.87,61.87,61.87,0.0,0.0,61.71,61.71,61.71,0.0,0.0,61.71,61.71,61.71,0.0,0.0
2018-03-11,60.49,60.49,60.49,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2018-03-18,60.68,60.68,60.68,0.0,0.0,61.41,61.41,61.41,0.0,0.0,60.47,60.47,60.47,0.0,0.0,61.41,61.41,61.41,0.0,0.0
2018-03-25,60.75,60.75,60.75,0.0,0.0,61.01,61.01,61.01,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2018-04-01,60.72,60.72,60.72,0.0,0.0,61.2,61.2,61.2,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.88,60.88,60.88,0.0,0.0
2018-04-08,60.53,60.53,60.53,0.0,0.0,60.53,60.53,60.53,0.0,0.0,60.26,60.26,60.26,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2018-04-15,59.69,59.69,59.69,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.69,59.69,59.69,0.0,0.0
2018-04-22,59.51,59.51,59.51,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.17,59.17,59.17,0.0,0.0,59.17,59.17,59.17,0.0,0.0
2018-04-29,58.13,58.13,58.13,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.01,58.01,58.01,0.0,0.0
2018-05-06,59.32,59.32,59.32,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.12,59.12,59.12,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2018-05-13,57.71,57.71,57.71,0.0,0.0,57.96,57.96,57.96,0.0,0.0,57.54,57.54,57.54,0.0,0.0,57.69,57.69,57.69,0.0,0.0
2018-05-20,58.18,58.18,58.18,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2018-05-27,58.87,58.87,58.87,0.0,0.0,59.23,59.23,59.23,0.0,0.0,58.87,58.87,58.87,0.0,0.0,59.23,59.23,59.23,0.0,0.0
2018-06-03,58.03,58.03,58.03,0.0,0.0,58.03,58.03,58.03,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.94,57.94,57.94,0.0,0.0
2018-06-10,55.91,55.91,55.91,0.0,0.0,55.96,55.96,55.96,0.0,0.0,55.8,55.8,55.8,0.0,0.0,55.95,55.95,55.95,0.0,0.0
2018-06-17,54.99,54.99,54.99,0.0,0.0,54.99,54.99,54.99,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.99,54.99,54.99,0.0,0.0
2018-06-24,54.87,54.87,54.87,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-07-01,56.39,56.39,56.39,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2018-07-08,56.94,56.94,56.94,0.0,0.0,56.94,56.94,56.94,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.26,56.26,56.26,0.0,0.0
2018-07-15,56.49,56.49,56.49,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.63,56.63,56.63,0.0,0.0
