Date,FlexShares Quality Dividend Defensive_Open_average,FlexShares Quality Dividend Defensive_Open_max,FlexShares Quality Dividend Defensive_Open_min,FlexShares Quality Dividend Defensive_Open_volatility,FlexShares Quality Dividend Defensive_Open_change,FlexShares Quality Dividend Defensive_High_average,FlexShares Quality Dividend Defensive_High_max,FlexShares Quality Dividend Defensive_High_min,FlexShares Quality Dividend Defensive_High_volatility,FlexShares Quality Dividend Defensive_High_change,FlexShares Quality Dividend Defensive_Low_average,FlexShares Quality Dividend Defensive_Low_max,FlexShares Quality Dividend Defensive_Low_min,FlexShares Quality Dividend Defensive_Low_volatility,FlexShares Quality Dividend Defensive_Low_change,FlexShares Quality Dividend Defensive_Close_average,FlexShares Quality Dividend Defensive_Close_max,FlexShares Quality Dividend Defensive_Close_min,FlexShares Quality Dividend Defensive_Close_volatility,FlexShares Quality Dividend Defensive_Close_change
2018-01-14,45.89,45.89,45.89,0.0,0.0,46.09,46.09,46.09,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2018-01-21,46.44,46.44,46.44,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.26,46.26,46.26,0.0,0.0
2018-01-28,44.3,44.3,44.3,0.0,0.0,44.51,44.51,44.51,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2018-02-04,42.85,42.85,42.85,0.0,0.0,43.22,43.22,43.22,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2018-02-11,44.07,44.07,44.07,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2018-02-18,44.28,44.28,44.28,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-02-25,43.26,43.26,43.26,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.69,43.69,43.69,0.0,0.0
2018-03-04,44.42,44.42,44.42,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-03-11,43.8,43.8,43.8,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-03-18,42.44,42.44,42.44,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.16,42.16,42.16,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2018-03-25,42.77,42.77,42.77,0.0,0.0,42.77,42.77,42.77,0.0,0.0,41.7,41.7,41.7,0.0,0.0,42.06,42.06,42.06,0.0,0.0
2018-04-01,42.72,42.72,42.72,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.72,42.72,42.72,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2018-04-08,43.33,43.33,43.33,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.61,43.61,43.61,0.0,0.0
2018-04-15,43.25,43.25,43.25,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.26,43.26,43.26,0.0,0.0
