Date,SPDR DJIA_Open_average,SPDR DJIA_Open_max,SPDR DJIA_Open_min,SPDR DJIA_Open_volatility,SPDR DJIA_Open_change,SPDR DJIA_High_average,SPDR DJIA_High_max,SPDR DJIA_High_min,SPDR DJIA_High_volatility,SPDR DJIA_High_change,SPDR DJIA_Low_average,SPDR DJIA_Low_max,SPDR DJIA_Low_min,SPDR DJIA_Low_volatility,SPDR DJIA_Low_change,SPDR DJIA_Close_average,SPDR DJIA_Close_max,SPDR DJIA_Close_min,SPDR DJIA_Close_volatility,SPDR DJIA_Close_change
2018-01-14,259.7,259.7,259.7,0.0,0.0,262.01,262.01,262.01,0.0,0.0,259.63,259.63,259.63,0.0,0.0,261.98,261.98,261.98,0.0,0.0
2018-01-21,265.56,265.56,265.56,0.0,0.0,265.9,265.9,265.9,0.0,0.0,264.12,264.12,264.12,0.0,0.0,264.16,264.16,264.16,0.0,0.0
2018-01-28,252.22,252.22,252.22,0.0,0.0,255.02,255.02,255.02,0.0,0.0,239.06,239.06,239.06,0.0,0.0,243.27,243.27,243.27,0.0,0.0
2018-02-04,244.03,244.03,244.03,0.0,0.0,247.85,247.85,247.85,0.0,0.0,243.06,243.06,243.06,0.0,0.0,246.17,246.17,246.17,0.0,0.0
2018-02-11,251.43,251.43,251.43,0.0,0.0,254.12,254.12,254.12,0.0,0.0,251.2,251.2,251.2,0.0,0.0,251.96,251.96,251.96,0.0,0.0
2018-02-18,254.32,254.32,254.32,0.0,0.0,257.18,257.18,257.18,0.0,0.0,253.96,253.96,253.96,0.0,0.0,256.92,256.92,256.92,0.0,0.0
2018-02-25,243.84,243.84,243.84,0.0,0.0,249.63,249.63,249.63,0.0,0.0,243.8,243.8,243.8,0.0,0.0,248.84,248.84,248.84,0.0,0.0
2018-03-04,254.05,254.05,254.05,0.0,0.0,254.72,254.72,254.72,0.0,0.0,251.7,251.7,251.7,0.0,0.0,251.96,251.96,251.96,0.0,0.0
2018-03-11,248.3,248.3,248.3,0.0,0.0,248.38,248.38,248.38,0.0,0.0,244.32,244.32,244.32,0.0,0.0,245.91,245.91,245.91,0.0,0.0
2018-03-18,239.03,239.03,239.03,0.0,0.0,242.15,242.15,242.15,0.0,0.0,237.2,237.2,237.2,0.0,0.0,241.82,241.82,241.82,0.0,0.0
