Date,Citigroup C-Tracks MillerHoward MLP Fundamental_Open_average,Citigroup C-Tracks MillerHoward MLP Fundamental_Open_max,Citigroup C-Tracks MillerHoward MLP Fundamental_Open_min,Citigroup C-Tracks MillerHoward MLP Fundamental_Open_volatility,Citigroup C-Tracks MillerHoward MLP Fundamental_Open_change,Citigroup C-Tracks MillerHoward MLP Fundamental_High_average,Citigroup C-Tracks MillerHoward MLP Fundamental_High_max,Citigroup C-Tracks MillerHoward MLP Fundamental_High_min,Citigroup C-Tracks MillerHoward MLP Fundamental_High_volatility,Citigroup C-Tracks MillerHoward MLP Fundamental_High_change,Citigroup C-Tracks MillerHoward MLP Fundamental_Low_average,Citigroup C-Tracks MillerHoward MLP Fundamental_Low_max,Citigroup C-Tracks MillerHoward MLP Fundamental_Low_min,Citigroup C-Tracks MillerHoward MLP Fundamental_Low_volatility,Citigroup C-Tracks MillerHoward MLP Fundamental_Low_change,Citigroup C-Tracks MillerHoward MLP Fundamental_Close_average,Citigroup C-Tracks MillerHoward MLP Fundamental_Close_max,Citigroup C-Tracks MillerHoward MLP Fundamental_Close_min,Citigroup C-Tracks MillerHoward MLP Fundamental_Close_volatility,Citigroup C-Tracks MillerHoward MLP Fundamental_Close_change
2018-01-14,16.56,16.56,16.56,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.65,16.65,16.65,0.0,0.0
2018-01-21,16.62,16.62,16.62,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.54,16.54,16.54,0.0,0.0
2018-01-28,15.78,15.78,15.78,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2018-02-04,15.26,15.26,15.26,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.26,15.26,15.26,0.0,0.0
2018-02-11,15.09,15.09,15.09,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.16,15.16,15.16,0.0,0.0
2018-02-18,14.81,14.81,14.81,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2018-02-25,14.58,14.58,14.58,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.58,14.58,14.58,0.0,0.0
2018-03-04,14.66,14.66,14.66,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2018-03-11,13.61,13.61,13.61,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.6,13.6,13.6,0.0,0.0,13.6,13.6,13.6,0.0,0.0
2018-03-18,13.41,13.41,13.41,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.17,13.17,13.17,0.0,0.0
